date,series_id,value,realtime_start,realtime_end
1947-01-01,CPIAUCSL,21.48,2024-05-15,2024-05-15
1947-02-01,CPIAUCSL,21.62,2024-05-15,2024-05-15
1947-03-01,CPIAUCSL,22,2024-05-15,2024-05-15
1947-04-01,CPIAUCSL,22,2024-05-15,2024-05-15
1947-05-01,CPIAUCSL,21.95,2024-05-15,2024-05-15
1947-06-01,CPIAUCSL,22.08,2024-05-15,2024-05-15
1947-07-01,CPIAUCSL,22.23,2024-05-15,2024-05-15
1947-08-01,CPIAUCSL,22.4,2024-05-15,2024-05-15
1947-09-01,CPIAUCSL,22.84,2024-05-15,2024-05-15
1947-10-01,CPIAUCSL,22.91,2024-05-15,2024-05-15
1947-11-01,CPIAUCSL,23.06,2024-05-15,2024-05-15
1947-12-01,CPIAUCSL,23.41,2024-05-15,2024-05-15
1948-01-01,CPIAUCSL,23.68,2024-05-15,2024-05-15
1948-02-01,CPIAUCSL,23.67,2024-05-15,2024-05-15
1948-03-01,CPIAUCSL,23.5,2024-05-15,2024-05-15
1948-04-01,CPIAUCSL,23.82,2024-05-15,2024-05-15
1948-05-01,CPIAUCSL,24.01,2024-05-15,2024-05-15
1948-06-01,CPIAUCSL,24.15,2024-05-15,2024-05-15
1948-07-01,CPIAUCSL,24.4,2024-05-15,2024-05-15
1948-08-01,CPIAUCSL,24.43,2024-05-15,2024-05-15
1948-09-01,CPIAUCSL,24.36,2024-05-15,2024-05-15
1948-10-01,CPIAUCSL,24.31,2024-05-15,2024-05-15
1948-11-01,CPIAUCSL,24.16,2024-05-15,2024-05-15
1948-12-01,CPIAUCSL,24.05,2024-05-15,2024-05-15
1949-01-01,CPIAUCSL,24.01,2024-05-15,2024-05-15
1949-02-01,CPIAUCSL,23.91,2024-05-15,2024-05-15
1949-03-01,CPIAUCSL,23.91,2024-05-15,2024-05-15
1949-04-01,CPIAUCSL,23.92,2024-05-15,2024-05-15
1949-05-01,CPIAUCSL,23.91,2024-05-15,2024-05-15
1949-06-01,CPIAUCSL,23.92,2024-05-15,2024-05-15
1949-07-01,CPIAUCSL,23.7,2024-05-15,2024-05-15
1949-08-01,CPIAUCSL,23.7,2024-05-15,2024-05-15
1949-09-01,CPIAUCSL,23.75,2024-05-15,2024-05-15
1949-10-01,CPIAUCSL,23.67,2024-05-15,2024-05-15
1949-11-01,CPIAUCSL,23.7,2024-05-15,2024-05-15
1949-12-01,CPIAUCSL,23.61,2024-05-15,2024-05-15
