date,series_id,value,realtime_start,realtime_end
1947-01-01,CPIMEDSL,13.2,2025-09-11,2025-09-11
1947-02-01,CPIMEDSL,13.3,2025-09-11,2025-09-11
1947-03-01,CPIMEDSL,13.3,2025-09-11,2025-09-11
1947-04-01,CPIMEDSL,13.4,2025-09-11,2025-09-11
1947-05-01,CPIMEDSL,13.5,2025-09-11,2025-09-11
1947-06-01,CPIMEDSL,13.5,2025-09-11,2025-09-11
1947-07-01,CPIMEDSL,13.5,2025-09-11,2025-09-11
1947-08-01,CPIMEDSL,13.6,2025-09-11,2025-09-11
1947-09-01,CPIMEDSL,13.7,2025-09-11,2025-09-11
1947-10-01,CPIMEDSL,13.8,2025-09-11,2025-09-11
1947-11-01,CPIMEDSL,13.8,2025-09-11,2025-09-11
1947-12-01,CPIMEDSL,13.9,2025-09-11,2025-09-11
1948-01-01,CPIMEDSL,14,2025-09-11,2025-09-11
1948-02-01,CPIMEDSL,14,2025-09-11,2025-09-11
1948-03-01,CPIMEDSL,14.1,2025-09-11,2025-09-11
1948-04-01,CPIMEDSL,14.3,2025-09-11,2025-09-11
1948-05-01,CPIMEDSL,14.3,2025-09-11,2025-09-11
1948-06-01,CPIMEDSL,14.4,2025-09-11,2025-09-11
1948-07-01,CPIMEDSL,14.5,2025-09-11,2025-09-11
1948-08-01,CPIMEDSL,14.6,2025-09-11,2025-09-11
1948-09-01,CPIMEDSL,14.5,2025-09-11,2025-09-11
1948-10-01,CPIMEDSL,14.6,2025-09-11,2025-09-11
1948-11-01,CPIMEDSL,14.7,2025-09-11,2025-09-11
1948-12-01,CPIMEDSL,14.7,2025-09-11,2025-09-11
1949-01-01,CPIMEDSL,14.7,2025-09-11,2025-09-11
1949-02-01,CPIMEDSL,14.8,2025-09-11,2025-09-11
1949-03-01,CPIMEDSL,14.8,2025-09-11,2025-09-11
1949-04-01,CPIMEDSL,14.8,2025-09-11,2025-09-11
1949-05-01,CPIMEDSL,14.8,2025-09-11,2025-09-11
1949-06-01,CPIMEDSL,14.8,2025-09-11,2025-09-11
1949-07-01,CPIMEDSL,14.8,2025-09-11,2025-09-11
1949-08-01,CPIMEDSL,14.9,2025-09-11,2025-09-11
1949-09-01,CPIMEDSL,14.9,2025-09-11,2025-09-11
1949-10-01,CPIMEDSL,14.9,2025-09-11,2025-09-11
1949-11-01,CPIMEDSL,14.9,2025-09-11,2025-09-11
1949-12-01,CPIMEDSL,14.9,2025-09-11,2025-09-11
1950-01-01,CPIMEDSL,14.9,2025-09-11,2025-09-11
1950-02-01,CPIMEDSL,15,2025-09-11,2025-09-11
1950-03-01,CPIMEDSL,14.9,2025-09-11,2025-09-11
1950-04-01,CPIMEDSL,15,2025-09-11,2025-09-11
1950-05-01,CPIMEDSL,15,2025-09-11,2025-09-11
1950-06-01,CPIMEDSL,15,2025-09-11,2025-09-11
1950-07-01,CPIMEDSL,15.1,2025-09-11,2025-09-11
1950-08-01,CPIMEDSL,15.1,2025-09-11,2025-09-11
1950-09-01,CPIMEDSL,15.2,2025-09-11,2025-09-11
1950-10-01,CPIMEDSL,15.3,2025-09-11,2025-09-11
1950-11-01,CPIMEDSL,15.3,2025-09-11,2025-09-11
1950-12-01,CPIMEDSL,15.4,2025-09-11,2025-09-11
1951-01-01,CPIMEDSL,15.4,2025-09-11,2025-09-11
1951-02-01,CPIMEDSL,15.5,2025-09-11,2025-09-11
1951-03-01,CPIMEDSL,15.7,2025-09-11,2025-09-11
1951-04-01,CPIMEDSL,15.7,2025-09-11,2025-09-11
1951-05-01,CPIMEDSL,15.8,2025-09-11,2025-09-11
1951-06-01,CPIMEDSL,15.8,2025-09-11,2025-09-11
1951-07-01,CPIMEDSL,15.8,2025-09-11,2025-09-11
1951-08-01,CPIMEDSL,15.9,2025-09-11,2025-09-11
1951-09-01,CPIMEDSL,15.9,2025-09-11,2025-09-11
1951-10-01,CPIMEDSL,16,2025-09-11,2025-09-11
1951-11-01,CPIMEDSL,16.1,2025-09-11,2025-09-11
1951-12-01,CPIMEDSL,16.3,2025-09-11,2025-09-11
1952-01-01,CPIMEDSL,16.3,2025-09-11,2025-09-11
1952-02-01,CPIMEDSL,16.4,2025-09-11,2025-09-11
1952-03-01,CPIMEDSL,16.5,2025-09-11,2025-09-11
1952-04-01,CPIMEDSL,16.5,2025-09-11,2025-09-11
1952-05-01,CPIMEDSL,16.5,2025-09-11,2025-09-11
1952-06-01,CPIMEDSL,16.8,2025-09-11,2025-09-11
1952-07-01,CPIMEDSL,16.9,2025-09-11,2025-09-11
1952-08-01,CPIMEDSL,16.9,2025-09-11,2025-09-11
1952-09-01,CPIMEDSL,16.9,2025-09-11,2025-09-11
1952-10-01,CPIMEDSL,16.9,2025-09-11,2025-09-11
1952-11-01,CPIMEDSL,16.9,2025-09-11,2025-09-11
1952-12-01,CPIMEDSL,17,2025-09-11,2025-09-11
1953-01-01,CPIMEDSL,17,2025-09-11,2025-09-11
1953-02-01,CPIMEDSL,17,2025-09-11,2025-09-11
1953-03-01,CPIMEDSL,17,2025-09-11,2025-09-11
1953-04-01,CPIMEDSL,17.1,2025-09-11,2025-09-11
1953-05-01,CPIMEDSL,17.2,2025-09-11,2025-09-11
1953-06-01,CPIMEDSL,17.3,2025-09-11,2025-09-11
1953-07-01,CPIMEDSL,17.3,2025-09-11,2025-09-11
1953-08-01,CPIMEDSL,17.4,2025-09-11,2025-09-11
1953-09-01,CPIMEDSL,17.5,2025-09-11,2025-09-11
1953-10-01,CPIMEDSL,17.5,2025-09-11,2025-09-11
1953-11-01,CPIMEDSL,17.6,2025-09-11,2025-09-11
1953-12-01,CPIMEDSL,17.6,2025-09-11,2025-09-11
1954-01-01,CPIMEDSL,17.6,2025-09-11,2025-09-11
1954-02-01,CPIMEDSL,17.7,2025-09-11,2025-09-11
1954-03-01,CPIMEDSL,17.7,2025-09-11,2025-09-11
1954-04-01,CPIMEDSL,17.8,2025-09-11,2025-09-11
1954-05-01,CPIMEDSL,17.8,2025-09-11,2025-09-11
1954-06-01,CPIMEDSL,17.8,2025-09-11,2025-09-11
1954-07-01,CPIMEDSL,17.8,2025-09-11,2025-09-11
1954-08-01,CPIMEDSL,17.9,2025-09-11,2025-09-11
1954-09-01,CPIMEDSL,17.9,2025-09-11,2025-09-11
1954-10-01,CPIMEDSL,17.9,2025-09-11,2025-09-11
1954-11-01,CPIMEDSL,18,2025-09-11,2025-09-11
1954-12-01,CPIMEDSL,18,2025-09-11,2025-09-11
1955-01-01,CPIMEDSL,18,2025-09-11,2025-09-11
1955-02-01,CPIMEDSL,18.1,2025-09-11,2025-09-11
1955-03-01,CPIMEDSL,18.1,2025-09-11,2025-09-11
1955-04-01,CPIMEDSL,18.1,2025-09-11,2025-09-11
1955-05-01,CPIMEDSL,18.2,2025-09-11,2025-09-11
1955-06-01,CPIMEDSL,18.2,2025-09-11,2025-09-11
1955-07-01,CPIMEDSL,18.2,2025-09-11,2025-09-11
1955-08-01,CPIMEDSL,18.3,2025-09-11,2025-09-11
1955-09-01,CPIMEDSL,18.3,2025-09-11,2025-09-11
1955-10-01,CPIMEDSL,18.4,2025-09-11,2025-09-11
1955-11-01,CPIMEDSL,18.5,2025-09-11,2025-09-11
1955-12-01,CPIMEDSL,18.6,2025-09-11,2025-09-11
1956-01-01,CPIMEDSL,18.6,2025-09-11,2025-09-11
1956-02-01,CPIMEDSL,18.7,2025-09-11,2025-09-11
1956-03-01,CPIMEDSL,18.7,2025-09-11,2025-09-11
1956-04-01,CPIMEDSL,18.8,2025-09-11,2025-09-11
1956-05-01,CPIMEDSL,18.8,2025-09-11,2025-09-11
1956-06-01,CPIMEDSL,18.8,2025-09-11,2025-09-11
1956-07-01,CPIMEDSL,18.9,2025-09-11,2025-09-11
1956-08-01,CPIMEDSL,19,2025-09-11,2025-09-11
1956-09-01,CPIMEDSL,19.1,2025-09-11,2025-09-11
1956-10-01,CPIMEDSL,19.1,2025-09-11,2025-09-11
1956-11-01,CPIMEDSL,19.1,2025-09-11,2025-09-11
1956-12-01,CPIMEDSL,19.2,2025-09-11,2025-09-11
1957-01-01,CPIMEDSL,19.3,2025-09-11,2025-09-11
1957-02-01,CPIMEDSL,19.3,2025-09-11,2025-09-11
1957-03-01,CPIMEDSL,19.4,2025-09-11,2025-09-11
1957-04-01,CPIMEDSL,19.5,2025-09-11,2025-09-11
1957-05-01,CPIMEDSL,19.6,2025-09-11,2025-09-11
1957-06-01,CPIMEDSL,19.7,2025-09-11,2025-09-11
1957-07-01,CPIMEDSL,19.7,2025-09-11,2025-09-11
1957-08-01,CPIMEDSL,19.8,2025-09-11,2025-09-11
1957-09-01,CPIMEDSL,19.8,2025-09-11,2025-09-11
1957-10-01,CPIMEDSL,19.9,2025-09-11,2025-09-11
1957-11-01,CPIMEDSL,20,2025-09-11,2025-09-11
1957-12-01,CPIMEDSL,20.1,2025-09-11,2025-09-11
