date,series_id,value,realtime_start,realtime_end
1947-01-01,CPIAUCSL,21.48,2023-01-10,2023-01-10
1947-02-01,CPIAUCSL,21.62,2023-01-10,2023-01-10
1947-03-01,CPIAUCSL,22,2023-01-10,2023-01-10
1947-04-01,CPIAUCSL,22,2023-01-10,2023-01-10
1947-05-01,CPIAUCSL,21.95,2023-01-10,2023-01-10
1947-06-01,CPIAUCSL,22.08,2023-01-10,2023-01-10
1947-07-01,CPIAUCSL,22.23,2023-01-10,2023-01-10
1947-08-01,CPIAUCSL,22.4,2023-01-10,2023-01-10
1947-09-01,CPIAUCSL,22.84,2023-01-10,2023-01-10
1947-10-01,CPIAUCSL,22.91,2023-01-10,2023-01-10
1947-11-01,CPIAUCSL,23.06,2023-01-10,2023-01-10
1947-12-01,CPIAUCSL,23.41,2023-01-10,2023-01-10
1948-01-01,CPIAUCSL,23.68,2023-01-10,2023-01-10
1948-02-01,CPIAUCSL,23.67,2023-01-10,2023-01-10
1948-03-01,CPIAUCSL,23.5,2023-01-10,2023-01-10
1948-04-01,CPIAUCSL,23.82,2023-01-10,2023-01-10
1948-05-01,CPIAUCSL,24.01,2023-01-10,2023-01-10
1948-06-01,CPIAUCSL,24.15,2023-01-10,2023-01-10
1948-07-01,CPIAUCSL,24.4,2023-01-10,2023-01-10
1948-08-01,CPIAUCSL,24.43,2023-01-10,2023-01-10
1948-09-01,CPIAUCSL,24.36,2023-01-10,2023-01-10
1948-10-01,CPIAUCSL,24.31,2023-01-10,2023-01-10
1948-11-01,CPIAUCSL,24.16,2023-01-10,2023-01-10
1948-12-01,CPIAUCSL,24.05,2023-01-10,2023-01-10
1949-01-01,CPIAUCSL,24.01,2023-01-10,2023-01-10
1949-02-01,CPIAUCSL,23.91,2023-01-10,2023-01-10
1949-03-01,CPIAUCSL,23.91,2023-01-10,2023-01-10
1949-04-01,CPIAUCSL,23.92,2023-01-10,2023-01-10
1949-05-01,CPIAUCSL,23.91,2023-01-10,2023-01-10
1949-06-01,CPIAUCSL,23.92,2023-01-10,2023-01-10
1949-07-01,CPIAUCSL,23.7,2023-01-10,2023-01-10
1949-08-01,CPIAUCSL,23.7,2023-01-10,2023-01-10
1949-09-01,CPIAUCSL,23.75,2023-01-10,2023-01-10
1949-10-01,CPIAUCSL,23.67,2023-01-10,2023-01-10
1949-11-01,CPIAUCSL,23.7,2023-01-10,2023-01-10
1949-12-01,CPIAUCSL,23.61,2023-01-10,2023-01-10
1950-01-01,CPIAUCSL,23.51,2023-01-10,2023-01-10
1950-02-01,CPIAUCSL,23.61,2023-01-10,2023-01-10
1950-03-01,CPIAUCSL,23.64,2023-01-10,2023-01-10
1950-04-01,CPIAUCSL,23.65,2023-01-10,2023-01-10
1950-05-01,CPIAUCSL,23.77,2023-01-10,2023-01-10
1950-06-01,CPIAUCSL,23.88,2023-01-10,2023-01-10
1950-07-01,CPIAUCSL,24.07,2023-01-10,2023-01-10
1950-08-01,CPIAUCSL,24.2,2023-01-10,2023-01-10
1950-09-01,CPIAUCSL,24.34,2023-01-10,2023-01-10
1950-10-01,CPIAUCSL,24.5,2023-01-10,2023-01-10
1950-11-01,CPIAUCSL,24.6,2023-01-10,2023-01-10
1950-12-01,CPIAUCSL,24.98,2023-01-10,2023-01-10
1951-01-01,CPIAUCSL,25.38,2023-01-10,2023-01-10
1951-02-01,CPIAUCSL,25.83,2023-01-10,2023-01-10
1951-03-01,CPIAUCSL,25.88,2023-01-10,2023-01-10
1951-04-01,CPIAUCSL,25.92,2023-01-10,2023-01-10
1951-05-01,CPIAUCSL,25.99,2023-01-10,2023-01-10
1951-06-01,CPIAUCSL,25.93,2023-01-10,2023-01-10
1951-07-01,CPIAUCSL,25.91,2023-01-10,2023-01-10
1951-08-01,CPIAUCSL,25.86,2023-01-10,2023-01-10
1951-09-01,CPIAUCSL,26.03,2023-01-10,2023-01-10
1951-10-01,CPIAUCSL,26.16,2023-01-10,2023-01-10
1951-11-01,CPIAUCSL,26.32,2023-01-10,2023-01-10
1951-12-01,CPIAUCSL,26.47,2023-01-10,2023-01-10
1952-01-01,CPIAUCSL,26.45,2023-01-10,2023-01-10
1952-02-01,CPIAUCSL,26.41,2023-01-10,2023-01-10
1952-03-01,CPIAUCSL,26.39,2023-01-10,2023-01-10
1952-04-01,CPIAUCSL,26.46,2023-01-10,2023-01-10
1952-05-01,CPIAUCSL,26.47,2023-01-10,2023-01-10
1952-06-01,CPIAUCSL,26.53,2023-01-10,2023-01-10
1952-07-01,CPIAUCSL,26.68,2023-01-10,2023-01-10
1952-08-01,CPIAUCSL,26.69,2023-01-10,2023-01-10
1952-09-01,CPIAUCSL,26.63,2023-01-10,2023-01-10
1952-10-01,CPIAUCSL,26.69,2023-01-10,2023-01-10
1952-11-01,CPIAUCSL,26.69,2023-01-10,2023-01-10
1952-12-01,CPIAUCSL,26.71,2023-01-10,2023-01-10
1953-01-01,CPIAUCSL,26.64,2023-01-10,2023-01-10
1953-02-01,CPIAUCSL,26.59,2023-01-10,2023-01-10
1953-03-01,CPIAUCSL,26.63,2023-01-10,2023-01-10
1953-04-01,CPIAUCSL,26.69,2023-01-10,2023-01-10
1953-05-01,CPIAUCSL,26.7,2023-01-10,2023-01-10
1953-06-01,CPIAUCSL,26.77,2023-01-10,2023-01-10
1953-07-01,CPIAUCSL,26.79,2023-01-10,2023-01-10
1953-08-01,CPIAUCSL,26.85,2023-01-10,2023-01-10
1953-09-01,CPIAUCSL,26.89,2023-01-10,2023-01-10
1953-10-01,CPIAUCSL,26.95,2023-01-10,2023-01-10
1953-11-01,CPIAUCSL,26.85,2023-01-10,2023-01-10
1953-12-01,CPIAUCSL,26.87,2023-01-10,2023-01-10
1954-01-01,CPIAUCSL,26.94,2023-01-10,2023-01-10
1954-02-01,CPIAUCSL,26.99,2023-01-10,2023-01-10
1954-03-01,CPIAUCSL,26.93,2023-01-10,2023-01-10
1954-04-01,CPIAUCSL,26.86,2023-01-10,2023-01-10
1954-05-01,CPIAUCSL,26.93,2023-01-10,2023-01-10
1954-06-01,CPIAUCSL,26.94,2023-01-10,2023-01-10
