date,series_id,value,realtime_start,realtime_end
1947-01-01,GDPDEF,11.141,2025-09-25,2025-09-25
1947-04-01,GDPDEF,11.299,2025-09-25,2025-09-25
1947-07-01,GDPDEF,11.489,2025-09-25,2025-09-25
1947-10-01,GDPDEF,11.772,2025-09-25,2025-09-25
1948-01-01,GDPDEF,11.865,2025-09-25,2025-09-25
1948-04-01,GDPDEF,11.972,2025-09-25,2025-09-25
1948-07-01,GDPDEF,12.193,2025-09-25,2025-09-25
1948-10-01,GDPDEF,12.23,2025-09-25,2025-09-25
1949-01-01,GDPDEF,12.165,2025-09-25,2025-09-25
1949-04-01,GDPDEF,12.043,2025-09-25,2025-09-25
1949-07-01,GDPDEF,11.988,2025-09-25,2025-09-25
1949-10-01,GDPDEF,11.989,2025-09-25,2025-09-25
1950-01-01,GDPDEF,11.97,2025-09-25,2025-09-25
1950-04-01,GDPDEF,12.011,2025-09-25,2025-09-25
1950-07-01,GDPDEF,12.272,2025-09-25,2025-09-25
1950-10-01,GDPDEF,12.502,2025-09-25,2025-09-25
1951-01-01,GDPDEF,12.953,2025-09-25,2025-09-25
1951-04-01,GDPDEF,13.039,2025-09-25,2025-09-25
1951-07-01,GDPDEF,13.047,2025-09-25,2025-09-25
1951-10-01,GDPDEF,13.196,2025-09-25,2025-09-25
1952-01-01,GDPDEF,13.19,2025-09-25,2025-09-25
1952-04-01,GDPDEF,13.206,2025-09-25,2025-09-25
1952-07-01,GDPDEF,13.354,2025-09-25,2025-09-25
1952-10-01,GDPDEF,13.39,2025-09-25,2025-09-25
1953-01-01,GDPDEF,13.393,2025-09-25,2025-09-25
1953-04-01,GDPDEF,13.42,2025-09-25,2025-09-25
1953-07-01,GDPDEF,13.476,2025-09-25,2025-09-25
1953-10-01,GDPDEF,13.501,2025-09-25,2025-09-25
1954-01-01,GDPDEF,13.544,2025-09-25,2025-09-25
1954-04-01,GDPDEF,13.556,2025-09-25,2025-09-25
1954-07-01,GDPDEF,13.574,2025-09-25,2025-09-25
1954-10-01,GDPDEF,13.611,2025-09-25,2025-09-25
1955-01-01,GDPDEF,13.675,2025-09-25,2025-09-25
1955-04-01,GDPDEF,13.731,2025-09-25,2025-09-25
1955-07-01,GDPDEF,13.827,2025-09-25,2025-09-25
1955-10-01,GDPDEF,13.964,2025-09-25,2025-09-25
1956-01-01,GDPDEF,14.104,2025-09-25,2025-09-25
1956-04-01,GDPDEF,14.187,2025-09-25,2025-09-25
1956-07-01,GDPDEF,14.365,2025-09-25,2025-09-25
1956-10-01,GDPDEF,14.423,2025-09-25,2025-09-25
1957-01-01,GDPDEF,14.621,2025-09-25,2025-09-25
1957-04-01,GDPDEF,14.723,2025-09-25,2025-09-25
1957-07-01,GDPDEF,14.811,2025-09-25,2025-09-25
1957-10-01,GDPDEF,14.821,2025-09-25,2025-09-25
1958-01-01,GDPDEF,14.982,2025-09-25,2025-09-25
1958-04-01,GDPDEF,15.025,2025-09-25,2025-09-25
1958-07-01,GDPDEF,15.117,2025-09-25,2025-09-25
1958-10-01,GDPDEF,15.189,2025-09-25,2025-09-25
1959-01-01,GDPDEF,15.224,2025-09-25,2025-09-25
1959-04-01,GDPDEF,15.248,2025-09-25,2025-09-25
1959-07-01,GDPDEF,15.307,2025-09-25,2025-09-25
1959-10-01,GDPDEF,15.367,2025-09-25,2025-09-25
1960-01-01,GDPDEF,15.428,2025-09-25,2025-09-25
1960-04-01,GDPDEF,15.467,2025-09-25,2025-09-25
1960-07-01,GDPDEF,15.52,2025-09-25,2025-09-25
1960-10-01,GDPDEF,15.566,2025-09-25,2025-09-25
1961-01-01,GDPDEF,15.6,2025-09-25,2025-09-25
1961-04-01,GDPDEF,15.636,2025-09-25,2025-09-25
1961-07-01,GDPDEF,15.676,2025-09-25,2025-09-25
1961-10-01,GDPDEF,15.725,2025-09-25,2025-09-25
