date,series_id,value,realtime_start,realtime_end
1947-01-01,GDPDEF,11.952,2023-01-10,2023-01-10
1947-04-01,GDPDEF,12.122,2023-01-10,2023-01-10
1947-07-01,GDPDEF,12.326,2023-01-10,2023-01-10
1947-10-01,GDPDEF,12.63,2023-01-10,2023-01-10
1948-01-01,GDPDEF,12.731,2023-01-10,2023-01-10
1948-04-01,GDPDEF,12.845,2023-01-10,2023-01-10
1948-07-01,GDPDEF,13.083,2023-01-10,2023-01-10
1948-10-01,GDPDEF,13.123,2023-01-10,2023-01-10
1949-01-01,GDPDEF,13.053,2023-01-10,2023-01-10
1949-04-01,GDPDEF,12.923,2023-01-10,2023-01-10
1949-07-01,GDPDEF,12.863,2023-01-10,2023-01-10
1949-10-01,GDPDEF,12.864,2023-01-10,2023-01-10
1950-01-01,GDPDEF,12.845,2023-01-10,2023-01-10
1950-04-01,GDPDEF,12.888,2023-01-10,2023-01-10
1950-07-01,GDPDEF,13.168,2023-01-10,2023-01-10
1950-10-01,GDPDEF,13.415,2023-01-10,2023-01-10
1951-01-01,GDPDEF,13.9,2023-01-10,2023-01-10
1951-04-01,GDPDEF,13.992,2023-01-10,2023-01-10
1951-07-01,GDPDEF,14,2023-01-10,2023-01-10
1951-10-01,GDPDEF,14.16,2023-01-10,2023-01-10
1952-01-01,GDPDEF,14.153,2023-01-10,2023-01-10
1952-04-01,GDPDEF,14.17,2023-01-10,2023-01-10
1952-07-01,GDPDEF,14.329,2023-01-10,2023-01-10
1952-10-01,GDPDEF,14.368,2023-01-10,2023-01-10
1953-01-01,GDPDEF,14.371,2023-01-10,2023-01-10
1953-04-01,GDPDEF,14.4,2023-01-10,2023-01-10
1953-07-01,GDPDEF,14.46,2023-01-10,2023-01-10
1953-10-01,GDPDEF,14.487,2023-01-10,2023-01-10
1954-01-01,GDPDEF,14.533,2023-01-10,2023-01-10
1954-04-01,GDPDEF,14.546,2023-01-10,2023-01-10
1954-07-01,GDPDEF,14.565,2023-01-10,2023-01-10
1954-10-01,GDPDEF,14.605,2023-01-10,2023-01-10
1955-01-01,GDPDEF,14.673,2023-01-10,2023-01-10
1955-04-01,GDPDEF,14.734,2023-01-10,2023-01-10
1955-07-01,GDPDEF,14.837,2023-01-10,2023-01-10
1955-10-01,GDPDEF,14.984,2023-01-10,2023-01-10
1956-01-01,GDPDEF,15.134,2023-01-10,2023-01-10
1956-04-01,GDPDEF,15.224,2023-01-10,2023-01-10
1956-07-01,GDPDEF,15.415,2023-01-10,2023-01-10
1956-10-01,GDPDEF,15.477,2023-01-10,2023-01-10
1957-01-01,GDPDEF,15.689,2023-01-10,2023-01-10
1957-04-01,GDPDEF,15.799,2023-01-10,2023-01-10
1957-07-01,GDPDEF,15.893,2023-01-10,2023-01-10
1957-10-01,GDPDEF,15.904,2023-01-10,2023-01-10
1958-01-01,GDPDEF,16.076,2023-01-10,2023-01-10
1958-04-01,GDPDEF,16.123,2023-01-10,2023-01-10
1958-07-01,GDPDEF,16.221,2023-01-10,2023-01-10
1958-10-01,GDPDEF,16.298,2023-01-10,2023-01-10
1959-01-01,GDPDEF,16.336,2023-01-10,2023-01-10
1959-04-01,GDPDEF,16.361,2023-01-10,2023-01-10
1959-07-01,GDPDEF,16.424,2023-01-10,2023-01-10
1959-10-01,GDPDEF,16.489,2023-01-10,2023-01-10
1960-01-01,GDPDEF,16.555,2023-01-10,2023-01-10
1960-04-01,GDPDEF,16.597,2023-01-10,2023-01-10
1960-07-01,GDPDEF,16.654,2023-01-10,2023-01-10
1960-10-01,GDPDEF,16.703,2023-01-10,2023-01-10
1961-01-01,GDPDEF,16.739,2023-01-10,2023-01-10
1961-04-01,GDPDEF,16.778,2023-01-10,2023-01-10
1961-07-01,GDPDEF,16.821,2023-01-10,2023-01-10
1961-10-01,GDPDEF,16.874,2023-01-10,2023-01-10
1962-01-01,GDPDEF,16.961,2023-01-10,2023-01-10
1962-04-01,GDPDEF,16.989,2023-01-10,2023-01-10
1962-07-01,GDPDEF,17.024,2023-01-10,2023-01-10
1962-10-01,GDPDEF,17.059,2023-01-10,2023-01-10
