tufts_currency_country,currency_country_replacement
Chilean $,Chile
Chilean pesos (CLP),Chile
Chinese Renminbi,China
Cuba (Peso),Cuba
Czech Republic,Czechia
Euro,Euro area
Euros,Euro area
France,Euro area
Ghana Cedis,Ghana
Greek,Euro area
Hong Kong,Hong Kong SAR China
Ireland,Euro area
Italy,Euro area
Korea,South Korea
Korean Won,South Korea
Korean won,South Korea
Myanmar (Burma),Myanmar
Netherlands,Euro area
Polishzloty (PLN),Poland
Pounds sterling,United Kingdom
singapore,Singapore
South korea,South Korea
Turkish Lira,Turkey
