Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2005 [YR2005]
Afghanistan,AFG,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
AFRICA,AFR,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,41.2710178276385
Albania,ALB,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,26.1755106443026
Algeria,DZA,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Angola,AGO,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,70.8786244752231
Antigua and Barbuda,ATG,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Argentina,ARG,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,37.7233504507921
Armenia,ARM,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,23.9436737046129
ASIA AND THE PACIFIC,ASP,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,17.6981159275912
Australia,AUS,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,148.279638891263
Austria,AUT,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,136.586164866455
Azerbaijan,AZE,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,18.4464817545999
"Bahamas, The",BHS,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Bahrain,BHR,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,79.2562398106935
Bangladesh,BGD,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,18.864009009843
Barbados,BRB,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Belarus,BLR,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,22.6869585405059
Belgium,BEL,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,144.087683334417
Belize,BLZ,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Benin,BEN,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,31.4404067830732
Bhutan,BTN,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,18.53097632362
Bolivia,BOL,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,21.0682474102447
Bosnia and Herzegovina,BIH,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,50.0895287053168
Botswana,BWA,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,67.0155537219131
Brazil,BRA,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,54.5155050192538
Brunei Darussalam,BRN,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,43.5332714803244
Bulgaria,BGR,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,32.4040096106749
Burkina Faso,BFA,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,31.196661460336
Burundi,BDI,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,20.3328434890718
Cabo Verde,CPV,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,50.2202254996492
Cambodia,KHM,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,12.8056842934431
Cameroon,CMR,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,41.545275518859
Canada,CAN,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,157.026476582113
Central African Republic,CAF,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,46.5164253888685
Chad,TCD,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,14.2677562149328
Chile,CHL,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,68.3388627178031
China,CHN,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,15.5884852885081
CIS,CIS,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,27.9663750382164
Colombia,COL,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,40.9002034597723
Comoros,COM,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,41.9068684774156
"Congo, Dem. Rep.",COD,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,39.798004519986
"Congo, Rep.",COG,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,43.6175846186109
Costa Rica,CRI,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Cote d'Ivoire,CIV,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,54.539950425773
Croatia,HRV,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,70.1062768877202
Cyprus,CYP,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,123.784966030257
Czech Republic,CZE,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,54.3302239408087
Denmark,DNK,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,196.618486763994
Djibouti,DJI,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,43.8895472003813
Dominica,DMA,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Dominican Republic,DOM,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Ecuador,ECU,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,33.3667511965575
"Egypt, Arab Rep. (AFR)",EGY,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,14.6151514494356
El Salvador,SLV,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Equatorial Guinea,GNQ,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,44.4940592072333
Eritrea,ERI,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Estonia,EST,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,57.6810349572139
Eswatini,SWZ,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,20.3476638860028
Ethiopia,ETH,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,16.9337923773865
EUROSTAT-OECD,EUO,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,142.185244051074
Fiji,FJI,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,44.7129933897151
Finland,FIN,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,167.058991363349
France,FRA,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,141.444912834252
Gabon,GAB,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,48.8930194484883
"Gambia, The",GMB,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,19.6944817582296
Georgia,GEO,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,25.7699464975383
Germany,DEU,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,133.042327472234
Ghana,GHA,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,28.8055809860923
Greece,GRC,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,104.547890025894
Grenada,GRD,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Guatemala,GTM,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Guinea,GIN,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,35.4309523587753
Guinea-Bissau,GNB,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,32.5093531084573
Guyana,GUY,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Haiti,HTI,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
