index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
10701,Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers,"BACKGROUND: Current clinical guidelines recommend earlier, more intensive breast cancer screening with both magnetic resonance imaging (MRI) and mammography for women with breast cancer susceptibility gene (BRCA) mutations. Unspecified details of screening schedules are a challenge for implementing guidelines. METHODS: A Markov Monte Carlo computer model was used to simulate screening in asymptomatic women who were BRCA1 and BRCA2 mutation carriers. Three dual-modality strategies were compared with digital mammography (DM) alone: 1) DM and MRI alternating at 6-month intervals beginning at age 25 years (Alt25), 2) annual MRI beginning at age 25 years with alternating DM added at age 30 years (MRI25/Alt30), and 3) DM and MRI alternating at 6-month intervals beginning at age 30 years (Alt30). Primary outcomes were quality-adjusted life years (QALYs), lifetime costs (in 2010 US dollars), and incremental cost-effectiveness (dollars per QALY gained). Additional outcomes included potential harms of screening, and lifetime costs stratified into component categories (screening and diagnosis, treatment, mortality, and patient time costs). RESULTS: All 3 dual-modality screening strategies increased QALYs and costs. Alt30 screening had the lowest incremental costs per additional QALY gained (BRCA1, $74,200 per QALY; BRCA2, $215,700 per QALY). False-positive test results increased substantially with dual-modality screening and occurred more frequently in BRCA2 carriers. Downstream savings in both breast cancer treatment and mortality costs were outweighed by increases in up-front screening and diagnosis costs. The results were influenced most by estimates of breast cancer risk and MRI costs. CONCLUSIONS: Alternating MRI and DM screening at 6-month intervals beginning at age 30 years was identified as a clinically effective approach to applying current guidelines, and was more cost-effective in BRCA1 gene mutation carriers compared with BRCA2 gene mutation carriers.",2013-01-10085,23184400,Cancer,Jessica E Cott Chubiz,2013,119 / 6,,No,23184400,"Jessica E Cott Chubiz; Janie M Lee; Michael E Gilmore; Chung Y Kong; Kathryn P Lowry; Elkan F Halpern; Pamela M McMahon; Paula D Ryan; G Scott Gazelle; Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers, Cancer, 2013 Mar 15; 119(6):0008-543X",QALY,United States of America,Not Stated,Not Stated,Alternating magnetic resonance imaging and digital mammography every 6 months beginning at age 30 years (Alt30) vs. Digital mammography beginning at age 25 years (DM25),BRCA1 carriers,Not Stated,19 Years,Female,Full,Lifetime,3.00,3.00,74200,United States,2010,88068.09
10702,Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers,"BACKGROUND: Current clinical guidelines recommend earlier, more intensive breast cancer screening with both magnetic resonance imaging (MRI) and mammography for women with breast cancer susceptibility gene (BRCA) mutations. Unspecified details of screening schedules are a challenge for implementing guidelines. METHODS: A Markov Monte Carlo computer model was used to simulate screening in asymptomatic women who were BRCA1 and BRCA2 mutation carriers. Three dual-modality strategies were compared with digital mammography (DM) alone: 1) DM and MRI alternating at 6-month intervals beginning at age 25 years (Alt25), 2) annual MRI beginning at age 25 years with alternating DM added at age 30 years (MRI25/Alt30), and 3) DM and MRI alternating at 6-month intervals beginning at age 30 years (Alt30). Primary outcomes were quality-adjusted life years (QALYs), lifetime costs (in 2010 US dollars), and incremental cost-effectiveness (dollars per QALY gained). Additional outcomes included potential harms of screening, and lifetime costs stratified into component categories (screening and diagnosis, treatment, mortality, and patient time costs). RESULTS: All 3 dual-modality screening strategies increased QALYs and costs. Alt30 screening had the lowest incremental costs per additional QALY gained (BRCA1, $74,200 per QALY; BRCA2, $215,700 per QALY). False-positive test results increased substantially with dual-modality screening and occurred more frequently in BRCA2 carriers. Downstream savings in both breast cancer treatment and mortality costs were outweighed by increases in up-front screening and diagnosis costs. The results were influenced most by estimates of breast cancer risk and MRI costs. CONCLUSIONS: Alternating MRI and DM screening at 6-month intervals beginning at age 30 years was identified as a clinically effective approach to applying current guidelines, and was more cost-effective in BRCA1 gene mutation carriers compared with BRCA2 gene mutation carriers.",2013-01-10085,23184400,Cancer,Jessica E Cott Chubiz,2013,119 / 6,,No,23184400,"Jessica E Cott Chubiz; Janie M Lee; Michael E Gilmore; Chung Y Kong; Kathryn P Lowry; Elkan F Halpern; Pamela M McMahon; Paula D Ryan; G Scott Gazelle; Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers, Cancer, 2013 Mar 15; 119(6):0008-543X",QALY,United States of America,Not Stated,Not Stated,Annual magnetic resonance imaging beginning at age 25 years with alternating digital mammography every 6 months added at age 30 years (MRI25/Alt30) vs. Alternating magnetic resonance imaging and digital mammography every 6 months beginning at age 30 years ( Alt30),BRCA1 carriers,Not Stated,19 Years,Female,Full,Lifetime,3.00,3.00,185000,United States,2010,219576.78
10703,Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers,"BACKGROUND: Current clinical guidelines recommend earlier, more intensive breast cancer screening with both magnetic resonance imaging (MRI) and mammography for women with breast cancer susceptibility gene (BRCA) mutations. Unspecified details of screening schedules are a challenge for implementing guidelines. METHODS: A Markov Monte Carlo computer model was used to simulate screening in asymptomatic women who were BRCA1 and BRCA2 mutation carriers. Three dual-modality strategies were compared with digital mammography (DM) alone: 1) DM and MRI alternating at 6-month intervals beginning at age 25 years (Alt25), 2) annual MRI beginning at age 25 years with alternating DM added at age 30 years (MRI25/Alt30), and 3) DM and MRI alternating at 6-month intervals beginning at age 30 years (Alt30). Primary outcomes were quality-adjusted life years (QALYs), lifetime costs (in 2010 US dollars), and incremental cost-effectiveness (dollars per QALY gained). Additional outcomes included potential harms of screening, and lifetime costs stratified into component categories (screening and diagnosis, treatment, mortality, and patient time costs). RESULTS: All 3 dual-modality screening strategies increased QALYs and costs. Alt30 screening had the lowest incremental costs per additional QALY gained (BRCA1, $74,200 per QALY; BRCA2, $215,700 per QALY). False-positive test results increased substantially with dual-modality screening and occurred more frequently in BRCA2 carriers. Downstream savings in both breast cancer treatment and mortality costs were outweighed by increases in up-front screening and diagnosis costs. The results were influenced most by estimates of breast cancer risk and MRI costs. CONCLUSIONS: Alternating MRI and DM screening at 6-month intervals beginning at age 30 years was identified as a clinically effective approach to applying current guidelines, and was more cost-effective in BRCA1 gene mutation carriers compared with BRCA2 gene mutation carriers.",2013-01-10085,23184400,Cancer,Jessica E Cott Chubiz,2013,119 / 6,,No,23184400,"Jessica E Cott Chubiz; Janie M Lee; Michael E Gilmore; Chung Y Kong; Kathryn P Lowry; Elkan F Halpern; Pamela M McMahon; Paula D Ryan; G Scott Gazelle; Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers, Cancer, 2013 Mar 15; 119(6):0008-543X",QALY,United States of America,Not Stated,Not Stated,Alternating magnetic resonance imaging and digital mammography every 6 months beginning at age 25 years (Alt25) vs. Annual magnetic resonance imaging beginning at age 25 years with alternating digital mammography every 6 months added at age 30 years (MRI25/Alt30),BRCA1 carriers,Not Stated,19 Years,Female,Full,Lifetime,3.00,3.00,1399999.88,United States,2010,1661661.99
10704,Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers,"BACKGROUND: Current clinical guidelines recommend earlier, more intensive breast cancer screening with both magnetic resonance imaging (MRI) and mammography for women with breast cancer susceptibility gene (BRCA) mutations. Unspecified details of screening schedules are a challenge for implementing guidelines. METHODS: A Markov Monte Carlo computer model was used to simulate screening in asymptomatic women who were BRCA1 and BRCA2 mutation carriers. Three dual-modality strategies were compared with digital mammography (DM) alone: 1) DM and MRI alternating at 6-month intervals beginning at age 25 years (Alt25), 2) annual MRI beginning at age 25 years with alternating DM added at age 30 years (MRI25/Alt30), and 3) DM and MRI alternating at 6-month intervals beginning at age 30 years (Alt30). Primary outcomes were quality-adjusted life years (QALYs), lifetime costs (in 2010 US dollars), and incremental cost-effectiveness (dollars per QALY gained). Additional outcomes included potential harms of screening, and lifetime costs stratified into component categories (screening and diagnosis, treatment, mortality, and patient time costs). RESULTS: All 3 dual-modality screening strategies increased QALYs and costs. Alt30 screening had the lowest incremental costs per additional QALY gained (BRCA1, $74,200 per QALY; BRCA2, $215,700 per QALY). False-positive test results increased substantially with dual-modality screening and occurred more frequently in BRCA2 carriers. Downstream savings in both breast cancer treatment and mortality costs were outweighed by increases in up-front screening and diagnosis costs. The results were influenced most by estimates of breast cancer risk and MRI costs. CONCLUSIONS: Alternating MRI and DM screening at 6-month intervals beginning at age 30 years was identified as a clinically effective approach to applying current guidelines, and was more cost-effective in BRCA1 gene mutation carriers compared with BRCA2 gene mutation carriers.",2013-01-10085,23184400,Cancer,Jessica E Cott Chubiz,2013,119 / 6,,No,23184400,"Jessica E Cott Chubiz; Janie M Lee; Michael E Gilmore; Chung Y Kong; Kathryn P Lowry; Elkan F Halpern; Pamela M McMahon; Paula D Ryan; G Scott Gazelle; Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers, Cancer, 2013 Mar 15; 119(6):0008-543X",QALY,United States of America,Not Stated,Not Stated,Alternating magnetic resonance imaging and digital mammography every 6 months beginning at age 25 years (Alt25) vs. Annual magnetic resonance imaging beginning at age 25 years with alternating digital mammography every 6 months added at age 30 years (MRI25/Alt30),BRCA2 carriers,Not Stated,19 Years,Female,Full,Lifetime,3.00,3.00,-140000,United States,2010,-166166.21
10705,Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers,"BACKGROUND: Current clinical guidelines recommend earlier, more intensive breast cancer screening with both magnetic resonance imaging (MRI) and mammography for women with breast cancer susceptibility gene (BRCA) mutations. Unspecified details of screening schedules are a challenge for implementing guidelines. METHODS: A Markov Monte Carlo computer model was used to simulate screening in asymptomatic women who were BRCA1 and BRCA2 mutation carriers. Three dual-modality strategies were compared with digital mammography (DM) alone: 1) DM and MRI alternating at 6-month intervals beginning at age 25 years (Alt25), 2) annual MRI beginning at age 25 years with alternating DM added at age 30 years (MRI25/Alt30), and 3) DM and MRI alternating at 6-month intervals beginning at age 30 years (Alt30). Primary outcomes were quality-adjusted life years (QALYs), lifetime costs (in 2010 US dollars), and incremental cost-effectiveness (dollars per QALY gained). Additional outcomes included potential harms of screening, and lifetime costs stratified into component categories (screening and diagnosis, treatment, mortality, and patient time costs). RESULTS: All 3 dual-modality screening strategies increased QALYs and costs. Alt30 screening had the lowest incremental costs per additional QALY gained (BRCA1, $74,200 per QALY; BRCA2, $215,700 per QALY). False-positive test results increased substantially with dual-modality screening and occurred more frequently in BRCA2 carriers. Downstream savings in both breast cancer treatment and mortality costs were outweighed by increases in up-front screening and diagnosis costs. The results were influenced most by estimates of breast cancer risk and MRI costs. CONCLUSIONS: Alternating MRI and DM screening at 6-month intervals beginning at age 30 years was identified as a clinically effective approach to applying current guidelines, and was more cost-effective in BRCA1 gene mutation carriers compared with BRCA2 gene mutation carriers.",2013-01-10085,23184400,Cancer,Jessica E Cott Chubiz,2013,119 / 6,,No,23184400,"Jessica E Cott Chubiz; Janie M Lee; Michael E Gilmore; Chung Y Kong; Kathryn P Lowry; Elkan F Halpern; Pamela M McMahon; Paula D Ryan; G Scott Gazelle; Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers, Cancer, 2013 Mar 15; 119(6):0008-543X",QALY,United States of America,Not Stated,Not Stated,Annual magnetic resonance imaging beginning at age 25 years with alternating digital mammography every 6 months added at age 30 years (MRI25/Alt30) vs. Alternating magnetic resonance imaging and digital mammography every 6 months beginning at age30 years (Alt30),BRCA2 carriers,Not Stated,19 Years,Female,Full,Lifetime,3.00,3.00,380000,United States,2010,451022.58
10706,Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers,"BACKGROUND: Current clinical guidelines recommend earlier, more intensive breast cancer screening with both magnetic resonance imaging (MRI) and mammography for women with breast cancer susceptibility gene (BRCA) mutations. Unspecified details of screening schedules are a challenge for implementing guidelines. METHODS: A Markov Monte Carlo computer model was used to simulate screening in asymptomatic women who were BRCA1 and BRCA2 mutation carriers. Three dual-modality strategies were compared with digital mammography (DM) alone: 1) DM and MRI alternating at 6-month intervals beginning at age 25 years (Alt25), 2) annual MRI beginning at age 25 years with alternating DM added at age 30 years (MRI25/Alt30), and 3) DM and MRI alternating at 6-month intervals beginning at age 30 years (Alt30). Primary outcomes were quality-adjusted life years (QALYs), lifetime costs (in 2010 US dollars), and incremental cost-effectiveness (dollars per QALY gained). Additional outcomes included potential harms of screening, and lifetime costs stratified into component categories (screening and diagnosis, treatment, mortality, and patient time costs). RESULTS: All 3 dual-modality screening strategies increased QALYs and costs. Alt30 screening had the lowest incremental costs per additional QALY gained (BRCA1, $74,200 per QALY; BRCA2, $215,700 per QALY). False-positive test results increased substantially with dual-modality screening and occurred more frequently in BRCA2 carriers. Downstream savings in both breast cancer treatment and mortality costs were outweighed by increases in up-front screening and diagnosis costs. The results were influenced most by estimates of breast cancer risk and MRI costs. CONCLUSIONS: Alternating MRI and DM screening at 6-month intervals beginning at age 30 years was identified as a clinically effective approach to applying current guidelines, and was more cost-effective in BRCA1 gene mutation carriers compared with BRCA2 gene mutation carriers.",2013-01-10085,23184400,Cancer,Jessica E Cott Chubiz,2013,119 / 6,,No,23184400,"Jessica E Cott Chubiz; Janie M Lee; Michael E Gilmore; Chung Y Kong; Kathryn P Lowry; Elkan F Halpern; Pamela M McMahon; Paula D Ryan; G Scott Gazelle; Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers, Cancer, 2013 Mar 15; 119(6):0008-543X",QALY,United States of America,Not Stated,Not Stated,Alternating magnetic resonance imaging and digital mammography every 6 months beginning at age30 years (Alt30) vs. Digital mammography beginning at age 25 years (DM 25),BRCA2 carriers,Not Stated,19 Years,Female,Full,Lifetime,3.00,3.00,190000,United States,2010,225511.29
10707,Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers,"BACKGROUND: Current clinical guidelines recommend earlier, more intensive breast cancer screening with both magnetic resonance imaging (MRI) and mammography for women with breast cancer susceptibility gene (BRCA) mutations. Unspecified details of screening schedules are a challenge for implementing guidelines. METHODS: A Markov Monte Carlo computer model was used to simulate screening in asymptomatic women who were BRCA1 and BRCA2 mutation carriers. Three dual-modality strategies were compared with digital mammography (DM) alone: 1) DM and MRI alternating at 6-month intervals beginning at age 25 years (Alt25), 2) annual MRI beginning at age 25 years with alternating DM added at age 30 years (MRI25/Alt30), and 3) DM and MRI alternating at 6-month intervals beginning at age 30 years (Alt30). Primary outcomes were quality-adjusted life years (QALYs), lifetime costs (in 2010 US dollars), and incremental cost-effectiveness (dollars per QALY gained). Additional outcomes included potential harms of screening, and lifetime costs stratified into component categories (screening and diagnosis, treatment, mortality, and patient time costs). RESULTS: All 3 dual-modality screening strategies increased QALYs and costs. Alt30 screening had the lowest incremental costs per additional QALY gained (BRCA1, $74,200 per QALY; BRCA2, $215,700 per QALY). False-positive test results increased substantially with dual-modality screening and occurred more frequently in BRCA2 carriers. Downstream savings in both breast cancer treatment and mortality costs were outweighed by increases in up-front screening and diagnosis costs. The results were influenced most by estimates of breast cancer risk and MRI costs. CONCLUSIONS: Alternating MRI and DM screening at 6-month intervals beginning at age 30 years was identified as a clinically effective approach to applying current guidelines, and was more cost-effective in BRCA1 gene mutation carriers compared with BRCA2 gene mutation carriers.",2013-01-10085,23184400,Cancer,Jessica E Cott Chubiz,2013,119 / 6,,No,23184400,"Jessica E Cott Chubiz; Janie M Lee; Michael E Gilmore; Chung Y Kong; Kathryn P Lowry; Elkan F Halpern; Pamela M McMahon; Paula D Ryan; G Scott Gazelle; Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers, Cancer, 2013 Mar 15; 119(6):0008-543X",QALY,United States of America,Not Stated,Not Stated,Digital mammography beginning at age 30 years (DM 30) vs. Clinical surveillance,BRCA2 carriers,Not Stated,19 Years,Female,Full,Lifetime,3.00,3.00,16900,United States,2010,20058.64
10708,Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers,"BACKGROUND: Current clinical guidelines recommend earlier, more intensive breast cancer screening with both magnetic resonance imaging (MRI) and mammography for women with breast cancer susceptibility gene (BRCA) mutations. Unspecified details of screening schedules are a challenge for implementing guidelines. METHODS: A Markov Monte Carlo computer model was used to simulate screening in asymptomatic women who were BRCA1 and BRCA2 mutation carriers. Three dual-modality strategies were compared with digital mammography (DM) alone: 1) DM and MRI alternating at 6-month intervals beginning at age 25 years (Alt25), 2) annual MRI beginning at age 25 years with alternating DM added at age 30 years (MRI25/Alt30), and 3) DM and MRI alternating at 6-month intervals beginning at age 30 years (Alt30). Primary outcomes were quality-adjusted life years (QALYs), lifetime costs (in 2010 US dollars), and incremental cost-effectiveness (dollars per QALY gained). Additional outcomes included potential harms of screening, and lifetime costs stratified into component categories (screening and diagnosis, treatment, mortality, and patient time costs). RESULTS: All 3 dual-modality screening strategies increased QALYs and costs. Alt30 screening had the lowest incremental costs per additional QALY gained (BRCA1, $74,200 per QALY; BRCA2, $215,700 per QALY). False-positive test results increased substantially with dual-modality screening and occurred more frequently in BRCA2 carriers. Downstream savings in both breast cancer treatment and mortality costs were outweighed by increases in up-front screening and diagnosis costs. The results were influenced most by estimates of breast cancer risk and MRI costs. CONCLUSIONS: Alternating MRI and DM screening at 6-month intervals beginning at age 30 years was identified as a clinically effective approach to applying current guidelines, and was more cost-effective in BRCA1 gene mutation carriers compared with BRCA2 gene mutation carriers.",2013-01-10085,23184400,Cancer,Jessica E Cott Chubiz,2013,119 / 6,,No,23184400,"Jessica E Cott Chubiz; Janie M Lee; Michael E Gilmore; Chung Y Kong; Kathryn P Lowry; Elkan F Halpern; Pamela M McMahon; Paula D Ryan; G Scott Gazelle; Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers, Cancer, 2013 Mar 15; 119(6):0008-543X",QALY,United States of America,Not Stated,Not Stated,Digital mammography beginning at age 25 years (DM25) vs. Digital mammography beginning at age 30 years (DM30),BRCA1 carriers,Not Stated,19 Years,Female,Full,Lifetime,3.00,3.00,130000,United States,2010,154297.2
10709,Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers,"BACKGROUND: Current clinical guidelines recommend earlier, more intensive breast cancer screening with both magnetic resonance imaging (MRI) and mammography for women with breast cancer susceptibility gene (BRCA) mutations. Unspecified details of screening schedules are a challenge for implementing guidelines. METHODS: A Markov Monte Carlo computer model was used to simulate screening in asymptomatic women who were BRCA1 and BRCA2 mutation carriers. Three dual-modality strategies were compared with digital mammography (DM) alone: 1) DM and MRI alternating at 6-month intervals beginning at age 25 years (Alt25), 2) annual MRI beginning at age 25 years with alternating DM added at age 30 years (MRI25/Alt30), and 3) DM and MRI alternating at 6-month intervals beginning at age 30 years (Alt30). Primary outcomes were quality-adjusted life years (QALYs), lifetime costs (in 2010 US dollars), and incremental cost-effectiveness (dollars per QALY gained). Additional outcomes included potential harms of screening, and lifetime costs stratified into component categories (screening and diagnosis, treatment, mortality, and patient time costs). RESULTS: All 3 dual-modality screening strategies increased QALYs and costs. Alt30 screening had the lowest incremental costs per additional QALY gained (BRCA1, $74,200 per QALY; BRCA2, $215,700 per QALY). False-positive test results increased substantially with dual-modality screening and occurred more frequently in BRCA2 carriers. Downstream savings in both breast cancer treatment and mortality costs were outweighed by increases in up-front screening and diagnosis costs. The results were influenced most by estimates of breast cancer risk and MRI costs. CONCLUSIONS: Alternating MRI and DM screening at 6-month intervals beginning at age 30 years was identified as a clinically effective approach to applying current guidelines, and was more cost-effective in BRCA1 gene mutation carriers compared with BRCA2 gene mutation carriers.",2013-01-10085,23184400,Cancer,Jessica E Cott Chubiz,2013,119 / 6,,No,23184400,"Jessica E Cott Chubiz; Janie M Lee; Michael E Gilmore; Chung Y Kong; Kathryn P Lowry; Elkan F Halpern; Pamela M McMahon; Paula D Ryan; G Scott Gazelle; Cost-effectiveness of alternating magnetic resonance imaging and digital mammography screening in BRCA1 and BRCA2 gene mutation carriers, Cancer, 2013 Mar 15; 119(6):0008-543X",QALY,United States of America,Not Stated,Not Stated,Digital mammography beginning at age 25 years (DM25) vs. Digital mammography beginning at age 30 years (DM30),BRCA2 carriers,Not Stated,19 Years,Female,Full,Lifetime,3.00,3.00,Not Stated,United States,2010,Not Stated
10710,Cost-Effectiveness of Screening for Microalbuminuria among African Americans,"Compared with other racial groups, African Americans have a similar prevalence of CKD but are much more likely to progress to ESRD, suggesting that the cost-effectiveness of screening strategies requires dedicated study in this population. Here, we calibrated the CKD Health Policy Model so that it accurately forecasts the higher rates for ESRD observed for African Americans. We then used the calibrated model to estimate the cost-effectiveness of screening for microalbuminuria followed by treatment with angiotensin-converting enzyme inhibitors or angiotensin II-receptor blockers. Incorporating racial differences in risk factors did not fully explain the much higher lifetime incidence of ESRD among African Americans. Thus, to calibrate the model, we applied a 20% increase in the rate of GFR decline at stage 3 and a 60% increase in the rate of GFR decline at stage 4, which resulted in a model that closely reflects lifetime ESRD incidence among African Americans. Compared with usual care, screening African Americans for microalbuminuria at 10-, 5-, 2-, and 1-year intervals had incremental cost-effectiveness ratios of $9000, $11,000, $19,000, and $35,000 per quality-adjusted life year, respectively. Incremental cost-effectiveness ratios for the same screening intervals were higher for non-African Americans: $17,000, $23,000, $44,000, and $81,000 per quality-adjusted life year, respectively. In summary, these models suggest that screening African Americans for microalbuminuria at either 5- or 10-year intervals is highly cost-effective.",2013-01-10105,23204444,J Am Soc Nephrol,Thomas J Hoerger,2013,23 / 12,2035-41,No,23204444,"Thomas J Hoerger; John S Wittenborn; Xiaohui Zhuo; Meda E Pavkov; Nilka R Burrows; Paul Eggers; Regina Jordan; Sharon Saydah; Desmond E Williams; Cost-Effectiveness of Screening for Microalbuminuria among African Americans, J Am Soc Nephrol, ; 23(12):1046-6673; 2035-41",QALY,United States of America,Not Stated,Not Stated,Screening for microalbuminuria at 10 year interval vs. Standard/Usual care,African Americans,Not Stated,19 Years,Not Stated,Full,Lifetime,3.00,3.00,6666.67,United States,2006,8558.57
