index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
13501,A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand,"BACKGROUND: Only lamivudine has been included for patients with chronic hepatitis B (CHB) in the National List of Essential Drugs (NLED), a pharmaceutical reimbursement list in Thailand. There have also been no economic evaluation studies of CHB drug treatments conducted in Thailand yet. In order to fill this gap in policy research, the objective of this study was to compare the cost-utility of each drug therapy (Figure 1) with palliative care in patients with HBeAg-positive CHB. METHODS: A cost-utility analysis using an economic evaluation model was performed to compare each drug treatment for HBeAg-positive CHB patients. A Markov model was used to estimate the relevant costs and health outcomes during a lifetime horizon based on a societal perspective. Direct medical costs, direct non-medical costs, and indirect costs were included, and health outcomes were denoted in life years (LYs) and quality-adjusted life years (QALYs). The results were presented as an incremental cost effectiveness ratio (ICER) in Thai baht (THB) per LY or QALY gained. One-way sensitivity and probabilistic sensitivity analyses were applied to investigate the effects of model parameter uncertainties. RESULTS: The ICER values of providing generic lamivudine with the addition of tenofovir when drug resistance occurred, generic lamivudine with the addition of tenofovir based on the road map guideline, and tenofovir monotherapy were -14,000 (USD -467), -8,000 (USD -267) , and -5,000 (USD -167) THB per QALY gained, respectively. However, when taking into account all parameter uncertainties in the model, providing generic lamivudine with the addition of tenofovir when drug resistance occurred (78% and 75%) and tenofovir monotherapy (18% and 24%) would yield higher probabilities of being cost-effective at the societal willingness to pay thresholds of 100,000 (USD 3,333) and 300,000 (USD 10,000) THB per QALY gained in Thailand, respectively. CONCLUSIONS: Based on the policy recommendations from this study, the Thai government decided to include tenofovir into the NLED in addition to generic lamivudine which is already on the list. Moreover, the results have shown that the preferred treatment regimen involves using generic lamivudine as the first-line drug with tenofovir added if drug resistance occurs in HBeAg-positive CHB patients.",2014-01-16726,24731689,BMC Health Serv Res,Narisa Tantai,2014,14 /,170,Yes,24731689,"Narisa Tantai; Usa Chaikledkaew; Tawesak Tanwandee; Pitsaphun Werayingyong; Yot Teerawattananon; A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand, BMC Health Serv Res, ; 14():1472-6963; 170",QALY,Thailand,Not Stated,Not Stated,Generic lamivudine + adefovir based on road map guideline vs. Palliative care,Not Stated,Not Stated,30 Years,"Female, Male",Full,Lifetime,3.00,3.00,121000,Thailand,2010,4536.59
13502,A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand,"BACKGROUND: Only lamivudine has been included for patients with chronic hepatitis B (CHB) in the National List of Essential Drugs (NLED), a pharmaceutical reimbursement list in Thailand. There have also been no economic evaluation studies of CHB drug treatments conducted in Thailand yet. In order to fill this gap in policy research, the objective of this study was to compare the cost-utility of each drug therapy (Figure 1) with palliative care in patients with HBeAg-positive CHB. METHODS: A cost-utility analysis using an economic evaluation model was performed to compare each drug treatment for HBeAg-positive CHB patients. A Markov model was used to estimate the relevant costs and health outcomes during a lifetime horizon based on a societal perspective. Direct medical costs, direct non-medical costs, and indirect costs were included, and health outcomes were denoted in life years (LYs) and quality-adjusted life years (QALYs). The results were presented as an incremental cost effectiveness ratio (ICER) in Thai baht (THB) per LY or QALY gained. One-way sensitivity and probabilistic sensitivity analyses were applied to investigate the effects of model parameter uncertainties. RESULTS: The ICER values of providing generic lamivudine with the addition of tenofovir when drug resistance occurred, generic lamivudine with the addition of tenofovir based on the road map guideline, and tenofovir monotherapy were -14,000 (USD -467), -8,000 (USD -267) , and -5,000 (USD -167) THB per QALY gained, respectively. However, when taking into account all parameter uncertainties in the model, providing generic lamivudine with the addition of tenofovir when drug resistance occurred (78% and 75%) and tenofovir monotherapy (18% and 24%) would yield higher probabilities of being cost-effective at the societal willingness to pay thresholds of 100,000 (USD 3,333) and 300,000 (USD 10,000) THB per QALY gained in Thailand, respectively. CONCLUSIONS: Based on the policy recommendations from this study, the Thai government decided to include tenofovir into the NLED in addition to generic lamivudine which is already on the list. Moreover, the results have shown that the preferred treatment regimen involves using generic lamivudine as the first-line drug with tenofovir added if drug resistance occurs in HBeAg-positive CHB patients.",2014-01-16726,24731689,BMC Health Serv Res,Narisa Tantai,2014,14 /,170,Yes,24731689,"Narisa Tantai; Usa Chaikledkaew; Tawesak Tanwandee; Pitsaphun Werayingyong; Yot Teerawattananon; A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand, BMC Health Serv Res, ; 14():1472-6963; 170",QALY,Thailand,Not Stated,Not Stated,Telbivudine + tenofovir when resistance develops vs. Palliative care,Not Stated,Not Stated,30 Years,"Female, Male",Full,Lifetime,3.00,3.00,121000,Thailand,2010,4536.59
13503,A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand,"BACKGROUND: Only lamivudine has been included for patients with chronic hepatitis B (CHB) in the National List of Essential Drugs (NLED), a pharmaceutical reimbursement list in Thailand. There have also been no economic evaluation studies of CHB drug treatments conducted in Thailand yet. In order to fill this gap in policy research, the objective of this study was to compare the cost-utility of each drug therapy (Figure 1) with palliative care in patients with HBeAg-positive CHB. METHODS: A cost-utility analysis using an economic evaluation model was performed to compare each drug treatment for HBeAg-positive CHB patients. A Markov model was used to estimate the relevant costs and health outcomes during a lifetime horizon based on a societal perspective. Direct medical costs, direct non-medical costs, and indirect costs were included, and health outcomes were denoted in life years (LYs) and quality-adjusted life years (QALYs). The results were presented as an incremental cost effectiveness ratio (ICER) in Thai baht (THB) per LY or QALY gained. One-way sensitivity and probabilistic sensitivity analyses were applied to investigate the effects of model parameter uncertainties. RESULTS: The ICER values of providing generic lamivudine with the addition of tenofovir when drug resistance occurred, generic lamivudine with the addition of tenofovir based on the road map guideline, and tenofovir monotherapy were -14,000 (USD -467), -8,000 (USD -267) , and -5,000 (USD -167) THB per QALY gained, respectively. However, when taking into account all parameter uncertainties in the model, providing generic lamivudine with the addition of tenofovir when drug resistance occurred (78% and 75%) and tenofovir monotherapy (18% and 24%) would yield higher probabilities of being cost-effective at the societal willingness to pay thresholds of 100,000 (USD 3,333) and 300,000 (USD 10,000) THB per QALY gained in Thailand, respectively. CONCLUSIONS: Based on the policy recommendations from this study, the Thai government decided to include tenofovir into the NLED in addition to generic lamivudine which is already on the list. Moreover, the results have shown that the preferred treatment regimen involves using generic lamivudine as the first-line drug with tenofovir added if drug resistance occurs in HBeAg-positive CHB patients.",2014-01-16726,24731689,BMC Health Serv Res,Narisa Tantai,2014,14 /,170,Yes,24731689,"Narisa Tantai; Usa Chaikledkaew; Tawesak Tanwandee; Pitsaphun Werayingyong; Yot Teerawattananon; A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand, BMC Health Serv Res, ; 14():1472-6963; 170",QALY,Thailand,Not Stated,Not Stated,Pegylated interferon + original lamivudine + tenofovir when resistance develops vs. Palliative care,Not Stated,Not Stated,30 Years,"Female, Male",Full,Lifetime,3.00,3.00,158000,Thailand,2010,5923.81
13504,A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand,"BACKGROUND: Only lamivudine has been included for patients with chronic hepatitis B (CHB) in the National List of Essential Drugs (NLED), a pharmaceutical reimbursement list in Thailand. There have also been no economic evaluation studies of CHB drug treatments conducted in Thailand yet. In order to fill this gap in policy research, the objective of this study was to compare the cost-utility of each drug therapy (Figure 1) with palliative care in patients with HBeAg-positive CHB. METHODS: A cost-utility analysis using an economic evaluation model was performed to compare each drug treatment for HBeAg-positive CHB patients. A Markov model was used to estimate the relevant costs and health outcomes during a lifetime horizon based on a societal perspective. Direct medical costs, direct non-medical costs, and indirect costs were included, and health outcomes were denoted in life years (LYs) and quality-adjusted life years (QALYs). The results were presented as an incremental cost effectiveness ratio (ICER) in Thai baht (THB) per LY or QALY gained. One-way sensitivity and probabilistic sensitivity analyses were applied to investigate the effects of model parameter uncertainties. RESULTS: The ICER values of providing generic lamivudine with the addition of tenofovir when drug resistance occurred, generic lamivudine with the addition of tenofovir based on the road map guideline, and tenofovir monotherapy were -14,000 (USD -467), -8,000 (USD -267) , and -5,000 (USD -167) THB per QALY gained, respectively. However, when taking into account all parameter uncertainties in the model, providing generic lamivudine with the addition of tenofovir when drug resistance occurred (78% and 75%) and tenofovir monotherapy (18% and 24%) would yield higher probabilities of being cost-effective at the societal willingness to pay thresholds of 100,000 (USD 3,333) and 300,000 (USD 10,000) THB per QALY gained in Thailand, respectively. CONCLUSIONS: Based on the policy recommendations from this study, the Thai government decided to include tenofovir into the NLED in addition to generic lamivudine which is already on the list. Moreover, the results have shown that the preferred treatment regimen involves using generic lamivudine as the first-line drug with tenofovir added if drug resistance occurs in HBeAg-positive CHB patients.",2014-01-16726,24731689,BMC Health Serv Res,Narisa Tantai,2014,14 /,170,Yes,24731689,"Narisa Tantai; Usa Chaikledkaew; Tawesak Tanwandee; Pitsaphun Werayingyong; Yot Teerawattananon; A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand, BMC Health Serv Res, ; 14():1472-6963; 170",QALY,Thailand,Not Stated,Not Stated,Adefovir + generic lamivudine when resistance develops vs. Palliative care,Not Stated,Not Stated,30 Years,"Female, Male",Full,Lifetime,3.00,3.00,167000,Thailand,2010,6261.24
13505,A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand,"BACKGROUND: Only lamivudine has been included for patients with chronic hepatitis B (CHB) in the National List of Essential Drugs (NLED), a pharmaceutical reimbursement list in Thailand. There have also been no economic evaluation studies of CHB drug treatments conducted in Thailand yet. In order to fill this gap in policy research, the objective of this study was to compare the cost-utility of each drug therapy (Figure 1) with palliative care in patients with HBeAg-positive CHB. METHODS: A cost-utility analysis using an economic evaluation model was performed to compare each drug treatment for HBeAg-positive CHB patients. A Markov model was used to estimate the relevant costs and health outcomes during a lifetime horizon based on a societal perspective. Direct medical costs, direct non-medical costs, and indirect costs were included, and health outcomes were denoted in life years (LYs) and quality-adjusted life years (QALYs). The results were presented as an incremental cost effectiveness ratio (ICER) in Thai baht (THB) per LY or QALY gained. One-way sensitivity and probabilistic sensitivity analyses were applied to investigate the effects of model parameter uncertainties. RESULTS: The ICER values of providing generic lamivudine with the addition of tenofovir when drug resistance occurred, generic lamivudine with the addition of tenofovir based on the road map guideline, and tenofovir monotherapy were -14,000 (USD -467), -8,000 (USD -267) , and -5,000 (USD -167) THB per QALY gained, respectively. However, when taking into account all parameter uncertainties in the model, providing generic lamivudine with the addition of tenofovir when drug resistance occurred (78% and 75%) and tenofovir monotherapy (18% and 24%) would yield higher probabilities of being cost-effective at the societal willingness to pay thresholds of 100,000 (USD 3,333) and 300,000 (USD 10,000) THB per QALY gained in Thailand, respectively. CONCLUSIONS: Based on the policy recommendations from this study, the Thai government decided to include tenofovir into the NLED in addition to generic lamivudine which is already on the list. Moreover, the results have shown that the preferred treatment regimen involves using generic lamivudine as the first-line drug with tenofovir added if drug resistance occurs in HBeAg-positive CHB patients.",2014-01-16726,24731689,BMC Health Serv Res,Narisa Tantai,2014,14 /,170,Yes,24731689,"Narisa Tantai; Usa Chaikledkaew; Tawesak Tanwandee; Pitsaphun Werayingyong; Yot Teerawattananon; A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand, BMC Health Serv Res, ; 14():1472-6963; 170",QALY,Thailand,Not Stated,Not Stated,Pegylated interferon + lamivudine + adefovir when resistance develops vs. Palliative care,Not Stated,Not Stated,30 Years,"Female, Male",Full,Lifetime,3.00,3.00,167000,Thailand,2010,6261.24
13506,A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand,"BACKGROUND: Only lamivudine has been included for patients with chronic hepatitis B (CHB) in the National List of Essential Drugs (NLED), a pharmaceutical reimbursement list in Thailand. There have also been no economic evaluation studies of CHB drug treatments conducted in Thailand yet. In order to fill this gap in policy research, the objective of this study was to compare the cost-utility of each drug therapy (Figure 1) with palliative care in patients with HBeAg-positive CHB. METHODS: A cost-utility analysis using an economic evaluation model was performed to compare each drug treatment for HBeAg-positive CHB patients. A Markov model was used to estimate the relevant costs and health outcomes during a lifetime horizon based on a societal perspective. Direct medical costs, direct non-medical costs, and indirect costs were included, and health outcomes were denoted in life years (LYs) and quality-adjusted life years (QALYs). The results were presented as an incremental cost effectiveness ratio (ICER) in Thai baht (THB) per LY or QALY gained. One-way sensitivity and probabilistic sensitivity analyses were applied to investigate the effects of model parameter uncertainties. RESULTS: The ICER values of providing generic lamivudine with the addition of tenofovir when drug resistance occurred, generic lamivudine with the addition of tenofovir based on the road map guideline, and tenofovir monotherapy were -14,000 (USD -467), -8,000 (USD -267) , and -5,000 (USD -167) THB per QALY gained, respectively. However, when taking into account all parameter uncertainties in the model, providing generic lamivudine with the addition of tenofovir when drug resistance occurred (78% and 75%) and tenofovir monotherapy (18% and 24%) would yield higher probabilities of being cost-effective at the societal willingness to pay thresholds of 100,000 (USD 3,333) and 300,000 (USD 10,000) THB per QALY gained in Thailand, respectively. CONCLUSIONS: Based on the policy recommendations from this study, the Thai government decided to include tenofovir into the NLED in addition to generic lamivudine which is already on the list. Moreover, the results have shown that the preferred treatment regimen involves using generic lamivudine as the first-line drug with tenofovir added if drug resistance occurs in HBeAg-positive CHB patients.",2014-01-16726,24731689,BMC Health Serv Res,Narisa Tantai,2014,14 /,170,Yes,24731689,"Narisa Tantai; Usa Chaikledkaew; Tawesak Tanwandee; Pitsaphun Werayingyong; Yot Teerawattananon; A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand, BMC Health Serv Res, ; 14():1472-6963; 170",QALY,Thailand,Not Stated,Not Stated,Telbivudine + adefovir when resistance develops vs. Palliative care,Not Stated,Not Stated,30 Years,"Female, Male",Full,Lifetime,3.00,3.00,178000,Thailand,2010,6673.65
13507,A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand,"BACKGROUND: Only lamivudine has been included for patients with chronic hepatitis B (CHB) in the National List of Essential Drugs (NLED), a pharmaceutical reimbursement list in Thailand. There have also been no economic evaluation studies of CHB drug treatments conducted in Thailand yet. In order to fill this gap in policy research, the objective of this study was to compare the cost-utility of each drug therapy (Figure 1) with palliative care in patients with HBeAg-positive CHB. METHODS: A cost-utility analysis using an economic evaluation model was performed to compare each drug treatment for HBeAg-positive CHB patients. A Markov model was used to estimate the relevant costs and health outcomes during a lifetime horizon based on a societal perspective. Direct medical costs, direct non-medical costs, and indirect costs were included, and health outcomes were denoted in life years (LYs) and quality-adjusted life years (QALYs). The results were presented as an incremental cost effectiveness ratio (ICER) in Thai baht (THB) per LY or QALY gained. One-way sensitivity and probabilistic sensitivity analyses were applied to investigate the effects of model parameter uncertainties. RESULTS: The ICER values of providing generic lamivudine with the addition of tenofovir when drug resistance occurred, generic lamivudine with the addition of tenofovir based on the road map guideline, and tenofovir monotherapy were -14,000 (USD -467), -8,000 (USD -267) , and -5,000 (USD -167) THB per QALY gained, respectively. However, when taking into account all parameter uncertainties in the model, providing generic lamivudine with the addition of tenofovir when drug resistance occurred (78% and 75%) and tenofovir monotherapy (18% and 24%) would yield higher probabilities of being cost-effective at the societal willingness to pay thresholds of 100,000 (USD 3,333) and 300,000 (USD 10,000) THB per QALY gained in Thailand, respectively. CONCLUSIONS: Based on the policy recommendations from this study, the Thai government decided to include tenofovir into the NLED in addition to generic lamivudine which is already on the list. Moreover, the results have shown that the preferred treatment regimen involves using generic lamivudine as the first-line drug with tenofovir added if drug resistance occurs in HBeAg-positive CHB patients.",2014-01-16726,24731689,BMC Health Serv Res,Narisa Tantai,2014,14 /,170,Yes,24731689,"Narisa Tantai; Usa Chaikledkaew; Tawesak Tanwandee; Pitsaphun Werayingyong; Yot Teerawattananon; A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand, BMC Health Serv Res, ; 14():1472-6963; 170",QALY,Thailand,Not Stated,Not Stated,Pegylated interferon + telbivudine + tenofovir when resistance develops vs. Palliative care,Not Stated,Not Stated,30 Years,"Female, Male",Full,Lifetime,3.00,3.00,181000,Thailand,2010,6786.13
13508,A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand,"BACKGROUND: Only lamivudine has been included for patients with chronic hepatitis B (CHB) in the National List of Essential Drugs (NLED), a pharmaceutical reimbursement list in Thailand. There have also been no economic evaluation studies of CHB drug treatments conducted in Thailand yet. In order to fill this gap in policy research, the objective of this study was to compare the cost-utility of each drug therapy (Figure 1) with palliative care in patients with HBeAg-positive CHB. METHODS: A cost-utility analysis using an economic evaluation model was performed to compare each drug treatment for HBeAg-positive CHB patients. A Markov model was used to estimate the relevant costs and health outcomes during a lifetime horizon based on a societal perspective. Direct medical costs, direct non-medical costs, and indirect costs were included, and health outcomes were denoted in life years (LYs) and quality-adjusted life years (QALYs). The results were presented as an incremental cost effectiveness ratio (ICER) in Thai baht (THB) per LY or QALY gained. One-way sensitivity and probabilistic sensitivity analyses were applied to investigate the effects of model parameter uncertainties. RESULTS: The ICER values of providing generic lamivudine with the addition of tenofovir when drug resistance occurred, generic lamivudine with the addition of tenofovir based on the road map guideline, and tenofovir monotherapy were -14,000 (USD -467), -8,000 (USD -267) , and -5,000 (USD -167) THB per QALY gained, respectively. However, when taking into account all parameter uncertainties in the model, providing generic lamivudine with the addition of tenofovir when drug resistance occurred (78% and 75%) and tenofovir monotherapy (18% and 24%) would yield higher probabilities of being cost-effective at the societal willingness to pay thresholds of 100,000 (USD 3,333) and 300,000 (USD 10,000) THB per QALY gained in Thailand, respectively. CONCLUSIONS: Based on the policy recommendations from this study, the Thai government decided to include tenofovir into the NLED in addition to generic lamivudine which is already on the list. Moreover, the results have shown that the preferred treatment regimen involves using generic lamivudine as the first-line drug with tenofovir added if drug resistance occurs in HBeAg-positive CHB patients.",2014-01-16726,24731689,BMC Health Serv Res,Narisa Tantai,2014,14 /,170,Yes,24731689,"Narisa Tantai; Usa Chaikledkaew; Tawesak Tanwandee; Pitsaphun Werayingyong; Yot Teerawattananon; A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand, BMC Health Serv Res, ; 14():1472-6963; 170",QALY,Thailand,Not Stated,Not Stated,Original lamivudine + adefovir when resistance develops vs. Palliative care,Not Stated,Not Stated,30 Years,"Female, Male",Full,Lifetime,3.00,3.00,186000,Thailand,2010,6973.59
13509,A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand,"BACKGROUND: Only lamivudine has been included for patients with chronic hepatitis B (CHB) in the National List of Essential Drugs (NLED), a pharmaceutical reimbursement list in Thailand. There have also been no economic evaluation studies of CHB drug treatments conducted in Thailand yet. In order to fill this gap in policy research, the objective of this study was to compare the cost-utility of each drug therapy (Figure 1) with palliative care in patients with HBeAg-positive CHB. METHODS: A cost-utility analysis using an economic evaluation model was performed to compare each drug treatment for HBeAg-positive CHB patients. A Markov model was used to estimate the relevant costs and health outcomes during a lifetime horizon based on a societal perspective. Direct medical costs, direct non-medical costs, and indirect costs were included, and health outcomes were denoted in life years (LYs) and quality-adjusted life years (QALYs). The results were presented as an incremental cost effectiveness ratio (ICER) in Thai baht (THB) per LY or QALY gained. One-way sensitivity and probabilistic sensitivity analyses were applied to investigate the effects of model parameter uncertainties. RESULTS: The ICER values of providing generic lamivudine with the addition of tenofovir when drug resistance occurred, generic lamivudine with the addition of tenofovir based on the road map guideline, and tenofovir monotherapy were -14,000 (USD -467), -8,000 (USD -267) , and -5,000 (USD -167) THB per QALY gained, respectively. However, when taking into account all parameter uncertainties in the model, providing generic lamivudine with the addition of tenofovir when drug resistance occurred (78% and 75%) and tenofovir monotherapy (18% and 24%) would yield higher probabilities of being cost-effective at the societal willingness to pay thresholds of 100,000 (USD 3,333) and 300,000 (USD 10,000) THB per QALY gained in Thailand, respectively. CONCLUSIONS: Based on the policy recommendations from this study, the Thai government decided to include tenofovir into the NLED in addition to generic lamivudine which is already on the list. Moreover, the results have shown that the preferred treatment regimen involves using generic lamivudine as the first-line drug with tenofovir added if drug resistance occurs in HBeAg-positive CHB patients.",2014-01-16726,24731689,BMC Health Serv Res,Narisa Tantai,2014,14 /,170,Yes,24731689,"Narisa Tantai; Usa Chaikledkaew; Tawesak Tanwandee; Pitsaphun Werayingyong; Yot Teerawattananon; A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand, BMC Health Serv Res, ; 14():1472-6963; 170",QALY,Thailand,Not Stated,Not Stated,Entecavir + tenofovir when resistance develops vs. Palliative care,Not Stated,Not Stated,30 Years,"Female, Male",Full,Lifetime,3.00,3.00,197000,Thailand,2010,7386.01
13510,A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand,"BACKGROUND: Only lamivudine has been included for patients with chronic hepatitis B (CHB) in the National List of Essential Drugs (NLED), a pharmaceutical reimbursement list in Thailand. There have also been no economic evaluation studies of CHB drug treatments conducted in Thailand yet. In order to fill this gap in policy research, the objective of this study was to compare the cost-utility of each drug therapy (Figure 1) with palliative care in patients with HBeAg-positive CHB. METHODS: A cost-utility analysis using an economic evaluation model was performed to compare each drug treatment for HBeAg-positive CHB patients. A Markov model was used to estimate the relevant costs and health outcomes during a lifetime horizon based on a societal perspective. Direct medical costs, direct non-medical costs, and indirect costs were included, and health outcomes were denoted in life years (LYs) and quality-adjusted life years (QALYs). The results were presented as an incremental cost effectiveness ratio (ICER) in Thai baht (THB) per LY or QALY gained. One-way sensitivity and probabilistic sensitivity analyses were applied to investigate the effects of model parameter uncertainties. RESULTS: The ICER values of providing generic lamivudine with the addition of tenofovir when drug resistance occurred, generic lamivudine with the addition of tenofovir based on the road map guideline, and tenofovir monotherapy were -14,000 (USD -467), -8,000 (USD -267) , and -5,000 (USD -167) THB per QALY gained, respectively. However, when taking into account all parameter uncertainties in the model, providing generic lamivudine with the addition of tenofovir when drug resistance occurred (78% and 75%) and tenofovir monotherapy (18% and 24%) would yield higher probabilities of being cost-effective at the societal willingness to pay thresholds of 100,000 (USD 3,333) and 300,000 (USD 10,000) THB per QALY gained in Thailand, respectively. CONCLUSIONS: Based on the policy recommendations from this study, the Thai government decided to include tenofovir into the NLED in addition to generic lamivudine which is already on the list. Moreover, the results have shown that the preferred treatment regimen involves using generic lamivudine as the first-line drug with tenofovir added if drug resistance occurs in HBeAg-positive CHB patients.",2014-01-16726,24731689,BMC Health Serv Res,Narisa Tantai,2014,14 /,170,Yes,24731689,"Narisa Tantai; Usa Chaikledkaew; Tawesak Tanwandee; Pitsaphun Werayingyong; Yot Teerawattananon; A cost-utility analysis of drug treatments in patients with HBeAg-positive chronic hepatitis B in Thailand, BMC Health Serv Res, ; 14():1472-6963; 170",QALY,Thailand,Not Stated,Not Stated,Entecavir + adefovir when resistance develops vs. Palliative care,Not Stated,Not Stated,30 Years,"Female, Male",Full,Lifetime,3.00,3.00,200000,Thailand,2010,7498.49
