index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
15801,Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis,"BACKGROUND: Chronic hepatitis C (CHC) has been undertreated among elderly patients. Interferon-free treatment represents an opportunity for these patients. The aim of this study was to assess the cost-effectiveness of directly acting antivirals (DAAs) in CHC elderly patients. METHODS: A Markov model of CHC natural history was built. This study focuses on CHC patients older than 65 years, stratified according to genotype (1/4, 2 and 3), liver fibrosis (METAVIR F1 to F4), age and frailty phenotype (robust, pre-frail and frail). DAAs combination vs no treatment was simulated for each theoretical population, assessing life years, quality-adjusted life years (QALYs), costs, incremental cost-effectiveness ratios (ICERs) in a lifetime time horizon and by the Healthcare System perspective. RESULTS: Incremental cost-effectiveness ratio increased with age and frailty status in all fibrosis stages. For robust F3 and F4 patients ICERs remained below the willingness-to-pay threshold (WTP) of 40 000euro/QALY up to age 75 and 86 years, respectively, depending on drug price and sustained virological response probability (sensitivity analysis). Notably, in F4 and frail subjects older than 75 years, ICER was more sensitive to non-liver-related mortality rate. In elderly F1 and F2 patients, ICERs were below WTP only up to 77 years old, with wide variability among frailty phenotypes. CONCLUSIONS: Cost-effectiveness of DAAs treatment of elderly CHC patients is solid in those with advanced fibrosis, but it depends strongly on frailty status and age, particularly in patients with milder fibrosis stages. Accurate assessment of clinical variables, including frailty, is necessary to allocate limited resources to this special population.",2016-01-21491,27943549,Liver Int,Antonio Ciaccio,2016,/,,No,27943549,"Antonio Ciaccio; Paolo Angelo Cortesi; Giuseppe Bellelli; Matteo Rota; Sara Conti; Stefano Okolicsanyi; Monica Rota; Giancarlo Cesana; Lorenzo Mantovani Giovanni; Giorgio Annoni; Mario Strazzabosco; Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis, Liver Int, 2016 Dec 10; ():1478-3223",QALY,Not Stated,Not Stated,Not Stated,Sofosbuvir and ledipasvir vs. None,Genotype 1 and 4 with F4 fibrosis and Frailty phenotype pre-frail,75 Years,75 Years,"Female, Male",Full,Lifetime,3,3,16796,Euro,2015,20352.89
15802,Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis,"BACKGROUND: Chronic hepatitis C (CHC) has been undertreated among elderly patients. Interferon-free treatment represents an opportunity for these patients. The aim of this study was to assess the cost-effectiveness of directly acting antivirals (DAAs) in CHC elderly patients. METHODS: A Markov model of CHC natural history was built. This study focuses on CHC patients older than 65 years, stratified according to genotype (1/4, 2 and 3), liver fibrosis (METAVIR F1 to F4), age and frailty phenotype (robust, pre-frail and frail). DAAs combination vs no treatment was simulated for each theoretical population, assessing life years, quality-adjusted life years (QALYs), costs, incremental cost-effectiveness ratios (ICERs) in a lifetime time horizon and by the Healthcare System perspective. RESULTS: Incremental cost-effectiveness ratio increased with age and frailty status in all fibrosis stages. For robust F3 and F4 patients ICERs remained below the willingness-to-pay threshold (WTP) of 40 000euro/QALY up to age 75 and 86 years, respectively, depending on drug price and sustained virological response probability (sensitivity analysis). Notably, in F4 and frail subjects older than 75 years, ICER was more sensitive to non-liver-related mortality rate. In elderly F1 and F2 patients, ICERs were below WTP only up to 77 years old, with wide variability among frailty phenotypes. CONCLUSIONS: Cost-effectiveness of DAAs treatment of elderly CHC patients is solid in those with advanced fibrosis, but it depends strongly on frailty status and age, particularly in patients with milder fibrosis stages. Accurate assessment of clinical variables, including frailty, is necessary to allocate limited resources to this special population.",2016-01-21491,27943549,Liver Int,Antonio Ciaccio,2016,/,,No,27943549,"Antonio Ciaccio; Paolo Angelo Cortesi; Giuseppe Bellelli; Matteo Rota; Sara Conti; Stefano Okolicsanyi; Monica Rota; Giancarlo Cesana; Lorenzo Mantovani Giovanni; Giorgio Annoni; Mario Strazzabosco; Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis, Liver Int, 2016 Dec 10; ():1478-3223",QALY,Not Stated,Not Stated,Not Stated,Sofosbuvir and ledipasvir vs. None,Genotype 1 and 4 with F4 fibrosis and Frailty phenotype frail,75 Years,75 Years,"Female, Male",Full,Lifetime,3,3,23535,Euro,2015,28519.01
15803,Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis,"BACKGROUND: Chronic hepatitis C (CHC) has been undertreated among elderly patients. Interferon-free treatment represents an opportunity for these patients. The aim of this study was to assess the cost-effectiveness of directly acting antivirals (DAAs) in CHC elderly patients. METHODS: A Markov model of CHC natural history was built. This study focuses on CHC patients older than 65 years, stratified according to genotype (1/4, 2 and 3), liver fibrosis (METAVIR F1 to F4), age and frailty phenotype (robust, pre-frail and frail). DAAs combination vs no treatment was simulated for each theoretical population, assessing life years, quality-adjusted life years (QALYs), costs, incremental cost-effectiveness ratios (ICERs) in a lifetime time horizon and by the Healthcare System perspective. RESULTS: Incremental cost-effectiveness ratio increased with age and frailty status in all fibrosis stages. For robust F3 and F4 patients ICERs remained below the willingness-to-pay threshold (WTP) of 40 000euro/QALY up to age 75 and 86 years, respectively, depending on drug price and sustained virological response probability (sensitivity analysis). Notably, in F4 and frail subjects older than 75 years, ICER was more sensitive to non-liver-related mortality rate. In elderly F1 and F2 patients, ICERs were below WTP only up to 77 years old, with wide variability among frailty phenotypes. CONCLUSIONS: Cost-effectiveness of DAAs treatment of elderly CHC patients is solid in those with advanced fibrosis, but it depends strongly on frailty status and age, particularly in patients with milder fibrosis stages. Accurate assessment of clinical variables, including frailty, is necessary to allocate limited resources to this special population.",2016-01-21491,27943549,Liver Int,Antonio Ciaccio,2016,/,,No,27943549,"Antonio Ciaccio; Paolo Angelo Cortesi; Giuseppe Bellelli; Matteo Rota; Sara Conti; Stefano Okolicsanyi; Monica Rota; Giancarlo Cesana; Lorenzo Mantovani Giovanni; Giorgio Annoni; Mario Strazzabosco; Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis, Liver Int, 2016 Dec 10; ():1478-3223",QALY,Not Stated,Not Stated,Not Stated,Sofosbuvir and ledipasvir vs. None,Genotype 1 and 4 with F1 fibrosis and Frailty phenotype robust,80 Years,80 Years,"Female, Male",Full,Lifetime,3,3,85691,Euro,2015,103837.78
15804,Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis,"BACKGROUND: Chronic hepatitis C (CHC) has been undertreated among elderly patients. Interferon-free treatment represents an opportunity for these patients. The aim of this study was to assess the cost-effectiveness of directly acting antivirals (DAAs) in CHC elderly patients. METHODS: A Markov model of CHC natural history was built. This study focuses on CHC patients older than 65 years, stratified according to genotype (1/4, 2 and 3), liver fibrosis (METAVIR F1 to F4), age and frailty phenotype (robust, pre-frail and frail). DAAs combination vs no treatment was simulated for each theoretical population, assessing life years, quality-adjusted life years (QALYs), costs, incremental cost-effectiveness ratios (ICERs) in a lifetime time horizon and by the Healthcare System perspective. RESULTS: Incremental cost-effectiveness ratio increased with age and frailty status in all fibrosis stages. For robust F3 and F4 patients ICERs remained below the willingness-to-pay threshold (WTP) of 40 000euro/QALY up to age 75 and 86 years, respectively, depending on drug price and sustained virological response probability (sensitivity analysis). Notably, in F4 and frail subjects older than 75 years, ICER was more sensitive to non-liver-related mortality rate. In elderly F1 and F2 patients, ICERs were below WTP only up to 77 years old, with wide variability among frailty phenotypes. CONCLUSIONS: Cost-effectiveness of DAAs treatment of elderly CHC patients is solid in those with advanced fibrosis, but it depends strongly on frailty status and age, particularly in patients with milder fibrosis stages. Accurate assessment of clinical variables, including frailty, is necessary to allocate limited resources to this special population.",2016-01-21491,27943549,Liver Int,Antonio Ciaccio,2016,/,,No,27943549,"Antonio Ciaccio; Paolo Angelo Cortesi; Giuseppe Bellelli; Matteo Rota; Sara Conti; Stefano Okolicsanyi; Monica Rota; Giancarlo Cesana; Lorenzo Mantovani Giovanni; Giorgio Annoni; Mario Strazzabosco; Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis, Liver Int, 2016 Dec 10; ():1478-3223",QALY,Not Stated,Not Stated,Not Stated,Sofosbuvir and ledipasvir vs. None,Genotype 1 and 4 with F1 fibrosis and Frailty phenotype pre-frail,80 Years,80 Years,"Female, Male",Full,Lifetime,3,3,143343,Euro,2015,173698.74
15805,Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis,"BACKGROUND: Chronic hepatitis C (CHC) has been undertreated among elderly patients. Interferon-free treatment represents an opportunity for these patients. The aim of this study was to assess the cost-effectiveness of directly acting antivirals (DAAs) in CHC elderly patients. METHODS: A Markov model of CHC natural history was built. This study focuses on CHC patients older than 65 years, stratified according to genotype (1/4, 2 and 3), liver fibrosis (METAVIR F1 to F4), age and frailty phenotype (robust, pre-frail and frail). DAAs combination vs no treatment was simulated for each theoretical population, assessing life years, quality-adjusted life years (QALYs), costs, incremental cost-effectiveness ratios (ICERs) in a lifetime time horizon and by the Healthcare System perspective. RESULTS: Incremental cost-effectiveness ratio increased with age and frailty status in all fibrosis stages. For robust F3 and F4 patients ICERs remained below the willingness-to-pay threshold (WTP) of 40 000euro/QALY up to age 75 and 86 years, respectively, depending on drug price and sustained virological response probability (sensitivity analysis). Notably, in F4 and frail subjects older than 75 years, ICER was more sensitive to non-liver-related mortality rate. In elderly F1 and F2 patients, ICERs were below WTP only up to 77 years old, with wide variability among frailty phenotypes. CONCLUSIONS: Cost-effectiveness of DAAs treatment of elderly CHC patients is solid in those with advanced fibrosis, but it depends strongly on frailty status and age, particularly in patients with milder fibrosis stages. Accurate assessment of clinical variables, including frailty, is necessary to allocate limited resources to this special population.",2016-01-21491,27943549,Liver Int,Antonio Ciaccio,2016,/,,No,27943549,"Antonio Ciaccio; Paolo Angelo Cortesi; Giuseppe Bellelli; Matteo Rota; Sara Conti; Stefano Okolicsanyi; Monica Rota; Giancarlo Cesana; Lorenzo Mantovani Giovanni; Giorgio Annoni; Mario Strazzabosco; Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis, Liver Int, 2016 Dec 10; ():1478-3223",QALY,Not Stated,Not Stated,Not Stated,Sofosbuvir and ledipasvir vs. None,Genotype 1 and 4 with F1 fibrosis and Frailty phenotype frail,80 Years,80 Years,"Female, Male",Full,Lifetime,3,3,231448,Euro,2015,280461.73
15806,Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis,"BACKGROUND: Chronic hepatitis C (CHC) has been undertreated among elderly patients. Interferon-free treatment represents an opportunity for these patients. The aim of this study was to assess the cost-effectiveness of directly acting antivirals (DAAs) in CHC elderly patients. METHODS: A Markov model of CHC natural history was built. This study focuses on CHC patients older than 65 years, stratified according to genotype (1/4, 2 and 3), liver fibrosis (METAVIR F1 to F4), age and frailty phenotype (robust, pre-frail and frail). DAAs combination vs no treatment was simulated for each theoretical population, assessing life years, quality-adjusted life years (QALYs), costs, incremental cost-effectiveness ratios (ICERs) in a lifetime time horizon and by the Healthcare System perspective. RESULTS: Incremental cost-effectiveness ratio increased with age and frailty status in all fibrosis stages. For robust F3 and F4 patients ICERs remained below the willingness-to-pay threshold (WTP) of 40 000euro/QALY up to age 75 and 86 years, respectively, depending on drug price and sustained virological response probability (sensitivity analysis). Notably, in F4 and frail subjects older than 75 years, ICER was more sensitive to non-liver-related mortality rate. In elderly F1 and F2 patients, ICERs were below WTP only up to 77 years old, with wide variability among frailty phenotypes. CONCLUSIONS: Cost-effectiveness of DAAs treatment of elderly CHC patients is solid in those with advanced fibrosis, but it depends strongly on frailty status and age, particularly in patients with milder fibrosis stages. Accurate assessment of clinical variables, including frailty, is necessary to allocate limited resources to this special population.",2016-01-21491,27943549,Liver Int,Antonio Ciaccio,2016,/,,No,27943549,"Antonio Ciaccio; Paolo Angelo Cortesi; Giuseppe Bellelli; Matteo Rota; Sara Conti; Stefano Okolicsanyi; Monica Rota; Giancarlo Cesana; Lorenzo Mantovani Giovanni; Giorgio Annoni; Mario Strazzabosco; Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis, Liver Int, 2016 Dec 10; ():1478-3223",QALY,Not Stated,Not Stated,Not Stated,Sofosbuvir and ledipasvir vs. None,Genotype 1 and 4 with F2 fibrosis and Frailty phenotype robust,80 Years,80 Years,"Female, Male",Full,Lifetime,3,3,50716,Euro,2015,61456.12
15807,Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis,"BACKGROUND: Chronic hepatitis C (CHC) has been undertreated among elderly patients. Interferon-free treatment represents an opportunity for these patients. The aim of this study was to assess the cost-effectiveness of directly acting antivirals (DAAs) in CHC elderly patients. METHODS: A Markov model of CHC natural history was built. This study focuses on CHC patients older than 65 years, stratified according to genotype (1/4, 2 and 3), liver fibrosis (METAVIR F1 to F4), age and frailty phenotype (robust, pre-frail and frail). DAAs combination vs no treatment was simulated for each theoretical population, assessing life years, quality-adjusted life years (QALYs), costs, incremental cost-effectiveness ratios (ICERs) in a lifetime time horizon and by the Healthcare System perspective. RESULTS: Incremental cost-effectiveness ratio increased with age and frailty status in all fibrosis stages. For robust F3 and F4 patients ICERs remained below the willingness-to-pay threshold (WTP) of 40 000euro/QALY up to age 75 and 86 years, respectively, depending on drug price and sustained virological response probability (sensitivity analysis). Notably, in F4 and frail subjects older than 75 years, ICER was more sensitive to non-liver-related mortality rate. In elderly F1 and F2 patients, ICERs were below WTP only up to 77 years old, with wide variability among frailty phenotypes. CONCLUSIONS: Cost-effectiveness of DAAs treatment of elderly CHC patients is solid in those with advanced fibrosis, but it depends strongly on frailty status and age, particularly in patients with milder fibrosis stages. Accurate assessment of clinical variables, including frailty, is necessary to allocate limited resources to this special population.",2016-01-21491,27943549,Liver Int,Antonio Ciaccio,2016,/,,No,27943549,"Antonio Ciaccio; Paolo Angelo Cortesi; Giuseppe Bellelli; Matteo Rota; Sara Conti; Stefano Okolicsanyi; Monica Rota; Giancarlo Cesana; Lorenzo Mantovani Giovanni; Giorgio Annoni; Mario Strazzabosco; Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis, Liver Int, 2016 Dec 10; ():1478-3223",QALY,Not Stated,Not Stated,Not Stated,Sofosbuvir and ledipasvir vs. None,Genotype 1 and 4 with F2 fibrosis and Frailty phenotype pre-frail,80 Years,80 Years,"Female, Male",Full,Lifetime,3,3,84756,Euro,2015,102704.77
15808,Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis,"BACKGROUND: Chronic hepatitis C (CHC) has been undertreated among elderly patients. Interferon-free treatment represents an opportunity for these patients. The aim of this study was to assess the cost-effectiveness of directly acting antivirals (DAAs) in CHC elderly patients. METHODS: A Markov model of CHC natural history was built. This study focuses on CHC patients older than 65 years, stratified according to genotype (1/4, 2 and 3), liver fibrosis (METAVIR F1 to F4), age and frailty phenotype (robust, pre-frail and frail). DAAs combination vs no treatment was simulated for each theoretical population, assessing life years, quality-adjusted life years (QALYs), costs, incremental cost-effectiveness ratios (ICERs) in a lifetime time horizon and by the Healthcare System perspective. RESULTS: Incremental cost-effectiveness ratio increased with age and frailty status in all fibrosis stages. For robust F3 and F4 patients ICERs remained below the willingness-to-pay threshold (WTP) of 40 000euro/QALY up to age 75 and 86 years, respectively, depending on drug price and sustained virological response probability (sensitivity analysis). Notably, in F4 and frail subjects older than 75 years, ICER was more sensitive to non-liver-related mortality rate. In elderly F1 and F2 patients, ICERs were below WTP only up to 77 years old, with wide variability among frailty phenotypes. CONCLUSIONS: Cost-effectiveness of DAAs treatment of elderly CHC patients is solid in those with advanced fibrosis, but it depends strongly on frailty status and age, particularly in patients with milder fibrosis stages. Accurate assessment of clinical variables, including frailty, is necessary to allocate limited resources to this special population.",2016-01-21491,27943549,Liver Int,Antonio Ciaccio,2016,/,,No,27943549,"Antonio Ciaccio; Paolo Angelo Cortesi; Giuseppe Bellelli; Matteo Rota; Sara Conti; Stefano Okolicsanyi; Monica Rota; Giancarlo Cesana; Lorenzo Mantovani Giovanni; Giorgio Annoni; Mario Strazzabosco; Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis, Liver Int, 2016 Dec 10; ():1478-3223",QALY,Not Stated,Not Stated,Not Stated,Sofosbuvir and ledipasvir vs. None,Genotype 1 and 4 with F2 fibrosis and Frailty phenotype frail,80 Years,80 Years,"Female, Male",Full,Lifetime,3,3,139359,Euro,2015,168871.04
15809,Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis,"BACKGROUND: Chronic hepatitis C (CHC) has been undertreated among elderly patients. Interferon-free treatment represents an opportunity for these patients. The aim of this study was to assess the cost-effectiveness of directly acting antivirals (DAAs) in CHC elderly patients. METHODS: A Markov model of CHC natural history was built. This study focuses on CHC patients older than 65 years, stratified according to genotype (1/4, 2 and 3), liver fibrosis (METAVIR F1 to F4), age and frailty phenotype (robust, pre-frail and frail). DAAs combination vs no treatment was simulated for each theoretical population, assessing life years, quality-adjusted life years (QALYs), costs, incremental cost-effectiveness ratios (ICERs) in a lifetime time horizon and by the Healthcare System perspective. RESULTS: Incremental cost-effectiveness ratio increased with age and frailty status in all fibrosis stages. For robust F3 and F4 patients ICERs remained below the willingness-to-pay threshold (WTP) of 40 000euro/QALY up to age 75 and 86 years, respectively, depending on drug price and sustained virological response probability (sensitivity analysis). Notably, in F4 and frail subjects older than 75 years, ICER was more sensitive to non-liver-related mortality rate. In elderly F1 and F2 patients, ICERs were below WTP only up to 77 years old, with wide variability among frailty phenotypes. CONCLUSIONS: Cost-effectiveness of DAAs treatment of elderly CHC patients is solid in those with advanced fibrosis, but it depends strongly on frailty status and age, particularly in patients with milder fibrosis stages. Accurate assessment of clinical variables, including frailty, is necessary to allocate limited resources to this special population.",2016-01-21491,27943549,Liver Int,Antonio Ciaccio,2016,/,,No,27943549,"Antonio Ciaccio; Paolo Angelo Cortesi; Giuseppe Bellelli; Matteo Rota; Sara Conti; Stefano Okolicsanyi; Monica Rota; Giancarlo Cesana; Lorenzo Mantovani Giovanni; Giorgio Annoni; Mario Strazzabosco; Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis, Liver Int, 2016 Dec 10; ():1478-3223",QALY,Not Stated,Not Stated,Not Stated,Sofosbuvir and ledipasvir vs. None,Genotype 1 and 4 with F3 fibrosis and Frailty phenotype robust,80 Years,80 Years,"Female, Male",Full,Lifetime,3,3,26646,Euro,2015,32288.82
15810,Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis,"BACKGROUND: Chronic hepatitis C (CHC) has been undertreated among elderly patients. Interferon-free treatment represents an opportunity for these patients. The aim of this study was to assess the cost-effectiveness of directly acting antivirals (DAAs) in CHC elderly patients. METHODS: A Markov model of CHC natural history was built. This study focuses on CHC patients older than 65 years, stratified according to genotype (1/4, 2 and 3), liver fibrosis (METAVIR F1 to F4), age and frailty phenotype (robust, pre-frail and frail). DAAs combination vs no treatment was simulated for each theoretical population, assessing life years, quality-adjusted life years (QALYs), costs, incremental cost-effectiveness ratios (ICERs) in a lifetime time horizon and by the Healthcare System perspective. RESULTS: Incremental cost-effectiveness ratio increased with age and frailty status in all fibrosis stages. For robust F3 and F4 patients ICERs remained below the willingness-to-pay threshold (WTP) of 40 000euro/QALY up to age 75 and 86 years, respectively, depending on drug price and sustained virological response probability (sensitivity analysis). Notably, in F4 and frail subjects older than 75 years, ICER was more sensitive to non-liver-related mortality rate. In elderly F1 and F2 patients, ICERs were below WTP only up to 77 years old, with wide variability among frailty phenotypes. CONCLUSIONS: Cost-effectiveness of DAAs treatment of elderly CHC patients is solid in those with advanced fibrosis, but it depends strongly on frailty status and age, particularly in patients with milder fibrosis stages. Accurate assessment of clinical variables, including frailty, is necessary to allocate limited resources to this special population.",2016-01-21491,27943549,Liver Int,Antonio Ciaccio,2016,/,,No,27943549,"Antonio Ciaccio; Paolo Angelo Cortesi; Giuseppe Bellelli; Matteo Rota; Sara Conti; Stefano Okolicsanyi; Monica Rota; Giancarlo Cesana; Lorenzo Mantovani Giovanni; Giorgio Annoni; Mario Strazzabosco; Direct-acting antivirals combination for elderly patients with chronic hepatitis C: A cost-effectiveness analysis, Liver Int, 2016 Dec 10; ():1478-3223",QALY,Not Stated,Not Stated,Not Stated,Sofosbuvir and ledipasvir vs. None,Genotype 1 and 4 with F3 fibrosis and Frailty phenotype pre-frail,80 Years,80 Years,"Female, Male",Full,Lifetime,3,3,42762,Euro,2015,51817.71
