index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
16201,Portable electronic vision enhancement systems in comparison with optical magnifiers for near vision activities: an economic evaluation alongside a randomized crossover trial,"PURPOSE: To determine the incremental cost-effectiveness of portable electronic vision enhancement system (p-EVES) devices compared with optical low vision aids (LVAs), for improving near vision visual function, quality of life and well-being of people with a visual impairment. METHODS: An AB/BA randomized crossover trial design was used. Eighty-two participants completed the study. Participants were current users of optical LVAs who had not tried a p-EVES device before and had a stable visual impairment. The trial intervention was the addition of a p-EVES device to the participant''s existing optical LVA(s) for 2 months, and the control intervention was optical LVA use only, for 2 months. Cost-effectiveness and cost-utility analyses were conducted from a societal perspective. RESULTS: The mean cost of the p-EVES intervention was pound448. Carer costs were pound30 (4.46 hr) less for the p-EVES intervention compared with the LVA only control. The mean difference in total costs was pound417. Bootstrapping gave an incremental cost-effectiveness ratio (ICER) of pound736 (95% CI pound481 to pound1525) for a 7% improvement in near vision visual function. Cost per quality-adjusted life year (QALY) ranged from pound56 991 (lower 95% CI = pound19 801) to pound66 490 (lower 95% CI = pound23 055). Sensitivity analysis varying the commercial price of the p-EVES device reduced ICERs by up to 75%, with cost per QALYs falling below pound30 000. CONCLUSION: Portable electronic vision enhancement system (p-EVES) devices are likely to be a cost-effective use of healthcare resources for improving near vision visual function, but this does not translate into cost-effective improvements in quality of life, capability or well-being.",2016-01-22039,27682985,Acta Ophthalmol,Nathan Bray,2016,/,,No,27682985,"Nathan Bray; Andrew Brand; John Taylor; Zoe Hoare; Christine Dickinson; Rhiannon T Edwards; Portable electronic vision enhancement systems in comparison with optical magnifiers for near vision activities: an economic evaluation alongside a randomized crossover trial, Acta Ophthalmol , 2016 Sep 29; ():1755-3768",QALY,United Kingdom,Not Stated,Not Stated,Portable Electronic Vision Enhancement System (p-EVES) device vs. Standard/Usual Care- Optical low vision aids (LVAs),Participants were current users of Optical low vision aids (LVAs) who had not tried a Portable Electronic Vision Enhancement System (p-EVES) device before and had a stable visual impairment.,Not Stated,19 Years,"Female, Male",Full,2 Months,Not Stated,Not Stated,56991.43,United Kingdom,2014,102706.96
16202,Portable electronic vision enhancement systems in comparison with optical magnifiers for near vision activities: an economic evaluation alongside a randomized crossover trial,"PURPOSE: To determine the incremental cost-effectiveness of portable electronic vision enhancement system (p-EVES) devices compared with optical low vision aids (LVAs), for improving near vision visual function, quality of life and well-being of people with a visual impairment. METHODS: An AB/BA randomized crossover trial design was used. Eighty-two participants completed the study. Participants were current users of optical LVAs who had not tried a p-EVES device before and had a stable visual impairment. The trial intervention was the addition of a p-EVES device to the participant''s existing optical LVA(s) for 2 months, and the control intervention was optical LVA use only, for 2 months. Cost-effectiveness and cost-utility analyses were conducted from a societal perspective. RESULTS: The mean cost of the p-EVES intervention was pound448. Carer costs were pound30 (4.46 hr) less for the p-EVES intervention compared with the LVA only control. The mean difference in total costs was pound417. Bootstrapping gave an incremental cost-effectiveness ratio (ICER) of pound736 (95% CI pound481 to pound1525) for a 7% improvement in near vision visual function. Cost per quality-adjusted life year (QALY) ranged from pound56 991 (lower 95% CI = pound19 801) to pound66 490 (lower 95% CI = pound23 055). Sensitivity analysis varying the commercial price of the p-EVES device reduced ICERs by up to 75%, with cost per QALYs falling below pound30 000. CONCLUSION: Portable electronic vision enhancement system (p-EVES) devices are likely to be a cost-effective use of healthcare resources for improving near vision visual function, but this does not translate into cost-effective improvements in quality of life, capability or well-being.",2016-01-22039,27682985,Acta Ophthalmol,Nathan Bray,2016,/,,No,27682985,"Nathan Bray; Andrew Brand; John Taylor; Zoe Hoare; Christine Dickinson; Rhiannon T Edwards; Portable electronic vision enhancement systems in comparison with optical magnifiers for near vision activities: an economic evaluation alongside a randomized crossover trial, Acta Ophthalmol , 2016 Sep 29; ():1755-3768",QALY,United Kingdom,Not Stated,Not Stated,Portable Electronic Vision Enhancement System (p-EVES) device vs. Standard/Usual Care- Optical low vision aids (LVAs),Participants were current users of Optical low vision aids (LVAs) who had not tried a Portable Electronic Vision Enhancement System (p-EVES) device before and had a stable visual impairment.,Not Stated,19 Years,"Female, Male",Full,2 Months,Not Stated,Not Stated,1428.7,United Kingdom,2014,2574.73
16203,Cost versus utility of aclidinium bromide 400 microg plus formoterol fumarate dihydrate 12 microg compared to aclidinium bromide 400 microg alone in the management of moderate-to-severe COPD,"PURPOSE: Aclidinium-formoterol 400/12 microg is a long-acting muscarinic antagonist (LAMA) and a long-acting beta2-agonist in a fixed-dose combination used in the management of patients with COPD. This study aimed to assess the cost-effectiveness of aclidinium-formoterol 400/12 microg against the long-acting muscarinic antagonist aclidinium bromide 400 microg. MATERIALS AND METHODS: A five-health-state Markov transition model with monthly cycles was developed using MS Excel to simulate patients with moderate-to-severe COPD and their initial lung-function improvement following treatment with aclidinium-formoterol 400/12 microg or aclidinium 400 microg. Health states were based on severity levels defined by Global Initiative for Chronic Obstructive Lung Disease 2010 criteria. The analysis was a head-to-head comparison without step-up therapy, from the NHS Scotland perspective, over a 5-year time horizon. Clinical data on initial lung-function improvement were provided by a pooled analysis of the ACLIFORM and AUGMENT trials. Management, event costs, and utilities were health state-specific. Costs and effects were discounted at an annual rate of 3.5%. The outcome of the analysis was expressed as cost (UK pound) per quality-adjusted life-year (QALY) gained. The analysis included one way and probabilistic sensitivity analyses to investigate the impact of parameter uncertainty on model outputs. RESULTS: Aclidinium-formoterol 400/12 microg provided marginally higher costs ( pound41) and more QALYs (0.014), resulting in an incremental cost-effectiveness ratio of pound2,976/QALY. Sensitivity analyses indicated that results were robust to key parameter variations, and the main drivers were: mean baseline forced expiratory volume in 1 second (FEV1), risk of exacerbation, FEV1 improvement from aclidinium-formoterol 400/12 microg, and lung-function decline. The probability of aclidinium-formoterol 400/12 microg being cost-effective (using a willingness-to-pay threshold of pound20,000/QALY) versus aclidinium 400 microg was 79%. CONCLUSION: In Scotland, aclidinium-formoterol 400/12 microg can be considered a cost-effective treatment option compared to aclidinium 400 microg alone in patients with moderate-to-severe COPD.",2016-01-22051,27672337,Clinicoecon Outcomes Res,Mafalda Ramos,2016,8 /,445-56,No,27672337,"Mafalda Ramos; John Haughney; Nathaniel Henry; Leandro Lindner; Mark Lamotte; Cost versus utility of aclidinium bromide 400 microg plus formoterol fumarate dihydrate 12 microg compared to aclidinium bromide 400 microg alone in the management of moderate-to-severe COPD, Clinicoecon Outcomes Res , 2016; 8():1178-6981; 445-56",QALY,Scotland,Not Stated,Not Stated,Aclidinium-formoterol 400/12 µg vs. Standard/Usual Care- Aclidinium 400 µg alone,Not Stated,Not Stated,19 Years,"Female, Male",Full,5 Years,3.50,3.50,2976,United Kingdom,2014,5363.19
16204,Cost-effectiveness analysis of pre-exposure prophylaxis for HIV-1 prevention in the Netherlands: a mathematical modelling study,"BACKGROUND: Pre-exposure prophylaxis (PrEP) with tenofovir and emtricitabine prevents HIV infections among men who have sex with men (MSM). PrEP can be given on a daily or intermittent basis. Unfortunately, PrEP is not reimbursed in most European countries. Cost-effectiveness analyses of PrEP among MSM in Europe are absent but are key for decision makers to decide upon PrEP implementation. METHODS: We developed a deterministic mathematical model, calibrated to the well defined Dutch HIV epidemic among MSM, to predict the effect and cost-effectiveness of PrEP. PrEP was targeted to 10% of highly sexually active Dutch MSM over the coming 40 years. Cost-effectiveness ratios were calculated to predict the cost-effectiveness of daily and on-demand PrEP. Cost-effectiveness ratios below euro20 000 were considered to be cost-effective in this analysis. FINDINGS: Within the context of a stable HIV epidemic, at 80% effectiveness and current PrEP pricing, PrEP can cost as much as euro11 000 (IQR 9400-14 100) per quality-adjusted life-year (QALY) gained when used daily, or as little as euro2000 (IQR 1300-3000) per QALY gained when used on demand. At 80% effectiveness, daily PrEP can be considered cost-saving if the price of PrEP is reduced by 70%, and on-demand PrEP can be considered cost-saving if the price is reduced by 30-40%. INTERPRETATION: PrEP for HIV prevention among MSM in the Netherlands is cost-effective. The use of PrEP is most cost-effective when the price of PrEP is reduced through on-demand use or through availability of generic PrEP, and can quickly be considered cost-saving. FUNDING: None.",2016-01-22061,27665989,Lancet Infect Dis,Brooke E Nichols,2016,16 / 12,1423-1429,No,27665989,"Brooke E Nichols; Charles A B Boucher; Marc van der Valk; Bart J A Rijnders; David A M C van de Vijver; Cost-effectiveness analysis of pre-exposure prophylaxis for HIV-1 prevention in the Netherlands: a mathematical modelling study, Lancet Infect Dis, 2016 Dec; 16(12):1473-3099; 1423-1429",QALY,Netherlands,Not Stated,Not Stated,Pre-exposure prophylaxis (PrEP) with tenofovir and emtricitabine daily at 100% effectiveness within the context of declining HIV epidemic vs. None,Not Stated,Not Stated,19 Years,Male,Full,40 Years,3.00,3.00,13100,Euro,2015,15874.19
16205,Cost-effectiveness analysis of pre-exposure prophylaxis for HIV-1 prevention in the Netherlands: a mathematical modelling study,"BACKGROUND: Pre-exposure prophylaxis (PrEP) with tenofovir and emtricitabine prevents HIV infections among men who have sex with men (MSM). PrEP can be given on a daily or intermittent basis. Unfortunately, PrEP is not reimbursed in most European countries. Cost-effectiveness analyses of PrEP among MSM in Europe are absent but are key for decision makers to decide upon PrEP implementation. METHODS: We developed a deterministic mathematical model, calibrated to the well defined Dutch HIV epidemic among MSM, to predict the effect and cost-effectiveness of PrEP. PrEP was targeted to 10% of highly sexually active Dutch MSM over the coming 40 years. Cost-effectiveness ratios were calculated to predict the cost-effectiveness of daily and on-demand PrEP. Cost-effectiveness ratios below euro20 000 were considered to be cost-effective in this analysis. FINDINGS: Within the context of a stable HIV epidemic, at 80% effectiveness and current PrEP pricing, PrEP can cost as much as euro11 000 (IQR 9400-14 100) per quality-adjusted life-year (QALY) gained when used daily, or as little as euro2000 (IQR 1300-3000) per QALY gained when used on demand. At 80% effectiveness, daily PrEP can be considered cost-saving if the price of PrEP is reduced by 70%, and on-demand PrEP can be considered cost-saving if the price is reduced by 30-40%. INTERPRETATION: PrEP for HIV prevention among MSM in the Netherlands is cost-effective. The use of PrEP is most cost-effective when the price of PrEP is reduced through on-demand use or through availability of generic PrEP, and can quickly be considered cost-saving. FUNDING: None.",2016-01-22061,27665989,Lancet Infect Dis,Brooke E Nichols,2016,16 / 12,1423-1429,No,27665989,"Brooke E Nichols; Charles A B Boucher; Marc van der Valk; Bart J A Rijnders; David A M C van de Vijver; Cost-effectiveness analysis of pre-exposure prophylaxis for HIV-1 prevention in the Netherlands: a mathematical modelling study, Lancet Infect Dis, 2016 Dec; 16(12):1473-3099; 1423-1429",QALY,Netherlands,Not Stated,Not Stated,Pre-exposure prophylaxis (PrEP) with tenofovir and emtricitabine daily at 100% effectiveness within the context of stable HIV epidemic vs. None,Not Stated,Not Stated,19 Years,Male,Full,40 Years,3.00,3.00,7800,Euro,2015,9451.81
16206,Cost-effectiveness analysis of pre-exposure prophylaxis for HIV-1 prevention in the Netherlands: a mathematical modelling study,"BACKGROUND: Pre-exposure prophylaxis (PrEP) with tenofovir and emtricitabine prevents HIV infections among men who have sex with men (MSM). PrEP can be given on a daily or intermittent basis. Unfortunately, PrEP is not reimbursed in most European countries. Cost-effectiveness analyses of PrEP among MSM in Europe are absent but are key for decision makers to decide upon PrEP implementation. METHODS: We developed a deterministic mathematical model, calibrated to the well defined Dutch HIV epidemic among MSM, to predict the effect and cost-effectiveness of PrEP. PrEP was targeted to 10% of highly sexually active Dutch MSM over the coming 40 years. Cost-effectiveness ratios were calculated to predict the cost-effectiveness of daily and on-demand PrEP. Cost-effectiveness ratios below euro20 000 were considered to be cost-effective in this analysis. FINDINGS: Within the context of a stable HIV epidemic, at 80% effectiveness and current PrEP pricing, PrEP can cost as much as euro11 000 (IQR 9400-14 100) per quality-adjusted life-year (QALY) gained when used daily, or as little as euro2000 (IQR 1300-3000) per QALY gained when used on demand. At 80% effectiveness, daily PrEP can be considered cost-saving if the price of PrEP is reduced by 70%, and on-demand PrEP can be considered cost-saving if the price is reduced by 30-40%. INTERPRETATION: PrEP for HIV prevention among MSM in the Netherlands is cost-effective. The use of PrEP is most cost-effective when the price of PrEP is reduced through on-demand use or through availability of generic PrEP, and can quickly be considered cost-saving. FUNDING: None.",2016-01-22061,27665989,Lancet Infect Dis,Brooke E Nichols,2016,16 / 12,1423-1429,No,27665989,"Brooke E Nichols; Charles A B Boucher; Marc van der Valk; Bart J A Rijnders; David A M C van de Vijver; Cost-effectiveness analysis of pre-exposure prophylaxis for HIV-1 prevention in the Netherlands: a mathematical modelling study, Lancet Infect Dis, 2016 Dec; 16(12):1473-3099; 1423-1429",QALY,Netherlands,Not Stated,Not Stated,Pre-exposure prophylaxis (PrEP) with tenofovir and emtricitabine daily at 40% effectiveness within the context of declining HIV epidemic vs. None,Not Stated,Not Stated,19 Years,Male,Full,40 Years,3.00,3.00,26000,Euro,2015,31506.02
16207,Cost-effectiveness analysis of pre-exposure prophylaxis for HIV-1 prevention in the Netherlands: a mathematical modelling study,"BACKGROUND: Pre-exposure prophylaxis (PrEP) with tenofovir and emtricitabine prevents HIV infections among men who have sex with men (MSM). PrEP can be given on a daily or intermittent basis. Unfortunately, PrEP is not reimbursed in most European countries. Cost-effectiveness analyses of PrEP among MSM in Europe are absent but are key for decision makers to decide upon PrEP implementation. METHODS: We developed a deterministic mathematical model, calibrated to the well defined Dutch HIV epidemic among MSM, to predict the effect and cost-effectiveness of PrEP. PrEP was targeted to 10% of highly sexually active Dutch MSM over the coming 40 years. Cost-effectiveness ratios were calculated to predict the cost-effectiveness of daily and on-demand PrEP. Cost-effectiveness ratios below euro20 000 were considered to be cost-effective in this analysis. FINDINGS: Within the context of a stable HIV epidemic, at 80% effectiveness and current PrEP pricing, PrEP can cost as much as euro11 000 (IQR 9400-14 100) per quality-adjusted life-year (QALY) gained when used daily, or as little as euro2000 (IQR 1300-3000) per QALY gained when used on demand. At 80% effectiveness, daily PrEP can be considered cost-saving if the price of PrEP is reduced by 70%, and on-demand PrEP can be considered cost-saving if the price is reduced by 30-40%. INTERPRETATION: PrEP for HIV prevention among MSM in the Netherlands is cost-effective. The use of PrEP is most cost-effective when the price of PrEP is reduced through on-demand use or through availability of generic PrEP, and can quickly be considered cost-saving. FUNDING: None.",2016-01-22061,27665989,Lancet Infect Dis,Brooke E Nichols,2016,16 / 12,1423-1429,No,27665989,"Brooke E Nichols; Charles A B Boucher; Marc van der Valk; Bart J A Rijnders; David A M C van de Vijver; Cost-effectiveness analysis of pre-exposure prophylaxis for HIV-1 prevention in the Netherlands: a mathematical modelling study, Lancet Infect Dis, 2016 Dec; 16(12):1473-3099; 1423-1429",QALY,Netherlands,Not Stated,Not Stated,Pre-exposure prophylaxis (PrEP) with tenofovir and emtricitabine on demand at 40% effectiveness within the context of stable HIV epidemic vs. None,Not Stated,Not Stated,19 Years,Male,Full,40 Years,3.00,3.00,9100,Euro,2015,11027.11
16208,Cost-effectiveness analysis of pre-exposure prophylaxis for HIV-1 prevention in the Netherlands: a mathematical modelling study,"BACKGROUND: Pre-exposure prophylaxis (PrEP) with tenofovir and emtricitabine prevents HIV infections among men who have sex with men (MSM). PrEP can be given on a daily or intermittent basis. Unfortunately, PrEP is not reimbursed in most European countries. Cost-effectiveness analyses of PrEP among MSM in Europe are absent but are key for decision makers to decide upon PrEP implementation. METHODS: We developed a deterministic mathematical model, calibrated to the well defined Dutch HIV epidemic among MSM, to predict the effect and cost-effectiveness of PrEP. PrEP was targeted to 10% of highly sexually active Dutch MSM over the coming 40 years. Cost-effectiveness ratios were calculated to predict the cost-effectiveness of daily and on-demand PrEP. Cost-effectiveness ratios below euro20 000 were considered to be cost-effective in this analysis. FINDINGS: Within the context of a stable HIV epidemic, at 80% effectiveness and current PrEP pricing, PrEP can cost as much as euro11 000 (IQR 9400-14 100) per quality-adjusted life-year (QALY) gained when used daily, or as little as euro2000 (IQR 1300-3000) per QALY gained when used on demand. At 80% effectiveness, daily PrEP can be considered cost-saving if the price of PrEP is reduced by 70%, and on-demand PrEP can be considered cost-saving if the price is reduced by 30-40%. INTERPRETATION: PrEP for HIV prevention among MSM in the Netherlands is cost-effective. The use of PrEP is most cost-effective when the price of PrEP is reduced through on-demand use or through availability of generic PrEP, and can quickly be considered cost-saving. FUNDING: None.",2016-01-22061,27665989,Lancet Infect Dis,Brooke E Nichols,2016,16 / 12,1423-1429,No,27665989,"Brooke E Nichols; Charles A B Boucher; Marc van der Valk; Bart J A Rijnders; David A M C van de Vijver; Cost-effectiveness analysis of pre-exposure prophylaxis for HIV-1 prevention in the Netherlands: a mathematical modelling study, Lancet Infect Dis, 2016 Dec; 16(12):1473-3099; 1423-1429",QALY,Netherlands,Not Stated,Not Stated,Pre-exposure prophylaxis (PrEP) with tenofovir and emtricitabine on demand at 100% effectiveness within the context of declining HIV epidemic vs. None,Not Stated,Not Stated,19 Years,Male,Full,40 Years,3.00,3.00,1400,Euro,2015,1696.48
16209,Cost-effectiveness analysis of pre-exposure prophylaxis for HIV-1 prevention in the Netherlands: a mathematical modelling study,"BACKGROUND: Pre-exposure prophylaxis (PrEP) with tenofovir and emtricitabine prevents HIV infections among men who have sex with men (MSM). PrEP can be given on a daily or intermittent basis. Unfortunately, PrEP is not reimbursed in most European countries. Cost-effectiveness analyses of PrEP among MSM in Europe are absent but are key for decision makers to decide upon PrEP implementation. METHODS: We developed a deterministic mathematical model, calibrated to the well defined Dutch HIV epidemic among MSM, to predict the effect and cost-effectiveness of PrEP. PrEP was targeted to 10% of highly sexually active Dutch MSM over the coming 40 years. Cost-effectiveness ratios were calculated to predict the cost-effectiveness of daily and on-demand PrEP. Cost-effectiveness ratios below euro20 000 were considered to be cost-effective in this analysis. FINDINGS: Within the context of a stable HIV epidemic, at 80% effectiveness and current PrEP pricing, PrEP can cost as much as euro11 000 (IQR 9400-14 100) per quality-adjusted life-year (QALY) gained when used daily, or as little as euro2000 (IQR 1300-3000) per QALY gained when used on demand. At 80% effectiveness, daily PrEP can be considered cost-saving if the price of PrEP is reduced by 70%, and on-demand PrEP can be considered cost-saving if the price is reduced by 30-40%. INTERPRETATION: PrEP for HIV prevention among MSM in the Netherlands is cost-effective. The use of PrEP is most cost-effective when the price of PrEP is reduced through on-demand use or through availability of generic PrEP, and can quickly be considered cost-saving. FUNDING: None.",2016-01-22061,27665989,Lancet Infect Dis,Brooke E Nichols,2016,16 / 12,1423-1429,No,27665989,"Brooke E Nichols; Charles A B Boucher; Marc van der Valk; Bart J A Rijnders; David A M C van de Vijver; Cost-effectiveness analysis of pre-exposure prophylaxis for HIV-1 prevention in the Netherlands: a mathematical modelling study, Lancet Infect Dis, 2016 Dec; 16(12):1473-3099; 1423-1429",QALY,Netherlands,Not Stated,Not Stated,Pre-exposure prophylaxis (PrEP) with tenofovir and emtricitabine on demand at 40% effectiveness within the context of declining HIV epidemic vs. None,Not Stated,Not Stated,19 Years,Male,Full,40 Years,3.00,3.00,11500,Euro,2015,13935.35
16210,Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study,"INTRODUCTION: Once-daily tenofovir/emtricitabine-based pre-exposure prophylaxis (PrEP) can reduce HIV acquisition in men who have sex with men (MSM), by 44% in the iPrEx trial, and reaching up to 99% with high adherence. We examined the potential population-level impact and cost-effectiveness of different PrEP implementation strategies. METHODS: We developed a dynamic, stochastic compartmental model of HIV transmission among the estimated 57,400 MSM in Toronto, Canada. Parameterization was performed using local epidemiologic data. Strategies examined included (1) uniform PrEP delivery versus targeting the highest risk decile of MSM (with varying coverage proportions); (2) increasing PrEP efficacy as a surrogate of adherence (44% to 99%); and (3) varying HIV test frequency (once monthly to once yearly). Outcomes included HIV infections averted and the incremental cost ($CAD) per incremental quality-adjusted-life-year (QALY) gained over 20 years. RESULTS: Use of PrEP among all HIV-uninfected MSM at 25, 50, 75 and 100% coverage prevented 1970, 3427, 4317, and 4581 infections, respectively, with cost/QALY increasing from $500,000 to $800,000 CAD. Targeted PrEP for the highest risk MSM at 25, 50, 75 and 100% coverage prevented 1166, 2154, 2816, and 3012 infections, respectively, with cost/QALY ranging from $35,000 to $70,000 CAD. Maximizing PrEP efficacy, in a scenario of 25% coverage of high-risk MSM with PrEP, prevented 1540 infections with a cost/QALY of $15,000 CAD. HIV testing alone (Q3 months) averted 898 of infections with a cost savings of $4,000 CAD per QALY. CONCLUSIONS: The optimal implementation strategy for PrEP over the next 20 years at this urban centre is to target high-risk MSM and to maximize efficacy by supporting PrEP adherence. A large health benefit of PrEP implementation could come from engaging undiagnosed HIV-infected individuals into care.",2016-01-22062,27665722,J Int AIDS Soc,Derek R MacFadden,2016,19 / 1,20791,No,27665722,"Derek R MacFadden; Darrell H Tan; Sharmistha Mishra; Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study, J Int AIDS Soc, 2016; 19(1):1758-2652; 20791",QALY,Canada,Not Stated,Not Stated,Pre exposure Prophylaxis (PrEP) vs. None,25 % of all HIV-uninfected (high- and low-risk Men who have Sex Men (MSM)),Not Stated,19 Years,Male,Full,20 Years,3.00,3.00,495175,Canada,2013,534304.73
16211,Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study,"INTRODUCTION: Once-daily tenofovir/emtricitabine-based pre-exposure prophylaxis (PrEP) can reduce HIV acquisition in men who have sex with men (MSM), by 44% in the iPrEx trial, and reaching up to 99% with high adherence. We examined the potential population-level impact and cost-effectiveness of different PrEP implementation strategies. METHODS: We developed a dynamic, stochastic compartmental model of HIV transmission among the estimated 57,400 MSM in Toronto, Canada. Parameterization was performed using local epidemiologic data. Strategies examined included (1) uniform PrEP delivery versus targeting the highest risk decile of MSM (with varying coverage proportions); (2) increasing PrEP efficacy as a surrogate of adherence (44% to 99%); and (3) varying HIV test frequency (once monthly to once yearly). Outcomes included HIV infections averted and the incremental cost ($CAD) per incremental quality-adjusted-life-year (QALY) gained over 20 years. RESULTS: Use of PrEP among all HIV-uninfected MSM at 25, 50, 75 and 100% coverage prevented 1970, 3427, 4317, and 4581 infections, respectively, with cost/QALY increasing from $500,000 to $800,000 CAD. Targeted PrEP for the highest risk MSM at 25, 50, 75 and 100% coverage prevented 1166, 2154, 2816, and 3012 infections, respectively, with cost/QALY ranging from $35,000 to $70,000 CAD. Maximizing PrEP efficacy, in a scenario of 25% coverage of high-risk MSM with PrEP, prevented 1540 infections with a cost/QALY of $15,000 CAD. HIV testing alone (Q3 months) averted 898 of infections with a cost savings of $4,000 CAD per QALY. CONCLUSIONS: The optimal implementation strategy for PrEP over the next 20 years at this urban centre is to target high-risk MSM and to maximize efficacy by supporting PrEP adherence. A large health benefit of PrEP implementation could come from engaging undiagnosed HIV-infected individuals into care.",2016-01-22062,27665722,J Int AIDS Soc,Derek R MacFadden,2016,19 / 1,20791,No,27665722,"Derek R MacFadden; Darrell H Tan; Sharmistha Mishra; Optimizing HIV pre-exposure prophylaxis implementation among men who have sex with men in a large urban centre: a dynamic modelling study, J Int AIDS Soc, 2016; 19(1):1758-2652; 20791",QALY,Canada,Not Stated,Not Stated,Pre exposure Prophylaxis (PrEP) vs. None,50 % of all HIV-uninfected (high- and low-risk Men who have Sex Men (MSM)),Not Stated,19 Years,Male,Full,20 Years,3.00,3.00,587050,Canada,2013,633439.88
