index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
22101,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,colonoscopy vs. Fecal immunochemical testing -40 years at 1 year interval,Polygenic risk and family history of colorectal cancer,Not Stated,41 Years,Male,Full,Lifetime,5.00,5.00,-71035.17,Australia,2016,-56965.12
22102,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,colonoscopy vs. Fecal immunochemical testing -40 years at 1 year interval,Polygenic risk and family history of colorectal cancer,Not Stated,47 Years,Male,Full,Lifetime,5.00,5.00,301387.5,Australia,2016,241691.19
22103,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,colonoscopy vs. Fecal immunochemical testing -40 years at 1 year interval,Polygenic risk and family history of colorectal cancer,Not Stated,41 Years,Male,Full,Lifetime,5.00,5.00,221941,Australia,2016,177980.79
22104,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 39 vs. personalized screening 36,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,353112,Australia,2016,283170.53
22105,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 01 vs. None,Polygenic risk and family history of colorectal cancer,40 Years,40 Years,Male,Full,Lifetime,5.00,5.00,77859.67,Australia,2016,62437.88
22106,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 02 vs. None,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,59305.75,Australia,2016,47558.96
22107,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 03 vs. None,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,22643.25,Australia,2016,18158.26
22108,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,"Screening, Surgical",personalized screening 04 vs. None,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,21518.46,Australia,2016,17256.26
22109,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 05 vs. None,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,20482.43,Australia,2016,16425.44
22110,Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History,"BACKGROUND: There is growing evidence for personalizing colorectal cancer screening based on risk factors. We compared the cost-effectiveness of personalized colorectal cancer screening based on polygenic risk and family history to uniform screening. METHODS: Using the MISCAN-Colon model, we simulated a cohort of 100 million 40-year-olds, offering them uniform or personalized screening. Individuals were categorized based on polygenic risk and family history of colorectal cancer. We varied screening strategies by start age, interval and test and estimated costs, and quality-adjusted life years (QALY). In our analysis, we (i) assessed the cost-effectiveness of uniform screening; (ii) developed personalized screening scenarios based on optimal screening strategies by risk group; and (iii) compared the cost-effectiveness of both. RESULTS: At a willingness-to-pay threshold of $50,000/QALY, the optimal uniform screening scenario was annual fecal immunochemical testing (FIT) from ages 50 to 74 years, whereas for personalized screening the optimal screening scenario consisted of annual and biennial FIT screening except for those at highest risk who were offered 5-yearly colonoscopy from age 50 years. Although these scenarios gained the same number of QALYs (17,887), personalized screening was not cost-effective, costing an additional $428,953 due to costs associated with determining risk (assumed to be $240 per person). Personalized screening was cost-effective when these costs were less than approximately $48. CONCLUSIONS: Uniform colorectal cancer screening currently appears more cost-effective than personalized screening based on polygenic risk and family history. However, cost-effectiveness is highly dependent on the cost of determining risk. IMPACT: Personalized screening could become increasingly viable as costs for determining risk decrease.",2019-01-31297,31748260,Cancer Epidemiol Biomarkers Prev,Dayna R Cenin,2019,/,,No,31748260,"Dayna R Cenin; David J Keene; Joseph Alsousou; Paul Harrison; Philippa Hulley; Susan Wagland; Scott R Parsons; Jacqueline Y Thompson; Heather M O'Connor; Michael Maia Schlussel; Susan J Dutton; Sarah E Lamb; Keith Willett; PATH-2 trial group; Cost-Effectiveness of Personalized Screening for Colorectal Cancer Based on Polygenic Risk and Family History, Cancer Epidemiol Biomarkers Prev, 2019 Jun 11; ():1055-9965",QALY,Australia,Not Stated,Screening,personalized screening 06 vs. None,Polygenic risk and family history of colorectal cancer,74 Years,40 Years,Male,Full,Lifetime,5.00,5.00,19280.94,Australia,2016,15461.93
