index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
23201,Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis,"Objectives Stress urinary incontinence (SUI) and stress-predominant mixed urinary incontinence (MUI) are common conditions that can have a negative impact on the quality of life of patients and serious cost implications for healthcare providers. The objective of this study was to assess the cost-effectiveness of nine different surgical interventions for treatment of SUI and stress-predominant MUI from a National Health Service and personal social services perspective in the UK. Methods A Markov microsimulation model was developed to compare the costs and effectiveness of nine surgical interventions. The model was informed by undertaking a systematic review of clinical effectiveness and network meta-analysis. The main clinical parameters in the model were the cure and incidence rates of complications after different interventions. The outcomes from the model were expressed in terms of cost per quality-adjusted life-years (QALYs) gained. In addition, expected value of perfect information (EVPI) analyses were conducted to quantify the main uncertainties facing decision-makers. Results The base-case results suggest that retropubic mid-urethral sling (retro-MUS) is the most cost-effective surgical intervention over a 10-year and lifetime time horizon. The probabilistic results show that retro-MUS and traditional sling are the interventions with the highest probability of being cost-effective across all willingness-to-pay thresholds over a lifetime time horizon. The value of information analysis results suggest that the largest value appears to be in removing uncertainty around the incidence rates of complications, the relative treatment effectiveness and health utility values. Conclusions Although retro-MUS appears, at this stage, to be a cost-effective intervention, research is needed on possible long-term complications of all surgical treatments to provide reassurance of safety, or earlier warning of unanticipated adverse effects. The value of information analysis supports the need, as a first step, for further research to improve our knowledge of the actual incidence of complications. © Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY. Published by BMJ.",2020-01-32819,32532771,BMJ Open,M Javanbakht,2020,10 / 6,-,No,32532771,"M Javanbakht; E Moloney; M Brazzelli; S Wallace; L Ternent; I Omar; A Monga; L Saraswat; P MacKie; F Becker; M Imamura; J Hudson; M Shimonovich; G MacLennan; L Vale; D Craig; Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis, BMJ Open , 2020; 10(6):2044-6055; -",QALY,United Kingdom,Not Stated,Surgical,retropubic mid-urethral sling vs. Single incision sling,Not Stated,55 Years,45 Years,Female,Full,"Lifetime, 1 year, 10 year",3.50,3.50,-53833.33,United Kingdom,2019,-69589.61
23202,Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis,"Objectives Stress urinary incontinence (SUI) and stress-predominant mixed urinary incontinence (MUI) are common conditions that can have a negative impact on the quality of life of patients and serious cost implications for healthcare providers. The objective of this study was to assess the cost-effectiveness of nine different surgical interventions for treatment of SUI and stress-predominant MUI from a National Health Service and personal social services perspective in the UK. Methods A Markov microsimulation model was developed to compare the costs and effectiveness of nine surgical interventions. The model was informed by undertaking a systematic review of clinical effectiveness and network meta-analysis. The main clinical parameters in the model were the cure and incidence rates of complications after different interventions. The outcomes from the model were expressed in terms of cost per quality-adjusted life-years (QALYs) gained. In addition, expected value of perfect information (EVPI) analyses were conducted to quantify the main uncertainties facing decision-makers. Results The base-case results suggest that retropubic mid-urethral sling (retro-MUS) is the most cost-effective surgical intervention over a 10-year and lifetime time horizon. The probabilistic results show that retro-MUS and traditional sling are the interventions with the highest probability of being cost-effective across all willingness-to-pay thresholds over a lifetime time horizon. The value of information analysis results suggest that the largest value appears to be in removing uncertainty around the incidence rates of complications, the relative treatment effectiveness and health utility values. Conclusions Although retro-MUS appears, at this stage, to be a cost-effective intervention, research is needed on possible long-term complications of all surgical treatments to provide reassurance of safety, or earlier warning of unanticipated adverse effects. The value of information analysis supports the need, as a first step, for further research to improve our knowledge of the actual incidence of complications. © Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY. Published by BMJ.",2020-01-32819,32532771,BMJ Open,M Javanbakht,2020,10 / 6,-,No,32532771,"M Javanbakht; E Moloney; M Brazzelli; S Wallace; L Ternent; I Omar; A Monga; L Saraswat; P MacKie; F Becker; M Imamura; J Hudson; M Shimonovich; G MacLennan; L Vale; D Craig; Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis, BMJ Open , 2020; 10(6):2044-6055; -",QALY,United Kingdom,Not Stated,Surgical,bladder neck needle vs. Single incision sling,Not Stated,55 Years,45 Years,Female,Full,"Lifetime, 1 year, 10 year",3.50,3.50,-119714.29,United Kingdom,2019,-154753.02
23203,Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis,"Objectives Stress urinary incontinence (SUI) and stress-predominant mixed urinary incontinence (MUI) are common conditions that can have a negative impact on the quality of life of patients and serious cost implications for healthcare providers. The objective of this study was to assess the cost-effectiveness of nine different surgical interventions for treatment of SUI and stress-predominant MUI from a National Health Service and personal social services perspective in the UK. Methods A Markov microsimulation model was developed to compare the costs and effectiveness of nine surgical interventions. The model was informed by undertaking a systematic review of clinical effectiveness and network meta-analysis. The main clinical parameters in the model were the cure and incidence rates of complications after different interventions. The outcomes from the model were expressed in terms of cost per quality-adjusted life-years (QALYs) gained. In addition, expected value of perfect information (EVPI) analyses were conducted to quantify the main uncertainties facing decision-makers. Results The base-case results suggest that retropubic mid-urethral sling (retro-MUS) is the most cost-effective surgical intervention over a 10-year and lifetime time horizon. The probabilistic results show that retro-MUS and traditional sling are the interventions with the highest probability of being cost-effective across all willingness-to-pay thresholds over a lifetime time horizon. The value of information analysis results suggest that the largest value appears to be in removing uncertainty around the incidence rates of complications, the relative treatment effectiveness and health utility values. Conclusions Although retro-MUS appears, at this stage, to be a cost-effective intervention, research is needed on possible long-term complications of all surgical treatments to provide reassurance of safety, or earlier warning of unanticipated adverse effects. The value of information analysis supports the need, as a first step, for further research to improve our knowledge of the actual incidence of complications. © Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY. Published by BMJ.",2020-01-32819,32532771,BMJ Open,M Javanbakht,2020,10 / 6,-,No,32532771,"M Javanbakht; E Moloney; M Brazzelli; S Wallace; L Ternent; I Omar; A Monga; L Saraswat; P MacKie; F Becker; M Imamura; J Hudson; M Shimonovich; G MacLennan; L Vale; D Craig; Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis, BMJ Open , 2020; 10(6):2044-6055; -",QALY,United Kingdom,Not Stated,Surgical,injectable agents vs. Single incision sling,Not Stated,55 Years,45 Years,Female,Full,"Lifetime, 1 year, 10 year",3.50,3.50,-39136.36,United Kingdom,2019,-50591.04
23204,Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis,"Objectives Stress urinary incontinence (SUI) and stress-predominant mixed urinary incontinence (MUI) are common conditions that can have a negative impact on the quality of life of patients and serious cost implications for healthcare providers. The objective of this study was to assess the cost-effectiveness of nine different surgical interventions for treatment of SUI and stress-predominant MUI from a National Health Service and personal social services perspective in the UK. Methods A Markov microsimulation model was developed to compare the costs and effectiveness of nine surgical interventions. The model was informed by undertaking a systematic review of clinical effectiveness and network meta-analysis. The main clinical parameters in the model were the cure and incidence rates of complications after different interventions. The outcomes from the model were expressed in terms of cost per quality-adjusted life-years (QALYs) gained. In addition, expected value of perfect information (EVPI) analyses were conducted to quantify the main uncertainties facing decision-makers. Results The base-case results suggest that retropubic mid-urethral sling (retro-MUS) is the most cost-effective surgical intervention over a 10-year and lifetime time horizon. The probabilistic results show that retro-MUS and traditional sling are the interventions with the highest probability of being cost-effective across all willingness-to-pay thresholds over a lifetime time horizon. The value of information analysis results suggest that the largest value appears to be in removing uncertainty around the incidence rates of complications, the relative treatment effectiveness and health utility values. Conclusions Although retro-MUS appears, at this stage, to be a cost-effective intervention, research is needed on possible long-term complications of all surgical treatments to provide reassurance of safety, or earlier warning of unanticipated adverse effects. The value of information analysis supports the need, as a first step, for further research to improve our knowledge of the actual incidence of complications. © Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY. Published by BMJ.",2020-01-32819,32532771,BMJ Open,M Javanbakht,2020,10 / 6,-,No,32532771,"M Javanbakht; E Moloney; M Brazzelli; S Wallace; L Ternent; I Omar; A Monga; L Saraswat; P MacKie; F Becker; M Imamura; J Hudson; M Shimonovich; G MacLennan; L Vale; D Craig; Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis, BMJ Open , 2020; 10(6):2044-6055; -",QALY,United Kingdom,Not Stated,Surgical,traditional suburethral retropubic sling procedures vs. Single incision sling,Not Stated,55 Years,45 Years,Female,Full,"Lifetime, 1 year, 10 year",3.50,3.50,-28128.21,United Kingdom,2019,-36360.95
23205,Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis,"Objectives Stress urinary incontinence (SUI) and stress-predominant mixed urinary incontinence (MUI) are common conditions that can have a negative impact on the quality of life of patients and serious cost implications for healthcare providers. The objective of this study was to assess the cost-effectiveness of nine different surgical interventions for treatment of SUI and stress-predominant MUI from a National Health Service and personal social services perspective in the UK. Methods A Markov microsimulation model was developed to compare the costs and effectiveness of nine surgical interventions. The model was informed by undertaking a systematic review of clinical effectiveness and network meta-analysis. The main clinical parameters in the model were the cure and incidence rates of complications after different interventions. The outcomes from the model were expressed in terms of cost per quality-adjusted life-years (QALYs) gained. In addition, expected value of perfect information (EVPI) analyses were conducted to quantify the main uncertainties facing decision-makers. Results The base-case results suggest that retropubic mid-urethral sling (retro-MUS) is the most cost-effective surgical intervention over a 10-year and lifetime time horizon. The probabilistic results show that retro-MUS and traditional sling are the interventions with the highest probability of being cost-effective across all willingness-to-pay thresholds over a lifetime time horizon. The value of information analysis results suggest that the largest value appears to be in removing uncertainty around the incidence rates of complications, the relative treatment effectiveness and health utility values. Conclusions Although retro-MUS appears, at this stage, to be a cost-effective intervention, research is needed on possible long-term complications of all surgical treatments to provide reassurance of safety, or earlier warning of unanticipated adverse effects. The value of information analysis supports the need, as a first step, for further research to improve our knowledge of the actual incidence of complications. © Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY. Published by BMJ.",2020-01-32819,32532771,BMJ Open,M Javanbakht,2020,10 / 6,-,No,32532771,"M Javanbakht; E Moloney; M Brazzelli; S Wallace; L Ternent; I Omar; A Monga; L Saraswat; P MacKie; F Becker; M Imamura; J Hudson; M Shimonovich; G MacLennan; L Vale; D Craig; Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis, BMJ Open , 2020; 10(6):2044-6055; -",QALY,United Kingdom,Not Stated,Surgical,anterior vaginal repair or anterior colporrhaphy vs. Single incision sling,Not Stated,55 Years,45 Years,Female,Full,"Lifetime, 1 year, 10 year",3.50,3.50,522756,United Kingdom,2019,675759.53
23206,Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis,"Objectives Stress urinary incontinence (SUI) and stress-predominant mixed urinary incontinence (MUI) are common conditions that can have a negative impact on the quality of life of patients and serious cost implications for healthcare providers. The objective of this study was to assess the cost-effectiveness of nine different surgical interventions for treatment of SUI and stress-predominant MUI from a National Health Service and personal social services perspective in the UK. Methods A Markov microsimulation model was developed to compare the costs and effectiveness of nine surgical interventions. The model was informed by undertaking a systematic review of clinical effectiveness and network meta-analysis. The main clinical parameters in the model were the cure and incidence rates of complications after different interventions. The outcomes from the model were expressed in terms of cost per quality-adjusted life-years (QALYs) gained. In addition, expected value of perfect information (EVPI) analyses were conducted to quantify the main uncertainties facing decision-makers. Results The base-case results suggest that retropubic mid-urethral sling (retro-MUS) is the most cost-effective surgical intervention over a 10-year and lifetime time horizon. The probabilistic results show that retro-MUS and traditional sling are the interventions with the highest probability of being cost-effective across all willingness-to-pay thresholds over a lifetime time horizon. The value of information analysis results suggest that the largest value appears to be in removing uncertainty around the incidence rates of complications, the relative treatment effectiveness and health utility values. Conclusions Although retro-MUS appears, at this stage, to be a cost-effective intervention, research is needed on possible long-term complications of all surgical treatments to provide reassurance of safety, or earlier warning of unanticipated adverse effects. The value of information analysis supports the need, as a first step, for further research to improve our knowledge of the actual incidence of complications. © Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY. Published by BMJ.",2020-01-32819,32532771,BMJ Open,M Javanbakht,2020,10 / 6,-,No,32532771,"M Javanbakht; E Moloney; M Brazzelli; S Wallace; L Ternent; I Omar; A Monga; L Saraswat; P MacKie; F Becker; M Imamura; J Hudson; M Shimonovich; G MacLennan; L Vale; D Craig; Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis, BMJ Open , 2020; 10(6):2044-6055; -",QALY,United Kingdom,Not Stated,Surgical,open abdominal retropubic colposuspension vs. Single incision sling,Not Stated,55 Years,45 Years,Female,Full,"Lifetime, 1 year, 10 year",3.50,3.50,273000,United Kingdom,2019,352903.37
23207,Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis,"Objectives Stress urinary incontinence (SUI) and stress-predominant mixed urinary incontinence (MUI) are common conditions that can have a negative impact on the quality of life of patients and serious cost implications for healthcare providers. The objective of this study was to assess the cost-effectiveness of nine different surgical interventions for treatment of SUI and stress-predominant MUI from a National Health Service and personal social services perspective in the UK. Methods A Markov microsimulation model was developed to compare the costs and effectiveness of nine surgical interventions. The model was informed by undertaking a systematic review of clinical effectiveness and network meta-analysis. The main clinical parameters in the model were the cure and incidence rates of complications after different interventions. The outcomes from the model were expressed in terms of cost per quality-adjusted life-years (QALYs) gained. In addition, expected value of perfect information (EVPI) analyses were conducted to quantify the main uncertainties facing decision-makers. Results The base-case results suggest that retropubic mid-urethral sling (retro-MUS) is the most cost-effective surgical intervention over a 10-year and lifetime time horizon. The probabilistic results show that retro-MUS and traditional sling are the interventions with the highest probability of being cost-effective across all willingness-to-pay thresholds over a lifetime time horizon. The value of information analysis results suggest that the largest value appears to be in removing uncertainty around the incidence rates of complications, the relative treatment effectiveness and health utility values. Conclusions Although retro-MUS appears, at this stage, to be a cost-effective intervention, research is needed on possible long-term complications of all surgical treatments to provide reassurance of safety, or earlier warning of unanticipated adverse effects. The value of information analysis supports the need, as a first step, for further research to improve our knowledge of the actual incidence of complications. © Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY. Published by BMJ.",2020-01-32819,32532771,BMJ Open,M Javanbakht,2020,10 / 6,-,No,32532771,"M Javanbakht; E Moloney; M Brazzelli; S Wallace; L Ternent; I Omar; A Monga; L Saraswat; P MacKie; F Becker; M Imamura; J Hudson; M Shimonovich; G MacLennan; L Vale; D Craig; Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis, BMJ Open , 2020; 10(6):2044-6055; -",QALY,United Kingdom,Not Stated,Surgical,laparoscopic retropubic colposuspension vs. Open abdominal retropubic colposuspension,Not Stated,55 Years,45 Years,Female,Full,"Lifetime, 1 year, 10 year",3.50,3.50,-2800,United Kingdom,2019,-3619.52
23208,Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis,"Objectives Stress urinary incontinence (SUI) and stress-predominant mixed urinary incontinence (MUI) are common conditions that can have a negative impact on the quality of life of patients and serious cost implications for healthcare providers. The objective of this study was to assess the cost-effectiveness of nine different surgical interventions for treatment of SUI and stress-predominant MUI from a National Health Service and personal social services perspective in the UK. Methods A Markov microsimulation model was developed to compare the costs and effectiveness of nine surgical interventions. The model was informed by undertaking a systematic review of clinical effectiveness and network meta-analysis. The main clinical parameters in the model were the cure and incidence rates of complications after different interventions. The outcomes from the model were expressed in terms of cost per quality-adjusted life-years (QALYs) gained. In addition, expected value of perfect information (EVPI) analyses were conducted to quantify the main uncertainties facing decision-makers. Results The base-case results suggest that retropubic mid-urethral sling (retro-MUS) is the most cost-effective surgical intervention over a 10-year and lifetime time horizon. The probabilistic results show that retro-MUS and traditional sling are the interventions with the highest probability of being cost-effective across all willingness-to-pay thresholds over a lifetime time horizon. The value of information analysis results suggest that the largest value appears to be in removing uncertainty around the incidence rates of complications, the relative treatment effectiveness and health utility values. Conclusions Although retro-MUS appears, at this stage, to be a cost-effective intervention, research is needed on possible long-term complications of all surgical treatments to provide reassurance of safety, or earlier warning of unanticipated adverse effects. The value of information analysis supports the need, as a first step, for further research to improve our knowledge of the actual incidence of complications. © Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY. Published by BMJ.",2020-01-32819,32532771,BMJ Open,M Javanbakht,2020,10 / 6,-,No,32532771,"M Javanbakht; E Moloney; M Brazzelli; S Wallace; L Ternent; I Omar; A Monga; L Saraswat; P MacKie; F Becker; M Imamura; J Hudson; M Shimonovich; G MacLennan; L Vale; D Craig; Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis, BMJ Open , 2020; 10(6):2044-6055; -",QALY,United Kingdom,Not Stated,Surgical,single incision sling vs. Retropubic mid-urethral sling,Not Stated,55 Years,45 Years,Female,Full,"Lifetime, 1 year, 10 year",3.50,3.50,-1481.78,United Kingdom,2019,-1915.48
23209,Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis,"Objectives Stress urinary incontinence (SUI) and stress-predominant mixed urinary incontinence (MUI) are common conditions that can have a negative impact on the quality of life of patients and serious cost implications for healthcare providers. The objective of this study was to assess the cost-effectiveness of nine different surgical interventions for treatment of SUI and stress-predominant MUI from a National Health Service and personal social services perspective in the UK. Methods A Markov microsimulation model was developed to compare the costs and effectiveness of nine surgical interventions. The model was informed by undertaking a systematic review of clinical effectiveness and network meta-analysis. The main clinical parameters in the model were the cure and incidence rates of complications after different interventions. The outcomes from the model were expressed in terms of cost per quality-adjusted life-years (QALYs) gained. In addition, expected value of perfect information (EVPI) analyses were conducted to quantify the main uncertainties facing decision-makers. Results The base-case results suggest that retropubic mid-urethral sling (retro-MUS) is the most cost-effective surgical intervention over a 10-year and lifetime time horizon. The probabilistic results show that retro-MUS and traditional sling are the interventions with the highest probability of being cost-effective across all willingness-to-pay thresholds over a lifetime time horizon. The value of information analysis results suggest that the largest value appears to be in removing uncertainty around the incidence rates of complications, the relative treatment effectiveness and health utility values. Conclusions Although retro-MUS appears, at this stage, to be a cost-effective intervention, research is needed on possible long-term complications of all surgical treatments to provide reassurance of safety, or earlier warning of unanticipated adverse effects. The value of information analysis supports the need, as a first step, for further research to improve our knowledge of the actual incidence of complications. © Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY. Published by BMJ.",2020-01-32819,32532771,BMJ Open,M Javanbakht,2020,10 / 6,-,No,32532771,"M Javanbakht; E Moloney; M Brazzelli; S Wallace; L Ternent; I Omar; A Monga; L Saraswat; P MacKie; F Becker; M Imamura; J Hudson; M Shimonovich; G MacLennan; L Vale; D Craig; Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis, BMJ Open , 2020; 10(6):2044-6055; -",QALY,United Kingdom,Not Stated,Surgical,traditional suburethral retropubic sling procedures vs. Retropubic mid-urethral sling,Not Stated,55 Years,45 Years,Female,Full,"Lifetime, 1 year, 10 year",3.50,3.50,-10290.91,United Kingdom,2019,-13302.92
23210,Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis,"Objectives Stress urinary incontinence (SUI) and stress-predominant mixed urinary incontinence (MUI) are common conditions that can have a negative impact on the quality of life of patients and serious cost implications for healthcare providers. The objective of this study was to assess the cost-effectiveness of nine different surgical interventions for treatment of SUI and stress-predominant MUI from a National Health Service and personal social services perspective in the UK. Methods A Markov microsimulation model was developed to compare the costs and effectiveness of nine surgical interventions. The model was informed by undertaking a systematic review of clinical effectiveness and network meta-analysis. The main clinical parameters in the model were the cure and incidence rates of complications after different interventions. The outcomes from the model were expressed in terms of cost per quality-adjusted life-years (QALYs) gained. In addition, expected value of perfect information (EVPI) analyses were conducted to quantify the main uncertainties facing decision-makers. Results The base-case results suggest that retropubic mid-urethral sling (retro-MUS) is the most cost-effective surgical intervention over a 10-year and lifetime time horizon. The probabilistic results show that retro-MUS and traditional sling are the interventions with the highest probability of being cost-effective across all willingness-to-pay thresholds over a lifetime time horizon. The value of information analysis results suggest that the largest value appears to be in removing uncertainty around the incidence rates of complications, the relative treatment effectiveness and health utility values. Conclusions Although retro-MUS appears, at this stage, to be a cost-effective intervention, research is needed on possible long-term complications of all surgical treatments to provide reassurance of safety, or earlier warning of unanticipated adverse effects. The value of information analysis supports the need, as a first step, for further research to improve our knowledge of the actual incidence of complications. © Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY. Published by BMJ.",2020-01-32819,32532771,BMJ Open,M Javanbakht,2020,10 / 6,-,No,32532771,"M Javanbakht; E Moloney; M Brazzelli; S Wallace; L Ternent; I Omar; A Monga; L Saraswat; P MacKie; F Becker; M Imamura; J Hudson; M Shimonovich; G MacLennan; L Vale; D Craig; Economic evaluation of surgical treatments for women with stress urinary incontinence: a cost-utility and value of information analysis, BMJ Open , 2020; 10(6):2044-6055; -",QALY,United Kingdom,Not Stated,Surgical,transobturator mid-urethral sling vs. Retropubic mid-urethral sling,Not Stated,55 Years,45 Years,Female,Full,"Lifetime, 1 year, 10 year",3.50,3.50,-3766.87,United Kingdom,2019,-4869.38
