index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
27001,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Ghana,Not Stated,Legislation / Regulation,"Wheat fortification (""reduced package"", consists of iron, folic acid, and vitamin B12) vs. None",Not Stated,Not Stated,6 Years,"Female, Male",Full,,3.00,3.00,11.35,United States,2007,14.17
27002,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Guatemala,Not Stated,Legislation / Regulation,"Wheat fortification (""reduced package"", consists of iron, folic acid, and vitamin B12) vs. None",Not Stated,Not Stated,6 Years,"Female, Male",Full,,3.00,3.00,49.48,United States,2007,61.76
27003,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Guinea,Not Stated,Legislation / Regulation,"Wheat fortification (""reduced package"", consists of iron, folic acid, and vitamin B12) vs. None",Not Stated,Not Stated,6 Years,"Female, Male",Full,,3.00,3.00,18.57,United States,2007,23.18
27004,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,India,Not Stated,Legislation / Regulation,"Wheat fortification (""reduced package"", consists of iron, folic acid, and vitamin B12) vs. None",Not Stated,Not Stated,6 Years,"Female, Male",Full,,3.00,3.00,26.87,United States,2007,33.54
27005,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Indonesia,Not Stated,Legislation / Regulation,"Wheat fortification (""reduced package"", consists of iron, folic acid, and vitamin B12) vs. None",Not Stated,Not Stated,6 Years,"Female, Male",Full,,3.00,3.00,7.62,United States,2007,9.51
27006,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Kenya,Not Stated,Legislation / Regulation,"Wheat fortification (""reduced package"", consists of iron, folic acid, and vitamin B12) vs. None",Not Stated,Not Stated,6 Years,"Female, Male",Full,,3.00,3.00,14.26,United States,2007,17.8
27007,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Madagascar,Not Stated,Legislation / Regulation,"Wheat fortification (""reduced package"", consists of iron, folic acid, and vitamin B12) vs. None",Not Stated,Not Stated,6 Years,"Female, Male",Full,,3.00,3.00,16.21,United States,2007,20.23
27008,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Malawi,Not Stated,Legislation / Regulation,"Wheat fortification (""reduced package"", consists of iron, folic acid, and vitamin B12) vs. None",Not Stated,Not Stated,6 Years,"Female, Male",Full,,3.00,3.00,24.61,United States,2007,30.72
27009,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Mali,Not Stated,Legislation / Regulation,"Wheat fortification (""reduced package"", consists of iron, folic acid, and vitamin B12) vs. None",Not Stated,Not Stated,6 Years,"Female, Male",Full,,3.00,3.00,17.09,United States,2007,21.33
27010,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Mexico,Not Stated,Legislation / Regulation,"Wheat fortification (""reduced package"", consists of iron, folic acid, and vitamin B12) vs. None",Not Stated,Not Stated,6 Years,"Female, Male",Full,,3.00,3.00,76.94,United States,2007,96.04
