index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
27301,"Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe","OBJECTIVE: To estimate the costs and effects of alternative strategies for annual screening of school children for refractive errors, and the provision of spectacles, in different WHO sub-regions in Africa, Asia, America and Europe. METHODS: We developed a mathematical simulation model for uncorrected refractive error, using prevailing prevalence and incidence rates. Remission rates reflected the absence or presence of screening strategies for school children. All screening strategies were implemented for a period of 10 years and were compared to a situation were no screening was implemented. Outcome measures were life years adjusted for disability (DALYs), costs of screening and provision of spectacles and follow-up for six different screening strategies, and cost-effectiveness in international dollars per DALY averted. Epidemiological information was derived from the burden of disease study from the World Health Organization (WHO). Cost data were derived from large databases from the WHO. Both univariate and multivariate sensitivity analyses were performed on key parameters to determine the robustness of the model results. RESULTS: In all regions, screening of 5-15 years old children yields most health effects, followed by screening of 11-15 years old, 5-10 years old, and screening of 8 and 13 years old. Screening of broad-age intervals is always more costly than screening of single-age intervals, and there are important economies of scale for simultaneous screening of both 5-10 and 11-15-year-old children. In all regions, screening of 11-15 years old is the most cost-effective intervention, with the cost per DALY averted ranging from I$67 per DALY averted in the Asian sub-region to I$458 per DALY averted in the European sub-region. The incremental cost per DALY averted of screening 5-15 years old ranges between I$111 in the Asian sub-region to I$672 in the European sub-region. CONCLUSIONS: Considering the conservative study assumptions and the robustness of study conclusions towards changes in these assumptions, screening of school children for refractive error is economically attractive in all regions in the world.",2009-XX-04684,18621429,Health Policy,Rob Baltussen,2008,89 / 2,201-15,No,18621429,"Rob Baltussen; Jeroen Naus; Hans Limburg; Jeroen Naus; Hans Limburg; Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe, Health Policy, 2009-Feb; 89(2):0168-8510; 201-15",DALY,Not Stated,Not Stated,Screening,Annual screening of school children for refractive errors and provision of spectacles for eligible children vs. None,Amr-D,18 Years,6 Years,"Female, Male",Full,,3.00,3.00,100.35,United States,2000,150.82
27302,"Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe","OBJECTIVE: To estimate the costs and effects of alternative strategies for annual screening of school children for refractive errors, and the provision of spectacles, in different WHO sub-regions in Africa, Asia, America and Europe. METHODS: We developed a mathematical simulation model for uncorrected refractive error, using prevailing prevalence and incidence rates. Remission rates reflected the absence or presence of screening strategies for school children. All screening strategies were implemented for a period of 10 years and were compared to a situation were no screening was implemented. Outcome measures were life years adjusted for disability (DALYs), costs of screening and provision of spectacles and follow-up for six different screening strategies, and cost-effectiveness in international dollars per DALY averted. Epidemiological information was derived from the burden of disease study from the World Health Organization (WHO). Cost data were derived from large databases from the WHO. Both univariate and multivariate sensitivity analyses were performed on key parameters to determine the robustness of the model results. RESULTS: In all regions, screening of 5-15 years old children yields most health effects, followed by screening of 11-15 years old, 5-10 years old, and screening of 8 and 13 years old. Screening of broad-age intervals is always more costly than screening of single-age intervals, and there are important economies of scale for simultaneous screening of both 5-10 and 11-15-year-old children. In all regions, screening of 11-15 years old is the most cost-effective intervention, with the cost per DALY averted ranging from I$67 per DALY averted in the Asian sub-region to I$458 per DALY averted in the European sub-region. The incremental cost per DALY averted of screening 5-15 years old ranges between I$111 in the Asian sub-region to I$672 in the European sub-region. CONCLUSIONS: Considering the conservative study assumptions and the robustness of study conclusions towards changes in these assumptions, screening of school children for refractive error is economically attractive in all regions in the world.",2009-XX-04684,18621429,Health Policy,Rob Baltussen,2008,89 / 2,201-15,No,18621429,"Rob Baltussen; Jeroen Naus; Hans Limburg; Jeroen Naus; Hans Limburg; Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe, Health Policy, 2009-Feb; 89(2):0168-8510; 201-15",DALY,Not Stated,Not Stated,Screening,Annual screening of school children for refractive errors and provision of spectacles for eligible children vs. None,Amr-D,18 Years,6 Years,"Female, Male",Full,,3.00,3.00,152,United States,2000,228.45
27303,"Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe","OBJECTIVE: To estimate the costs and effects of alternative strategies for annual screening of school children for refractive errors, and the provision of spectacles, in different WHO sub-regions in Africa, Asia, America and Europe. METHODS: We developed a mathematical simulation model for uncorrected refractive error, using prevailing prevalence and incidence rates. Remission rates reflected the absence or presence of screening strategies for school children. All screening strategies were implemented for a period of 10 years and were compared to a situation were no screening was implemented. Outcome measures were life years adjusted for disability (DALYs), costs of screening and provision of spectacles and follow-up for six different screening strategies, and cost-effectiveness in international dollars per DALY averted. Epidemiological information was derived from the burden of disease study from the World Health Organization (WHO). Cost data were derived from large databases from the WHO. Both univariate and multivariate sensitivity analyses were performed on key parameters to determine the robustness of the model results. RESULTS: In all regions, screening of 5-15 years old children yields most health effects, followed by screening of 11-15 years old, 5-10 years old, and screening of 8 and 13 years old. Screening of broad-age intervals is always more costly than screening of single-age intervals, and there are important economies of scale for simultaneous screening of both 5-10 and 11-15-year-old children. In all regions, screening of 11-15 years old is the most cost-effective intervention, with the cost per DALY averted ranging from I$67 per DALY averted in the Asian sub-region to I$458 per DALY averted in the European sub-region. The incremental cost per DALY averted of screening 5-15 years old ranges between I$111 in the Asian sub-region to I$672 in the European sub-region. CONCLUSIONS: Considering the conservative study assumptions and the robustness of study conclusions towards changes in these assumptions, screening of school children for refractive error is economically attractive in all regions in the world.",2009-XX-04684,18621429,Health Policy,Rob Baltussen,2008,89 / 2,201-15,No,18621429,"Rob Baltussen; Jeroen Naus; Hans Limburg; Jeroen Naus; Hans Limburg; Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe, Health Policy, 2009-Feb; 89(2):0168-8510; 201-15",DALY,Not Stated,Not Stated,Screening,Annual screening of school children for refractive errors and provision of spectacles for eligible children vs. None,Amr-D,8 Years,8 Years,"Female, Male",Full,,3.00,3.00,273,United States,2000,410.31
27304,"Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe","OBJECTIVE: To estimate the costs and effects of alternative strategies for annual screening of school children for refractive errors, and the provision of spectacles, in different WHO sub-regions in Africa, Asia, America and Europe. METHODS: We developed a mathematical simulation model for uncorrected refractive error, using prevailing prevalence and incidence rates. Remission rates reflected the absence or presence of screening strategies for school children. All screening strategies were implemented for a period of 10 years and were compared to a situation were no screening was implemented. Outcome measures were life years adjusted for disability (DALYs), costs of screening and provision of spectacles and follow-up for six different screening strategies, and cost-effectiveness in international dollars per DALY averted. Epidemiological information was derived from the burden of disease study from the World Health Organization (WHO). Cost data were derived from large databases from the WHO. Both univariate and multivariate sensitivity analyses were performed on key parameters to determine the robustness of the model results. RESULTS: In all regions, screening of 5-15 years old children yields most health effects, followed by screening of 11-15 years old, 5-10 years old, and screening of 8 and 13 years old. Screening of broad-age intervals is always more costly than screening of single-age intervals, and there are important economies of scale for simultaneous screening of both 5-10 and 11-15-year-old children. In all regions, screening of 11-15 years old is the most cost-effective intervention, with the cost per DALY averted ranging from I$67 per DALY averted in the Asian sub-region to I$458 per DALY averted in the European sub-region. The incremental cost per DALY averted of screening 5-15 years old ranges between I$111 in the Asian sub-region to I$672 in the European sub-region. CONCLUSIONS: Considering the conservative study assumptions and the robustness of study conclusions towards changes in these assumptions, screening of school children for refractive error is economically attractive in all regions in the world.",2009-XX-04684,18621429,Health Policy,Rob Baltussen,2008,89 / 2,201-15,No,18621429,"Rob Baltussen; Jeroen Naus; Hans Limburg; Jeroen Naus; Hans Limburg; Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe, Health Policy, 2009-Feb; 89(2):0168-8510; 201-15",DALY,Not Stated,Not Stated,Screening,Annual screening of school children for refractive errors and provision of spectacles for eligible children vs. None,Amr-D,13 Years,13 Years,"Female, Male",Full,,3.00,3.00,180,United States,2000,270.53
27305,"Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe","OBJECTIVE: To estimate the costs and effects of alternative strategies for annual screening of school children for refractive errors, and the provision of spectacles, in different WHO sub-regions in Africa, Asia, America and Europe. METHODS: We developed a mathematical simulation model for uncorrected refractive error, using prevailing prevalence and incidence rates. Remission rates reflected the absence or presence of screening strategies for school children. All screening strategies were implemented for a period of 10 years and were compared to a situation were no screening was implemented. Outcome measures were life years adjusted for disability (DALYs), costs of screening and provision of spectacles and follow-up for six different screening strategies, and cost-effectiveness in international dollars per DALY averted. Epidemiological information was derived from the burden of disease study from the World Health Organization (WHO). Cost data were derived from large databases from the WHO. Both univariate and multivariate sensitivity analyses were performed on key parameters to determine the robustness of the model results. RESULTS: In all regions, screening of 5-15 years old children yields most health effects, followed by screening of 11-15 years old, 5-10 years old, and screening of 8 and 13 years old. Screening of broad-age intervals is always more costly than screening of single-age intervals, and there are important economies of scale for simultaneous screening of both 5-10 and 11-15-year-old children. In all regions, screening of 11-15 years old is the most cost-effective intervention, with the cost per DALY averted ranging from I$67 per DALY averted in the Asian sub-region to I$458 per DALY averted in the European sub-region. The incremental cost per DALY averted of screening 5-15 years old ranges between I$111 in the Asian sub-region to I$672 in the European sub-region. CONCLUSIONS: Considering the conservative study assumptions and the robustness of study conclusions towards changes in these assumptions, screening of school children for refractive error is economically attractive in all regions in the world.",2009-XX-04684,18621429,Health Policy,Rob Baltussen,2008,89 / 2,201-15,No,18621429,"Rob Baltussen; Jeroen Naus; Hans Limburg; Jeroen Naus; Hans Limburg; Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe, Health Policy, 2009-Feb; 89(2):0168-8510; 201-15",DALY,Not Stated,Not Stated,Screening,Annual screening of school children for refractive errors and provision of spectacles for eligible children vs. None,Amr-D,11 Years,6 Years,"Female, Male",Full,,3.00,3.00,190,United States,2000,285.56
27306,"Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe","OBJECTIVE: To estimate the costs and effects of alternative strategies for annual screening of school children for refractive errors, and the provision of spectacles, in different WHO sub-regions in Africa, Asia, America and Europe. METHODS: We developed a mathematical simulation model for uncorrected refractive error, using prevailing prevalence and incidence rates. Remission rates reflected the absence or presence of screening strategies for school children. All screening strategies were implemented for a period of 10 years and were compared to a situation were no screening was implemented. Outcome measures were life years adjusted for disability (DALYs), costs of screening and provision of spectacles and follow-up for six different screening strategies, and cost-effectiveness in international dollars per DALY averted. Epidemiological information was derived from the burden of disease study from the World Health Organization (WHO). Cost data were derived from large databases from the WHO. Both univariate and multivariate sensitivity analyses were performed on key parameters to determine the robustness of the model results. RESULTS: In all regions, screening of 5-15 years old children yields most health effects, followed by screening of 11-15 years old, 5-10 years old, and screening of 8 and 13 years old. Screening of broad-age intervals is always more costly than screening of single-age intervals, and there are important economies of scale for simultaneous screening of both 5-10 and 11-15-year-old children. In all regions, screening of 11-15 years old is the most cost-effective intervention, with the cost per DALY averted ranging from I$67 per DALY averted in the Asian sub-region to I$458 per DALY averted in the European sub-region. The incremental cost per DALY averted of screening 5-15 years old ranges between I$111 in the Asian sub-region to I$672 in the European sub-region. CONCLUSIONS: Considering the conservative study assumptions and the robustness of study conclusions towards changes in these assumptions, screening of school children for refractive error is economically attractive in all regions in the world.",2009-XX-04684,18621429,Health Policy,Rob Baltussen,2008,89 / 2,201-15,No,18621429,"Rob Baltussen; Jeroen Naus; Hans Limburg; Jeroen Naus; Hans Limburg; Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe, Health Policy, 2009-Feb; 89(2):0168-8510; 201-15",DALY,Not Stated,Not Stated,Screening,Annual screening of school children for refractive errors and provision of spectacles for eligible children vs. None,Emr-B,11 Years,6 Years,"Female, Male",Full,,3.00,3.00,267,United States,2000,401.29
27307,"Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe","OBJECTIVE: To estimate the costs and effects of alternative strategies for annual screening of school children for refractive errors, and the provision of spectacles, in different WHO sub-regions in Africa, Asia, America and Europe. METHODS: We developed a mathematical simulation model for uncorrected refractive error, using prevailing prevalence and incidence rates. Remission rates reflected the absence or presence of screening strategies for school children. All screening strategies were implemented for a period of 10 years and were compared to a situation were no screening was implemented. Outcome measures were life years adjusted for disability (DALYs), costs of screening and provision of spectacles and follow-up for six different screening strategies, and cost-effectiveness in international dollars per DALY averted. Epidemiological information was derived from the burden of disease study from the World Health Organization (WHO). Cost data were derived from large databases from the WHO. Both univariate and multivariate sensitivity analyses were performed on key parameters to determine the robustness of the model results. RESULTS: In all regions, screening of 5-15 years old children yields most health effects, followed by screening of 11-15 years old, 5-10 years old, and screening of 8 and 13 years old. Screening of broad-age intervals is always more costly than screening of single-age intervals, and there are important economies of scale for simultaneous screening of both 5-10 and 11-15-year-old children. In all regions, screening of 11-15 years old is the most cost-effective intervention, with the cost per DALY averted ranging from I$67 per DALY averted in the Asian sub-region to I$458 per DALY averted in the European sub-region. The incremental cost per DALY averted of screening 5-15 years old ranges between I$111 in the Asian sub-region to I$672 in the European sub-region. CONCLUSIONS: Considering the conservative study assumptions and the robustness of study conclusions towards changes in these assumptions, screening of school children for refractive error is economically attractive in all regions in the world.",2009-XX-04684,18621429,Health Policy,Rob Baltussen,2008,89 / 2,201-15,No,18621429,"Rob Baltussen; Jeroen Naus; Hans Limburg; Jeroen Naus; Hans Limburg; Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe, Health Policy, 2009-Feb; 89(2):0168-8510; 201-15",DALY,Not Stated,Not Stated,Screening,Annual screening of school children for refractive errors and provision of spectacles for eligible children vs. None,Emr-B,18 Years,6 Years,"Female, Male",Full,,3.00,3.00,177,United States,2000,266.03
27308,"Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe","OBJECTIVE: To estimate the costs and effects of alternative strategies for annual screening of school children for refractive errors, and the provision of spectacles, in different WHO sub-regions in Africa, Asia, America and Europe. METHODS: We developed a mathematical simulation model for uncorrected refractive error, using prevailing prevalence and incidence rates. Remission rates reflected the absence or presence of screening strategies for school children. All screening strategies were implemented for a period of 10 years and were compared to a situation were no screening was implemented. Outcome measures were life years adjusted for disability (DALYs), costs of screening and provision of spectacles and follow-up for six different screening strategies, and cost-effectiveness in international dollars per DALY averted. Epidemiological information was derived from the burden of disease study from the World Health Organization (WHO). Cost data were derived from large databases from the WHO. Both univariate and multivariate sensitivity analyses were performed on key parameters to determine the robustness of the model results. RESULTS: In all regions, screening of 5-15 years old children yields most health effects, followed by screening of 11-15 years old, 5-10 years old, and screening of 8 and 13 years old. Screening of broad-age intervals is always more costly than screening of single-age intervals, and there are important economies of scale for simultaneous screening of both 5-10 and 11-15-year-old children. In all regions, screening of 11-15 years old is the most cost-effective intervention, with the cost per DALY averted ranging from I$67 per DALY averted in the Asian sub-region to I$458 per DALY averted in the European sub-region. The incremental cost per DALY averted of screening 5-15 years old ranges between I$111 in the Asian sub-region to I$672 in the European sub-region. CONCLUSIONS: Considering the conservative study assumptions and the robustness of study conclusions towards changes in these assumptions, screening of school children for refractive error is economically attractive in all regions in the world.",2009-XX-04684,18621429,Health Policy,Rob Baltussen,2008,89 / 2,201-15,No,18621429,"Rob Baltussen; Jeroen Naus; Hans Limburg; Jeroen Naus; Hans Limburg; Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe, Health Policy, 2009-Feb; 89(2):0168-8510; 201-15",DALY,Not Stated,Not Stated,Screening,Annual screening of school children for refractive errors and provision of spectacles for eligible children vs. None,Emr-B,18 Years,6 Years,"Female, Male",Full,,3.00,3.00,205,United States,2000,308.11
27309,"Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe","OBJECTIVE: To estimate the costs and effects of alternative strategies for annual screening of school children for refractive errors, and the provision of spectacles, in different WHO sub-regions in Africa, Asia, America and Europe. METHODS: We developed a mathematical simulation model for uncorrected refractive error, using prevailing prevalence and incidence rates. Remission rates reflected the absence or presence of screening strategies for school children. All screening strategies were implemented for a period of 10 years and were compared to a situation were no screening was implemented. Outcome measures were life years adjusted for disability (DALYs), costs of screening and provision of spectacles and follow-up for six different screening strategies, and cost-effectiveness in international dollars per DALY averted. Epidemiological information was derived from the burden of disease study from the World Health Organization (WHO). Cost data were derived from large databases from the WHO. Both univariate and multivariate sensitivity analyses were performed on key parameters to determine the robustness of the model results. RESULTS: In all regions, screening of 5-15 years old children yields most health effects, followed by screening of 11-15 years old, 5-10 years old, and screening of 8 and 13 years old. Screening of broad-age intervals is always more costly than screening of single-age intervals, and there are important economies of scale for simultaneous screening of both 5-10 and 11-15-year-old children. In all regions, screening of 11-15 years old is the most cost-effective intervention, with the cost per DALY averted ranging from I$67 per DALY averted in the Asian sub-region to I$458 per DALY averted in the European sub-region. The incremental cost per DALY averted of screening 5-15 years old ranges between I$111 in the Asian sub-region to I$672 in the European sub-region. CONCLUSIONS: Considering the conservative study assumptions and the robustness of study conclusions towards changes in these assumptions, screening of school children for refractive error is economically attractive in all regions in the world.",2009-XX-04684,18621429,Health Policy,Rob Baltussen,2008,89 / 2,201-15,No,18621429,"Rob Baltussen; Jeroen Naus; Hans Limburg; Jeroen Naus; Hans Limburg; Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe, Health Policy, 2009-Feb; 89(2):0168-8510; 201-15",DALY,Not Stated,Not Stated,Screening,Annual screening of school children for refractive errors and provision of spectacles for eligible children vs. None,Emr-B,8 Years,8 Years,"Female, Male",Full,,3.00,3.00,460,United States,2000,691.37
27310,"Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe","OBJECTIVE: To estimate the costs and effects of alternative strategies for annual screening of school children for refractive errors, and the provision of spectacles, in different WHO sub-regions in Africa, Asia, America and Europe. METHODS: We developed a mathematical simulation model for uncorrected refractive error, using prevailing prevalence and incidence rates. Remission rates reflected the absence or presence of screening strategies for school children. All screening strategies were implemented for a period of 10 years and were compared to a situation were no screening was implemented. Outcome measures were life years adjusted for disability (DALYs), costs of screening and provision of spectacles and follow-up for six different screening strategies, and cost-effectiveness in international dollars per DALY averted. Epidemiological information was derived from the burden of disease study from the World Health Organization (WHO). Cost data were derived from large databases from the WHO. Both univariate and multivariate sensitivity analyses were performed on key parameters to determine the robustness of the model results. RESULTS: In all regions, screening of 5-15 years old children yields most health effects, followed by screening of 11-15 years old, 5-10 years old, and screening of 8 and 13 years old. Screening of broad-age intervals is always more costly than screening of single-age intervals, and there are important economies of scale for simultaneous screening of both 5-10 and 11-15-year-old children. In all regions, screening of 11-15 years old is the most cost-effective intervention, with the cost per DALY averted ranging from I$67 per DALY averted in the Asian sub-region to I$458 per DALY averted in the European sub-region. The incremental cost per DALY averted of screening 5-15 years old ranges between I$111 in the Asian sub-region to I$672 in the European sub-region. CONCLUSIONS: Considering the conservative study assumptions and the robustness of study conclusions towards changes in these assumptions, screening of school children for refractive error is economically attractive in all regions in the world.",2009-XX-04684,18621429,Health Policy,Rob Baltussen,2008,89 / 2,201-15,No,18621429,"Rob Baltussen; Jeroen Naus; Hans Limburg; Jeroen Naus; Hans Limburg; Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe, Health Policy, 2009-Feb; 89(2):0168-8510; 201-15",DALY,Not Stated,Not Stated,Screening,Annual screening of school children for refractive errors and provision of spectacles for eligible children vs. None,Emr-B,13 Years,13 Years,"Female, Male",Full,,3.00,3.00,241,United States,2000,362.22
27311,"Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe","OBJECTIVE: To estimate the costs and effects of alternative strategies for annual screening of school children for refractive errors, and the provision of spectacles, in different WHO sub-regions in Africa, Asia, America and Europe. METHODS: We developed a mathematical simulation model for uncorrected refractive error, using prevailing prevalence and incidence rates. Remission rates reflected the absence or presence of screening strategies for school children. All screening strategies were implemented for a period of 10 years and were compared to a situation were no screening was implemented. Outcome measures were life years adjusted for disability (DALYs), costs of screening and provision of spectacles and follow-up for six different screening strategies, and cost-effectiveness in international dollars per DALY averted. Epidemiological information was derived from the burden of disease study from the World Health Organization (WHO). Cost data were derived from large databases from the WHO. Both univariate and multivariate sensitivity analyses were performed on key parameters to determine the robustness of the model results. RESULTS: In all regions, screening of 5-15 years old children yields most health effects, followed by screening of 11-15 years old, 5-10 years old, and screening of 8 and 13 years old. Screening of broad-age intervals is always more costly than screening of single-age intervals, and there are important economies of scale for simultaneous screening of both 5-10 and 11-15-year-old children. In all regions, screening of 11-15 years old is the most cost-effective intervention, with the cost per DALY averted ranging from I$67 per DALY averted in the Asian sub-region to I$458 per DALY averted in the European sub-region. The incremental cost per DALY averted of screening 5-15 years old ranges between I$111 in the Asian sub-region to I$672 in the European sub-region. CONCLUSIONS: Considering the conservative study assumptions and the robustness of study conclusions towards changes in these assumptions, screening of school children for refractive error is economically attractive in all regions in the world.",2009-XX-04684,18621429,Health Policy,Rob Baltussen,2008,89 / 2,201-15,No,18621429,"Rob Baltussen; Jeroen Naus; Hans Limburg; Jeroen Naus; Hans Limburg; Cost-effectiveness of screening and correcting refractive errors in school children in Africa, Asia, America and Europe, Health Policy, 2009-Feb; 89(2):0168-8510; 201-15",DALY,Not Stated,Not Stated,Screening,Annual screening of school children for refractive errors and provision of spectacles for eligible children vs. None,Emr-B,11 Years,6 Years,"Female, Male",Full,,3.00,3.00,272,United States,2000,408.81
