index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
31201,How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?,"BACKGROUND: Iron and zinc deficiencies affect human health globally, especially in developing countries. Agronomic biofortification, as a strategy for alleviating these issues, has been focused on small-scale field studies, and not widely applied while lacking of cost-effectiveness analysis (CEA). OBJECTIVE: We conducted the CEA of agronomic biofortification, expressed as USD per disability-adjusted life years (DALYs) saved, to recommend a cost-effectiveness strategy that can be widely applied. METHODS: The DALYs were applied to quantify the health burden due to Fe and/or Zn deficiency and health cost of agronomic biofortification via a single, dual, or triple foliar spray of Fe, Zn, and/or pesticide in 4 (northeast, central China, southeast, and southwest) major Chinese rice-based regions. RESULTS: The current health burden by Fe or Zn malnutrition was 0.45 to 1.45 or 0.14 to 0.84 million DALYs for these 4 regions. Compared to traditional rice diets, the daily Fe and/or Zn intake from Fe and/or Zn-biofortified rice increased, and the health burden of Fe and/or Zn deficiency decreased by 28% and 48%, respectively. The cost of saving 1 DALYs ranged from US$376 to US$4989, US$194 to US$2730, and US$37.6 to US$530.1 for the single, dual, and triple foliar Fe, Zn, and/or pesticide application, respectively, due to a substantial decrease in labor costs by the latter 2 applications. CONCLUSIONS: Agronomic biofortification of rice with the triple foliar spray of Fe, Zn, and pesticide is a rapidly effective and cost-effectiveness pathway to alleviate Fe and Zn deficiency for rice-based dietary populations.",2017-XX-25999,29281918,Food Nutr Bull,Cheng-Ming Zhang,2017,/,379572117745661,No,29281918,"Cheng-Ming Zhang; Wan-Yi Zhao; A-Xiang Gao; Ting-Ting Su; Yan-Kun Wang; Yue-Qiang Zhang; Xin-Bin Zhou; Xin-Hua He; How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?, Food Nutr Bull, 2017 Jan 1; ():0379-5721; 379572117745661",DALY,China,Not Stated,Other,Agronomic Biofortification on Rice With Foliar Fe application alone: Optimistic scenario vs. None,Southwest rice region,Not Stated,19 Years,"Female, Male",Full,,Not Stated,Not Stated,3759.89,United States,2015,4105.61
31202,How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?,"BACKGROUND: Iron and zinc deficiencies affect human health globally, especially in developing countries. Agronomic biofortification, as a strategy for alleviating these issues, has been focused on small-scale field studies, and not widely applied while lacking of cost-effectiveness analysis (CEA). OBJECTIVE: We conducted the CEA of agronomic biofortification, expressed as USD per disability-adjusted life years (DALYs) saved, to recommend a cost-effectiveness strategy that can be widely applied. METHODS: The DALYs were applied to quantify the health burden due to Fe and/or Zn deficiency and health cost of agronomic biofortification via a single, dual, or triple foliar spray of Fe, Zn, and/or pesticide in 4 (northeast, central China, southeast, and southwest) major Chinese rice-based regions. RESULTS: The current health burden by Fe or Zn malnutrition was 0.45 to 1.45 or 0.14 to 0.84 million DALYs for these 4 regions. Compared to traditional rice diets, the daily Fe and/or Zn intake from Fe and/or Zn-biofortified rice increased, and the health burden of Fe and/or Zn deficiency decreased by 28% and 48%, respectively. The cost of saving 1 DALYs ranged from US$376 to US$4989, US$194 to US$2730, and US$37.6 to US$530.1 for the single, dual, and triple foliar Fe, Zn, and/or pesticide application, respectively, due to a substantial decrease in labor costs by the latter 2 applications. CONCLUSIONS: Agronomic biofortification of rice with the triple foliar spray of Fe, Zn, and pesticide is a rapidly effective and cost-effectiveness pathway to alleviate Fe and Zn deficiency for rice-based dietary populations.",2017-XX-25999,29281918,Food Nutr Bull,Cheng-Ming Zhang,2017,/,379572117745661,No,29281918,"Cheng-Ming Zhang; Wan-Yi Zhao; A-Xiang Gao; Ting-Ting Su; Yan-Kun Wang; Yue-Qiang Zhang; Xin-Bin Zhou; Xin-Hua He; How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?, Food Nutr Bull, 2017 Jan 1; ():0379-5721; 379572117745661",DALY,China,Not Stated,Other,Agronomic Biofortification on Rice With Foliar Fe application alone: Pessimistic scenario vs. None,Northeast rice region,Not Stated,19 Years,"Female, Male",Full,,Not Stated,Not Stated,45911.95,United States,2015,50133.61
31203,How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?,"BACKGROUND: Iron and zinc deficiencies affect human health globally, especially in developing countries. Agronomic biofortification, as a strategy for alleviating these issues, has been focused on small-scale field studies, and not widely applied while lacking of cost-effectiveness analysis (CEA). OBJECTIVE: We conducted the CEA of agronomic biofortification, expressed as USD per disability-adjusted life years (DALYs) saved, to recommend a cost-effectiveness strategy that can be widely applied. METHODS: The DALYs were applied to quantify the health burden due to Fe and/or Zn deficiency and health cost of agronomic biofortification via a single, dual, or triple foliar spray of Fe, Zn, and/or pesticide in 4 (northeast, central China, southeast, and southwest) major Chinese rice-based regions. RESULTS: The current health burden by Fe or Zn malnutrition was 0.45 to 1.45 or 0.14 to 0.84 million DALYs for these 4 regions. Compared to traditional rice diets, the daily Fe and/or Zn intake from Fe and/or Zn-biofortified rice increased, and the health burden of Fe and/or Zn deficiency decreased by 28% and 48%, respectively. The cost of saving 1 DALYs ranged from US$376 to US$4989, US$194 to US$2730, and US$37.6 to US$530.1 for the single, dual, and triple foliar Fe, Zn, and/or pesticide application, respectively, due to a substantial decrease in labor costs by the latter 2 applications. CONCLUSIONS: Agronomic biofortification of rice with the triple foliar spray of Fe, Zn, and pesticide is a rapidly effective and cost-effectiveness pathway to alleviate Fe and Zn deficiency for rice-based dietary populations.",2017-XX-25999,29281918,Food Nutr Bull,Cheng-Ming Zhang,2017,/,379572117745661,No,29281918,"Cheng-Ming Zhang; Wan-Yi Zhao; A-Xiang Gao; Ting-Ting Su; Yan-Kun Wang; Yue-Qiang Zhang; Xin-Bin Zhou; Xin-Hua He; How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?, Food Nutr Bull, 2017 Jan 1; ():0379-5721; 379572117745661",DALY,China,Not Stated,Other,Agronomic Biofortification on Rice With Foliar Fe application alone: Pessimistic scenario vs. None,Central China rice region,Not Stated,19 Years,"Female, Male",Full,,Not Stated,Not Stated,25180.57,United States,2015,27495.95
31204,How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?,"BACKGROUND: Iron and zinc deficiencies affect human health globally, especially in developing countries. Agronomic biofortification, as a strategy for alleviating these issues, has been focused on small-scale field studies, and not widely applied while lacking of cost-effectiveness analysis (CEA). OBJECTIVE: We conducted the CEA of agronomic biofortification, expressed as USD per disability-adjusted life years (DALYs) saved, to recommend a cost-effectiveness strategy that can be widely applied. METHODS: The DALYs were applied to quantify the health burden due to Fe and/or Zn deficiency and health cost of agronomic biofortification via a single, dual, or triple foliar spray of Fe, Zn, and/or pesticide in 4 (northeast, central China, southeast, and southwest) major Chinese rice-based regions. RESULTS: The current health burden by Fe or Zn malnutrition was 0.45 to 1.45 or 0.14 to 0.84 million DALYs for these 4 regions. Compared to traditional rice diets, the daily Fe and/or Zn intake from Fe and/or Zn-biofortified rice increased, and the health burden of Fe and/or Zn deficiency decreased by 28% and 48%, respectively. The cost of saving 1 DALYs ranged from US$376 to US$4989, US$194 to US$2730, and US$37.6 to US$530.1 for the single, dual, and triple foliar Fe, Zn, and/or pesticide application, respectively, due to a substantial decrease in labor costs by the latter 2 applications. CONCLUSIONS: Agronomic biofortification of rice with the triple foliar spray of Fe, Zn, and pesticide is a rapidly effective and cost-effectiveness pathway to alleviate Fe and Zn deficiency for rice-based dietary populations.",2017-XX-25999,29281918,Food Nutr Bull,Cheng-Ming Zhang,2017,/,379572117745661,No,29281918,"Cheng-Ming Zhang; Wan-Yi Zhao; A-Xiang Gao; Ting-Ting Su; Yan-Kun Wang; Yue-Qiang Zhang; Xin-Bin Zhou; Xin-Hua He; How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?, Food Nutr Bull, 2017 Jan 1; ():0379-5721; 379572117745661",DALY,China,Not Stated,Other,Agronomic Biofortification on Rice With Foliar Fe application alone: Pessimistic scenario vs. None,Southeast rice region,Not Stated,19 Years,"Female, Male",Full,,Not Stated,Not Stated,15044.98,United States,2015,16428.38
31205,How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?,"BACKGROUND: Iron and zinc deficiencies affect human health globally, especially in developing countries. Agronomic biofortification, as a strategy for alleviating these issues, has been focused on small-scale field studies, and not widely applied while lacking of cost-effectiveness analysis (CEA). OBJECTIVE: We conducted the CEA of agronomic biofortification, expressed as USD per disability-adjusted life years (DALYs) saved, to recommend a cost-effectiveness strategy that can be widely applied. METHODS: The DALYs were applied to quantify the health burden due to Fe and/or Zn deficiency and health cost of agronomic biofortification via a single, dual, or triple foliar spray of Fe, Zn, and/or pesticide in 4 (northeast, central China, southeast, and southwest) major Chinese rice-based regions. RESULTS: The current health burden by Fe or Zn malnutrition was 0.45 to 1.45 or 0.14 to 0.84 million DALYs for these 4 regions. Compared to traditional rice diets, the daily Fe and/or Zn intake from Fe and/or Zn-biofortified rice increased, and the health burden of Fe and/or Zn deficiency decreased by 28% and 48%, respectively. The cost of saving 1 DALYs ranged from US$376 to US$4989, US$194 to US$2730, and US$37.6 to US$530.1 for the single, dual, and triple foliar Fe, Zn, and/or pesticide application, respectively, due to a substantial decrease in labor costs by the latter 2 applications. CONCLUSIONS: Agronomic biofortification of rice with the triple foliar spray of Fe, Zn, and pesticide is a rapidly effective and cost-effectiveness pathway to alleviate Fe and Zn deficiency for rice-based dietary populations.",2017-XX-25999,29281918,Food Nutr Bull,Cheng-Ming Zhang,2017,/,379572117745661,No,29281918,"Cheng-Ming Zhang; Wan-Yi Zhao; A-Xiang Gao; Ting-Ting Su; Yan-Kun Wang; Yue-Qiang Zhang; Xin-Bin Zhou; Xin-Hua He; How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?, Food Nutr Bull, 2017 Jan 1; ():0379-5721; 379572117745661",DALY,China,Not Stated,Other,Agronomic Biofortification on Rice With Foliar Fe application alone: Pessimistic scenario vs. None,Southwest rice region,Not Stated,19 Years,"Female, Male",Full,,Not Stated,Not Stated,15988.86,United States,2015,17459.06
31206,How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?,"BACKGROUND: Iron and zinc deficiencies affect human health globally, especially in developing countries. Agronomic biofortification, as a strategy for alleviating these issues, has been focused on small-scale field studies, and not widely applied while lacking of cost-effectiveness analysis (CEA). OBJECTIVE: We conducted the CEA of agronomic biofortification, expressed as USD per disability-adjusted life years (DALYs) saved, to recommend a cost-effectiveness strategy that can be widely applied. METHODS: The DALYs were applied to quantify the health burden due to Fe and/or Zn deficiency and health cost of agronomic biofortification via a single, dual, or triple foliar spray of Fe, Zn, and/or pesticide in 4 (northeast, central China, southeast, and southwest) major Chinese rice-based regions. RESULTS: The current health burden by Fe or Zn malnutrition was 0.45 to 1.45 or 0.14 to 0.84 million DALYs for these 4 regions. Compared to traditional rice diets, the daily Fe and/or Zn intake from Fe and/or Zn-biofortified rice increased, and the health burden of Fe and/or Zn deficiency decreased by 28% and 48%, respectively. The cost of saving 1 DALYs ranged from US$376 to US$4989, US$194 to US$2730, and US$37.6 to US$530.1 for the single, dual, and triple foliar Fe, Zn, and/or pesticide application, respectively, due to a substantial decrease in labor costs by the latter 2 applications. CONCLUSIONS: Agronomic biofortification of rice with the triple foliar spray of Fe, Zn, and pesticide is a rapidly effective and cost-effectiveness pathway to alleviate Fe and Zn deficiency for rice-based dietary populations.",2017-XX-25999,29281918,Food Nutr Bull,Cheng-Ming Zhang,2017,/,379572117745661,No,29281918,"Cheng-Ming Zhang; Wan-Yi Zhao; A-Xiang Gao; Ting-Ting Su; Yan-Kun Wang; Yue-Qiang Zhang; Xin-Bin Zhou; Xin-Hua He; How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?, Food Nutr Bull, 2017 Jan 1; ():0379-5721; 379572117745661",DALY,China,Not Stated,Other,Agronomic Biofortification on Rice With Foliar Zn application alone: Optimistic scenario vs. None,Northeast rice region,Not Stated,19 Years,"Female, Male",Full,,Not Stated,Not Stated,11461.86,United States,2015,12515.79
31207,How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?,"BACKGROUND: Iron and zinc deficiencies affect human health globally, especially in developing countries. Agronomic biofortification, as a strategy for alleviating these issues, has been focused on small-scale field studies, and not widely applied while lacking of cost-effectiveness analysis (CEA). OBJECTIVE: We conducted the CEA of agronomic biofortification, expressed as USD per disability-adjusted life years (DALYs) saved, to recommend a cost-effectiveness strategy that can be widely applied. METHODS: The DALYs were applied to quantify the health burden due to Fe and/or Zn deficiency and health cost of agronomic biofortification via a single, dual, or triple foliar spray of Fe, Zn, and/or pesticide in 4 (northeast, central China, southeast, and southwest) major Chinese rice-based regions. RESULTS: The current health burden by Fe or Zn malnutrition was 0.45 to 1.45 or 0.14 to 0.84 million DALYs for these 4 regions. Compared to traditional rice diets, the daily Fe and/or Zn intake from Fe and/or Zn-biofortified rice increased, and the health burden of Fe and/or Zn deficiency decreased by 28% and 48%, respectively. The cost of saving 1 DALYs ranged from US$376 to US$4989, US$194 to US$2730, and US$37.6 to US$530.1 for the single, dual, and triple foliar Fe, Zn, and/or pesticide application, respectively, due to a substantial decrease in labor costs by the latter 2 applications. CONCLUSIONS: Agronomic biofortification of rice with the triple foliar spray of Fe, Zn, and pesticide is a rapidly effective and cost-effectiveness pathway to alleviate Fe and Zn deficiency for rice-based dietary populations.",2017-XX-25999,29281918,Food Nutr Bull,Cheng-Ming Zhang,2017,/,379572117745661,No,29281918,"Cheng-Ming Zhang; Wan-Yi Zhao; A-Xiang Gao; Ting-Ting Su; Yan-Kun Wang; Yue-Qiang Zhang; Xin-Bin Zhou; Xin-Hua He; How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?, Food Nutr Bull, 2017 Jan 1; ():0379-5721; 379572117745661",DALY,China,Not Stated,Other,Agronomic Biofortification on Rice With Foliar Zn application alone: Optimistic scenario vs. None,Central China rice region,Not Stated,19 Years,"Female, Male",Full,,Not Stated,Not Stated,4682.15,United States,2015,5112.68
31208,How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?,"BACKGROUND: Iron and zinc deficiencies affect human health globally, especially in developing countries. Agronomic biofortification, as a strategy for alleviating these issues, has been focused on small-scale field studies, and not widely applied while lacking of cost-effectiveness analysis (CEA). OBJECTIVE: We conducted the CEA of agronomic biofortification, expressed as USD per disability-adjusted life years (DALYs) saved, to recommend a cost-effectiveness strategy that can be widely applied. METHODS: The DALYs were applied to quantify the health burden due to Fe and/or Zn deficiency and health cost of agronomic biofortification via a single, dual, or triple foliar spray of Fe, Zn, and/or pesticide in 4 (northeast, central China, southeast, and southwest) major Chinese rice-based regions. RESULTS: The current health burden by Fe or Zn malnutrition was 0.45 to 1.45 or 0.14 to 0.84 million DALYs for these 4 regions. Compared to traditional rice diets, the daily Fe and/or Zn intake from Fe and/or Zn-biofortified rice increased, and the health burden of Fe and/or Zn deficiency decreased by 28% and 48%, respectively. The cost of saving 1 DALYs ranged from US$376 to US$4989, US$194 to US$2730, and US$37.6 to US$530.1 for the single, dual, and triple foliar Fe, Zn, and/or pesticide application, respectively, due to a substantial decrease in labor costs by the latter 2 applications. CONCLUSIONS: Agronomic biofortification of rice with the triple foliar spray of Fe, Zn, and pesticide is a rapidly effective and cost-effectiveness pathway to alleviate Fe and Zn deficiency for rice-based dietary populations.",2017-XX-25999,29281918,Food Nutr Bull,Cheng-Ming Zhang,2017,/,379572117745661,No,29281918,"Cheng-Ming Zhang; Wan-Yi Zhao; A-Xiang Gao; Ting-Ting Su; Yan-Kun Wang; Yue-Qiang Zhang; Xin-Bin Zhou; Xin-Hua He; How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?, Food Nutr Bull, 2017 Jan 1; ():0379-5721; 379572117745661",DALY,China,Not Stated,Other,Agronomic Biofortification on Rice With Foliar Zn application alone: Optimistic scenario vs. None,Southeast rice region,Not Stated,19 Years,"Female, Male",Full,,Not Stated,Not Stated,3806.15,United States,2015,4156.13
31209,How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?,"BACKGROUND: Iron and zinc deficiencies affect human health globally, especially in developing countries. Agronomic biofortification, as a strategy for alleviating these issues, has been focused on small-scale field studies, and not widely applied while lacking of cost-effectiveness analysis (CEA). OBJECTIVE: We conducted the CEA of agronomic biofortification, expressed as USD per disability-adjusted life years (DALYs) saved, to recommend a cost-effectiveness strategy that can be widely applied. METHODS: The DALYs were applied to quantify the health burden due to Fe and/or Zn deficiency and health cost of agronomic biofortification via a single, dual, or triple foliar spray of Fe, Zn, and/or pesticide in 4 (northeast, central China, southeast, and southwest) major Chinese rice-based regions. RESULTS: The current health burden by Fe or Zn malnutrition was 0.45 to 1.45 or 0.14 to 0.84 million DALYs for these 4 regions. Compared to traditional rice diets, the daily Fe and/or Zn intake from Fe and/or Zn-biofortified rice increased, and the health burden of Fe and/or Zn deficiency decreased by 28% and 48%, respectively. The cost of saving 1 DALYs ranged from US$376 to US$4989, US$194 to US$2730, and US$37.6 to US$530.1 for the single, dual, and triple foliar Fe, Zn, and/or pesticide application, respectively, due to a substantial decrease in labor costs by the latter 2 applications. CONCLUSIONS: Agronomic biofortification of rice with the triple foliar spray of Fe, Zn, and pesticide is a rapidly effective and cost-effectiveness pathway to alleviate Fe and Zn deficiency for rice-based dietary populations.",2017-XX-25999,29281918,Food Nutr Bull,Cheng-Ming Zhang,2017,/,379572117745661,No,29281918,"Cheng-Ming Zhang; Wan-Yi Zhao; A-Xiang Gao; Ting-Ting Su; Yan-Kun Wang; Yue-Qiang Zhang; Xin-Bin Zhou; Xin-Hua He; How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?, Food Nutr Bull, 2017 Jan 1; ():0379-5721; 379572117745661",DALY,China,Not Stated,Other,Agronomic Biofortification on Rice With Foliar Zn application alone: Optimistic scenario vs. None,Southwest rice region,Not Stated,19 Years,"Female, Male",Full,,Not Stated,Not Stated,3110.73,United States,2015,3396.77
31210,How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?,"BACKGROUND: Iron and zinc deficiencies affect human health globally, especially in developing countries. Agronomic biofortification, as a strategy for alleviating these issues, has been focused on small-scale field studies, and not widely applied while lacking of cost-effectiveness analysis (CEA). OBJECTIVE: We conducted the CEA of agronomic biofortification, expressed as USD per disability-adjusted life years (DALYs) saved, to recommend a cost-effectiveness strategy that can be widely applied. METHODS: The DALYs were applied to quantify the health burden due to Fe and/or Zn deficiency and health cost of agronomic biofortification via a single, dual, or triple foliar spray of Fe, Zn, and/or pesticide in 4 (northeast, central China, southeast, and southwest) major Chinese rice-based regions. RESULTS: The current health burden by Fe or Zn malnutrition was 0.45 to 1.45 or 0.14 to 0.84 million DALYs for these 4 regions. Compared to traditional rice diets, the daily Fe and/or Zn intake from Fe and/or Zn-biofortified rice increased, and the health burden of Fe and/or Zn deficiency decreased by 28% and 48%, respectively. The cost of saving 1 DALYs ranged from US$376 to US$4989, US$194 to US$2730, and US$37.6 to US$530.1 for the single, dual, and triple foliar Fe, Zn, and/or pesticide application, respectively, due to a substantial decrease in labor costs by the latter 2 applications. CONCLUSIONS: Agronomic biofortification of rice with the triple foliar spray of Fe, Zn, and pesticide is a rapidly effective and cost-effectiveness pathway to alleviate Fe and Zn deficiency for rice-based dietary populations.",2017-XX-25999,29281918,Food Nutr Bull,Cheng-Ming Zhang,2017,/,379572117745661,No,29281918,"Cheng-Ming Zhang; Wan-Yi Zhao; A-Xiang Gao; Ting-Ting Su; Yan-Kun Wang; Yue-Qiang Zhang; Xin-Bin Zhou; Xin-Hua He; How Could Agronomic Biofortification of Rice Be an Alternative Strategy with Higher Cost-Effectiveness for Human Iron and Zinc Deficiency in China?, Food Nutr Bull, 2017 Jan 1; ():0379-5721; 379572117745661",DALY,China,Not Stated,Other,Agronomic Biofortification on Rice With Foliar Zn application alone: Pessimistic scenario vs. None,Northeast rice region,Not Stated,19 Years,"Female, Male",Full,,Not Stated,Not Stated,49877.33,United States,2015,54463.61
