index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
32001,The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission,"BACKGROUND: Currently, there are no solutions to prevent congenital transmission of Chagas disease during pregnancy, which affects 1-40% of pregnant women in Latin America and is associated with a 5% transmission risk. With therapeutic vaccines under development, now is the right time to determine the economic value of such a vaccine to prevent congenital transmission. METHODS: We developed a computational decision model that represented the clinical outcomes and diagnostic testing strategies for an infant born to a Chagas-positive woman in Mexico and evaluated the impact of vaccination. RESULTS: Compared to no vaccination, a 25% efficacious vaccine averted 125 [95% uncertainty interval (UI): 122-128] congenital cases, 1.9 (95% UI: 1.6-2.2) infant deaths, and 78 (95% UI: 66-91) DALYs per 10,000 infected pregnant women; a 50% efficacious vaccine averted 251 (95% UI: 248-254) cases, 3.8 (95% UI: 3.6-4.2) deaths, and 160 (95% UI: 148-171) DALYs; and a 75% efficacious vaccine averted 376 (95% UI: 374-378) cases, 5.8 (95% UI: 5.5-6.1) deaths, and 238 (95% UI: 227-249) DALYs. A 25% efficacious vaccine was cost-effective (incremental cost-effectiveness ratio <3× Mexico''s gross domestic product per capita, <$29,698/DALY averted) when the vaccine cost =$240 and =$310 and cost-saving when =$10 and =$80 from the third-party payer and societal perspectives, respectively. A 50% efficacious vaccine was cost-effective when costing =$490 and =$615 and cost-saving when =$25 and =$160, from the third-party payer and societal perspectives, respectively. A 75% efficacious vaccine was cost-effective when =$720 and =$930 and cost-saving when =$40 and =$250 from the third-party payer and societal perspectives, respectively. Additionally, 13-42 fewer infants progressed to chronic disease, saving $0.41-$1.21 million to society. CONCLUSION: We delineated the thresholds at which therapeutic vaccination of Chagas-positive pregnant women would be cost-effective and cost-saving, providing economic guidance for decision-makers to consider when developing and bringing such a vaccine to market.",2020-99-39211,32171575,Vaccine,Sarah M Bartsch,2020,38 / 16,3261-3270,Yes,32171575,"Sarah M Bartsch; Owen J Stokes-Cawley; Pierre Buekens; Lindsey Asti; Maria Elena Bottazzi; Ulrich Strych; Patrick T Wedlock; Elizabeth A Mitgang; Sheba Meymandi; Jorge Abelardo Falcon-Lezama; Peter J Hotez; Bruce Y Lee; The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission, Vaccine, 2020 Apr 3; 38(16):1873-2518; 3261-3270",DALY,Mexico,Not Stated,Immunization,25% efficacy at $50 vaccination for chagas disease vs. None,pregnant,Not Stated,19 Years,Female,Full,,3.00,3.00,-30729.83,United States,2019,-31108.94
32002,The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission,"BACKGROUND: Currently, there are no solutions to prevent congenital transmission of Chagas disease during pregnancy, which affects 1-40% of pregnant women in Latin America and is associated with a 5% transmission risk. With therapeutic vaccines under development, now is the right time to determine the economic value of such a vaccine to prevent congenital transmission. METHODS: We developed a computational decision model that represented the clinical outcomes and diagnostic testing strategies for an infant born to a Chagas-positive woman in Mexico and evaluated the impact of vaccination. RESULTS: Compared to no vaccination, a 25% efficacious vaccine averted 125 [95% uncertainty interval (UI): 122-128] congenital cases, 1.9 (95% UI: 1.6-2.2) infant deaths, and 78 (95% UI: 66-91) DALYs per 10,000 infected pregnant women; a 50% efficacious vaccine averted 251 (95% UI: 248-254) cases, 3.8 (95% UI: 3.6-4.2) deaths, and 160 (95% UI: 148-171) DALYs; and a 75% efficacious vaccine averted 376 (95% UI: 374-378) cases, 5.8 (95% UI: 5.5-6.1) deaths, and 238 (95% UI: 227-249) DALYs. A 25% efficacious vaccine was cost-effective (incremental cost-effectiveness ratio <3× Mexico''s gross domestic product per capita, <$29,698/DALY averted) when the vaccine cost =$240 and =$310 and cost-saving when =$10 and =$80 from the third-party payer and societal perspectives, respectively. A 50% efficacious vaccine was cost-effective when costing =$490 and =$615 and cost-saving when =$25 and =$160, from the third-party payer and societal perspectives, respectively. A 75% efficacious vaccine was cost-effective when =$720 and =$930 and cost-saving when =$40 and =$250 from the third-party payer and societal perspectives, respectively. Additionally, 13-42 fewer infants progressed to chronic disease, saving $0.41-$1.21 million to society. CONCLUSION: We delineated the thresholds at which therapeutic vaccination of Chagas-positive pregnant women would be cost-effective and cost-saving, providing economic guidance for decision-makers to consider when developing and bringing such a vaccine to market.",2020-99-39211,32171575,Vaccine,Sarah M Bartsch,2020,38 / 16,3261-3270,Yes,32171575,"Sarah M Bartsch; Owen J Stokes-Cawley; Pierre Buekens; Lindsey Asti; Maria Elena Bottazzi; Ulrich Strych; Patrick T Wedlock; Elizabeth A Mitgang; Sheba Meymandi; Jorge Abelardo Falcon-Lezama; Peter J Hotez; Bruce Y Lee; The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission, Vaccine, 2020 Apr 3; 38(16):1873-2518; 3261-3270",DALY,Mexico,Not Stated,Immunization,50% efficacy at $50 vaccination for chagas disease vs. None,pregnant,Not Stated,19 Years,Female,Full,,3.00,3.00,-7509.39,United States,2019,-7602.03
32003,The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission,"BACKGROUND: Currently, there are no solutions to prevent congenital transmission of Chagas disease during pregnancy, which affects 1-40% of pregnant women in Latin America and is associated with a 5% transmission risk. With therapeutic vaccines under development, now is the right time to determine the economic value of such a vaccine to prevent congenital transmission. METHODS: We developed a computational decision model that represented the clinical outcomes and diagnostic testing strategies for an infant born to a Chagas-positive woman in Mexico and evaluated the impact of vaccination. RESULTS: Compared to no vaccination, a 25% efficacious vaccine averted 125 [95% uncertainty interval (UI): 122-128] congenital cases, 1.9 (95% UI: 1.6-2.2) infant deaths, and 78 (95% UI: 66-91) DALYs per 10,000 infected pregnant women; a 50% efficacious vaccine averted 251 (95% UI: 248-254) cases, 3.8 (95% UI: 3.6-4.2) deaths, and 160 (95% UI: 148-171) DALYs; and a 75% efficacious vaccine averted 376 (95% UI: 374-378) cases, 5.8 (95% UI: 5.5-6.1) deaths, and 238 (95% UI: 227-249) DALYs. A 25% efficacious vaccine was cost-effective (incremental cost-effectiveness ratio <3× Mexico''s gross domestic product per capita, <$29,698/DALY averted) when the vaccine cost =$240 and =$310 and cost-saving when =$10 and =$80 from the third-party payer and societal perspectives, respectively. A 50% efficacious vaccine was cost-effective when costing =$490 and =$615 and cost-saving when =$25 and =$160, from the third-party payer and societal perspectives, respectively. A 75% efficacious vaccine was cost-effective when =$720 and =$930 and cost-saving when =$40 and =$250 from the third-party payer and societal perspectives, respectively. Additionally, 13-42 fewer infants progressed to chronic disease, saving $0.41-$1.21 million to society. CONCLUSION: We delineated the thresholds at which therapeutic vaccination of Chagas-positive pregnant women would be cost-effective and cost-saving, providing economic guidance for decision-makers to consider when developing and bringing such a vaccine to market.",2020-99-39211,32171575,Vaccine,Sarah M Bartsch,2020,38 / 16,3261-3270,Yes,32171575,"Sarah M Bartsch; Owen J Stokes-Cawley; Pierre Buekens; Lindsey Asti; Maria Elena Bottazzi; Ulrich Strych; Patrick T Wedlock; Elizabeth A Mitgang; Sheba Meymandi; Jorge Abelardo Falcon-Lezama; Peter J Hotez; Bruce Y Lee; The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission, Vaccine, 2020 Apr 3; 38(16):1873-2518; 3261-3270",DALY,Mexico,Not Stated,Immunization,75% efficacy at $50 vaccination for chagas disease vs. None,pregnant,Not Stated,19 Years,Female,Full,,3.00,3.00,-8399.83,United States,2019,-8503.46
32004,The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission,"BACKGROUND: Currently, there are no solutions to prevent congenital transmission of Chagas disease during pregnancy, which affects 1-40% of pregnant women in Latin America and is associated with a 5% transmission risk. With therapeutic vaccines under development, now is the right time to determine the economic value of such a vaccine to prevent congenital transmission. METHODS: We developed a computational decision model that represented the clinical outcomes and diagnostic testing strategies for an infant born to a Chagas-positive woman in Mexico and evaluated the impact of vaccination. RESULTS: Compared to no vaccination, a 25% efficacious vaccine averted 125 [95% uncertainty interval (UI): 122-128] congenital cases, 1.9 (95% UI: 1.6-2.2) infant deaths, and 78 (95% UI: 66-91) DALYs per 10,000 infected pregnant women; a 50% efficacious vaccine averted 251 (95% UI: 248-254) cases, 3.8 (95% UI: 3.6-4.2) deaths, and 160 (95% UI: 148-171) DALYs; and a 75% efficacious vaccine averted 376 (95% UI: 374-378) cases, 5.8 (95% UI: 5.5-6.1) deaths, and 238 (95% UI: 227-249) DALYs. A 25% efficacious vaccine was cost-effective (incremental cost-effectiveness ratio <3× Mexico''s gross domestic product per capita, <$29,698/DALY averted) when the vaccine cost =$240 and =$310 and cost-saving when =$10 and =$80 from the third-party payer and societal perspectives, respectively. A 50% efficacious vaccine was cost-effective when costing =$490 and =$615 and cost-saving when =$25 and =$160, from the third-party payer and societal perspectives, respectively. A 75% efficacious vaccine was cost-effective when =$720 and =$930 and cost-saving when =$40 and =$250 from the third-party payer and societal perspectives, respectively. Additionally, 13-42 fewer infants progressed to chronic disease, saving $0.41-$1.21 million to society. CONCLUSION: We delineated the thresholds at which therapeutic vaccination of Chagas-positive pregnant women would be cost-effective and cost-saving, providing economic guidance for decision-makers to consider when developing and bringing such a vaccine to market.",2020-99-39211,32171575,Vaccine,Sarah M Bartsch,2020,38 / 16,3261-3270,Yes,32171575,"Sarah M Bartsch; Owen J Stokes-Cawley; Pierre Buekens; Lindsey Asti; Maria Elena Bottazzi; Ulrich Strych; Patrick T Wedlock; Elizabeth A Mitgang; Sheba Meymandi; Jorge Abelardo Falcon-Lezama; Peter J Hotez; Bruce Y Lee; The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission, Vaccine, 2020 Apr 3; 38(16):1873-2518; 3261-3270",DALY,Mexico,Not Stated,Immunization,25% efficacy at $100 vaccination for chagas disease vs. None,pregnant,Not Stated,19 Years,Female,Full,,3.00,3.00,8658.01,United States,2019,8764.82
32005,The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission,"BACKGROUND: Currently, there are no solutions to prevent congenital transmission of Chagas disease during pregnancy, which affects 1-40% of pregnant women in Latin America and is associated with a 5% transmission risk. With therapeutic vaccines under development, now is the right time to determine the economic value of such a vaccine to prevent congenital transmission. METHODS: We developed a computational decision model that represented the clinical outcomes and diagnostic testing strategies for an infant born to a Chagas-positive woman in Mexico and evaluated the impact of vaccination. RESULTS: Compared to no vaccination, a 25% efficacious vaccine averted 125 [95% uncertainty interval (UI): 122-128] congenital cases, 1.9 (95% UI: 1.6-2.2) infant deaths, and 78 (95% UI: 66-91) DALYs per 10,000 infected pregnant women; a 50% efficacious vaccine averted 251 (95% UI: 248-254) cases, 3.8 (95% UI: 3.6-4.2) deaths, and 160 (95% UI: 148-171) DALYs; and a 75% efficacious vaccine averted 376 (95% UI: 374-378) cases, 5.8 (95% UI: 5.5-6.1) deaths, and 238 (95% UI: 227-249) DALYs. A 25% efficacious vaccine was cost-effective (incremental cost-effectiveness ratio <3× Mexico''s gross domestic product per capita, <$29,698/DALY averted) when the vaccine cost =$240 and =$310 and cost-saving when =$10 and =$80 from the third-party payer and societal perspectives, respectively. A 50% efficacious vaccine was cost-effective when costing =$490 and =$615 and cost-saving when =$25 and =$160, from the third-party payer and societal perspectives, respectively. A 75% efficacious vaccine was cost-effective when =$720 and =$930 and cost-saving when =$40 and =$250 from the third-party payer and societal perspectives, respectively. Additionally, 13-42 fewer infants progressed to chronic disease, saving $0.41-$1.21 million to society. CONCLUSION: We delineated the thresholds at which therapeutic vaccination of Chagas-positive pregnant women would be cost-effective and cost-saving, providing economic guidance for decision-makers to consider when developing and bringing such a vaccine to market.",2020-99-39211,32171575,Vaccine,Sarah M Bartsch,2020,38 / 16,3261-3270,Yes,32171575,"Sarah M Bartsch; Owen J Stokes-Cawley; Pierre Buekens; Lindsey Asti; Maria Elena Bottazzi; Ulrich Strych; Patrick T Wedlock; Elizabeth A Mitgang; Sheba Meymandi; Jorge Abelardo Falcon-Lezama; Peter J Hotez; Bruce Y Lee; The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission, Vaccine, 2020 Apr 3; 38(16):1873-2518; 3261-3270",DALY,Mexico,Not Stated,Immunization,50% efficacy at $100 vaccination for chagas disease vs. None,pregnant,Not Stated,19 Years,Female,Full,,3.00,3.00,4622,United States,2019,4679.02
32006,The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission,"BACKGROUND: Currently, there are no solutions to prevent congenital transmission of Chagas disease during pregnancy, which affects 1-40% of pregnant women in Latin America and is associated with a 5% transmission risk. With therapeutic vaccines under development, now is the right time to determine the economic value of such a vaccine to prevent congenital transmission. METHODS: We developed a computational decision model that represented the clinical outcomes and diagnostic testing strategies for an infant born to a Chagas-positive woman in Mexico and evaluated the impact of vaccination. RESULTS: Compared to no vaccination, a 25% efficacious vaccine averted 125 [95% uncertainty interval (UI): 122-128] congenital cases, 1.9 (95% UI: 1.6-2.2) infant deaths, and 78 (95% UI: 66-91) DALYs per 10,000 infected pregnant women; a 50% efficacious vaccine averted 251 (95% UI: 248-254) cases, 3.8 (95% UI: 3.6-4.2) deaths, and 160 (95% UI: 148-171) DALYs; and a 75% efficacious vaccine averted 376 (95% UI: 374-378) cases, 5.8 (95% UI: 5.5-6.1) deaths, and 238 (95% UI: 227-249) DALYs. A 25% efficacious vaccine was cost-effective (incremental cost-effectiveness ratio <3× Mexico''s gross domestic product per capita, <$29,698/DALY averted) when the vaccine cost =$240 and =$310 and cost-saving when =$10 and =$80 from the third-party payer and societal perspectives, respectively. A 50% efficacious vaccine was cost-effective when costing =$490 and =$615 and cost-saving when =$25 and =$160, from the third-party payer and societal perspectives, respectively. A 75% efficacious vaccine was cost-effective when =$720 and =$930 and cost-saving when =$40 and =$250 from the third-party payer and societal perspectives, respectively. Additionally, 13-42 fewer infants progressed to chronic disease, saving $0.41-$1.21 million to society. CONCLUSION: We delineated the thresholds at which therapeutic vaccination of Chagas-positive pregnant women would be cost-effective and cost-saving, providing economic guidance for decision-makers to consider when developing and bringing such a vaccine to market.",2020-99-39211,32171575,Vaccine,Sarah M Bartsch,2020,38 / 16,3261-3270,Yes,32171575,"Sarah M Bartsch; Owen J Stokes-Cawley; Pierre Buekens; Lindsey Asti; Maria Elena Bottazzi; Ulrich Strych; Patrick T Wedlock; Elizabeth A Mitgang; Sheba Meymandi; Jorge Abelardo Falcon-Lezama; Peter J Hotez; Bruce Y Lee; The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission, Vaccine, 2020 Apr 3; 38(16):1873-2518; 3261-3270",DALY,Mexico,Not Stated,Immunization,75% efficacy at $100 vaccination for chagas disease vs. None,pregnant,Not Stated,19 Years,Female,Full,,3.00,3.00,2121.34,United States,2019,2147.51
32007,The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission,"BACKGROUND: Currently, there are no solutions to prevent congenital transmission of Chagas disease during pregnancy, which affects 1-40% of pregnant women in Latin America and is associated with a 5% transmission risk. With therapeutic vaccines under development, now is the right time to determine the economic value of such a vaccine to prevent congenital transmission. METHODS: We developed a computational decision model that represented the clinical outcomes and diagnostic testing strategies for an infant born to a Chagas-positive woman in Mexico and evaluated the impact of vaccination. RESULTS: Compared to no vaccination, a 25% efficacious vaccine averted 125 [95% uncertainty interval (UI): 122-128] congenital cases, 1.9 (95% UI: 1.6-2.2) infant deaths, and 78 (95% UI: 66-91) DALYs per 10,000 infected pregnant women; a 50% efficacious vaccine averted 251 (95% UI: 248-254) cases, 3.8 (95% UI: 3.6-4.2) deaths, and 160 (95% UI: 148-171) DALYs; and a 75% efficacious vaccine averted 376 (95% UI: 374-378) cases, 5.8 (95% UI: 5.5-6.1) deaths, and 238 (95% UI: 227-249) DALYs. A 25% efficacious vaccine was cost-effective (incremental cost-effectiveness ratio <3× Mexico''s gross domestic product per capita, <$29,698/DALY averted) when the vaccine cost =$240 and =$310 and cost-saving when =$10 and =$80 from the third-party payer and societal perspectives, respectively. A 50% efficacious vaccine was cost-effective when costing =$490 and =$615 and cost-saving when =$25 and =$160, from the third-party payer and societal perspectives, respectively. A 75% efficacious vaccine was cost-effective when =$720 and =$930 and cost-saving when =$40 and =$250 from the third-party payer and societal perspectives, respectively. Additionally, 13-42 fewer infants progressed to chronic disease, saving $0.41-$1.21 million to society. CONCLUSION: We delineated the thresholds at which therapeutic vaccination of Chagas-positive pregnant women would be cost-effective and cost-saving, providing economic guidance for decision-makers to consider when developing and bringing such a vaccine to market.",2020-99-39211,32171575,Vaccine,Sarah M Bartsch,2020,38 / 16,3261-3270,Yes,32171575,"Sarah M Bartsch; Owen J Stokes-Cawley; Pierre Buekens; Lindsey Asti; Maria Elena Bottazzi; Ulrich Strych; Patrick T Wedlock; Elizabeth A Mitgang; Sheba Meymandi; Jorge Abelardo Falcon-Lezama; Peter J Hotez; Bruce Y Lee; The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission, Vaccine, 2020 Apr 3; 38(16):1873-2518; 3261-3270",DALY,Mexico,Not Stated,Immunization,25% efficacy at $100 vaccination for chagas disease vs. None,pregnant,Not Stated,19 Years,Female,Full,,3.00,3.00,2071,United States,2019,2096.55
32008,The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission,"BACKGROUND: Currently, there are no solutions to prevent congenital transmission of Chagas disease during pregnancy, which affects 1-40% of pregnant women in Latin America and is associated with a 5% transmission risk. With therapeutic vaccines under development, now is the right time to determine the economic value of such a vaccine to prevent congenital transmission. METHODS: We developed a computational decision model that represented the clinical outcomes and diagnostic testing strategies for an infant born to a Chagas-positive woman in Mexico and evaluated the impact of vaccination. RESULTS: Compared to no vaccination, a 25% efficacious vaccine averted 125 [95% uncertainty interval (UI): 122-128] congenital cases, 1.9 (95% UI: 1.6-2.2) infant deaths, and 78 (95% UI: 66-91) DALYs per 10,000 infected pregnant women; a 50% efficacious vaccine averted 251 (95% UI: 248-254) cases, 3.8 (95% UI: 3.6-4.2) deaths, and 160 (95% UI: 148-171) DALYs; and a 75% efficacious vaccine averted 376 (95% UI: 374-378) cases, 5.8 (95% UI: 5.5-6.1) deaths, and 238 (95% UI: 227-249) DALYs. A 25% efficacious vaccine was cost-effective (incremental cost-effectiveness ratio <3× Mexico''s gross domestic product per capita, <$29,698/DALY averted) when the vaccine cost =$240 and =$310 and cost-saving when =$10 and =$80 from the third-party payer and societal perspectives, respectively. A 50% efficacious vaccine was cost-effective when costing =$490 and =$615 and cost-saving when =$25 and =$160, from the third-party payer and societal perspectives, respectively. A 75% efficacious vaccine was cost-effective when =$720 and =$930 and cost-saving when =$40 and =$250 from the third-party payer and societal perspectives, respectively. Additionally, 13-42 fewer infants progressed to chronic disease, saving $0.41-$1.21 million to society. CONCLUSION: We delineated the thresholds at which therapeutic vaccination of Chagas-positive pregnant women would be cost-effective and cost-saving, providing economic guidance for decision-makers to consider when developing and bringing such a vaccine to market.",2020-99-39211,32171575,Vaccine,Sarah M Bartsch,2020,38 / 16,3261-3270,Yes,32171575,"Sarah M Bartsch; Owen J Stokes-Cawley; Pierre Buekens; Lindsey Asti; Maria Elena Bottazzi; Ulrich Strych; Patrick T Wedlock; Elizabeth A Mitgang; Sheba Meymandi; Jorge Abelardo Falcon-Lezama; Peter J Hotez; Bruce Y Lee; The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission, Vaccine, 2020 Apr 3; 38(16):1873-2518; 3261-3270",DALY,Mexico,Not Stated,Immunization,50% efficacy at $100 vaccination for chagas disease vs. None,pregnant,Not Stated,19 Years,Female,Full,,3.00,3.00,-4375,United States,2019,-4428.97
32009,The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission,"BACKGROUND: Currently, there are no solutions to prevent congenital transmission of Chagas disease during pregnancy, which affects 1-40% of pregnant women in Latin America and is associated with a 5% transmission risk. With therapeutic vaccines under development, now is the right time to determine the economic value of such a vaccine to prevent congenital transmission. METHODS: We developed a computational decision model that represented the clinical outcomes and diagnostic testing strategies for an infant born to a Chagas-positive woman in Mexico and evaluated the impact of vaccination. RESULTS: Compared to no vaccination, a 25% efficacious vaccine averted 125 [95% uncertainty interval (UI): 122-128] congenital cases, 1.9 (95% UI: 1.6-2.2) infant deaths, and 78 (95% UI: 66-91) DALYs per 10,000 infected pregnant women; a 50% efficacious vaccine averted 251 (95% UI: 248-254) cases, 3.8 (95% UI: 3.6-4.2) deaths, and 160 (95% UI: 148-171) DALYs; and a 75% efficacious vaccine averted 376 (95% UI: 374-378) cases, 5.8 (95% UI: 5.5-6.1) deaths, and 238 (95% UI: 227-249) DALYs. A 25% efficacious vaccine was cost-effective (incremental cost-effectiveness ratio <3× Mexico''s gross domestic product per capita, <$29,698/DALY averted) when the vaccine cost =$240 and =$310 and cost-saving when =$10 and =$80 from the third-party payer and societal perspectives, respectively. A 50% efficacious vaccine was cost-effective when costing =$490 and =$615 and cost-saving when =$25 and =$160, from the third-party payer and societal perspectives, respectively. A 75% efficacious vaccine was cost-effective when =$720 and =$930 and cost-saving when =$40 and =$250 from the third-party payer and societal perspectives, respectively. Additionally, 13-42 fewer infants progressed to chronic disease, saving $0.41-$1.21 million to society. CONCLUSION: We delineated the thresholds at which therapeutic vaccination of Chagas-positive pregnant women would be cost-effective and cost-saving, providing economic guidance for decision-makers to consider when developing and bringing such a vaccine to market.",2020-99-39211,32171575,Vaccine,Sarah M Bartsch,2020,38 / 16,3261-3270,Yes,32171575,"Sarah M Bartsch; Owen J Stokes-Cawley; Pierre Buekens; Lindsey Asti; Maria Elena Bottazzi; Ulrich Strych; Patrick T Wedlock; Elizabeth A Mitgang; Sheba Meymandi; Jorge Abelardo Falcon-Lezama; Peter J Hotez; Bruce Y Lee; The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission, Vaccine, 2020 Apr 3; 38(16):1873-2518; 3261-3270",DALY,Mexico,Not Stated,Immunization,75% efficacy at $100 vaccination for chagas disease vs. None,pregnant,Not Stated,19 Years,Female,Full,,3.00,3.00,-6364.02,United States,2019,-6442.53
32010,The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission,"BACKGROUND: Currently, there are no solutions to prevent congenital transmission of Chagas disease during pregnancy, which affects 1-40% of pregnant women in Latin America and is associated with a 5% transmission risk. With therapeutic vaccines under development, now is the right time to determine the economic value of such a vaccine to prevent congenital transmission. METHODS: We developed a computational decision model that represented the clinical outcomes and diagnostic testing strategies for an infant born to a Chagas-positive woman in Mexico and evaluated the impact of vaccination. RESULTS: Compared to no vaccination, a 25% efficacious vaccine averted 125 [95% uncertainty interval (UI): 122-128] congenital cases, 1.9 (95% UI: 1.6-2.2) infant deaths, and 78 (95% UI: 66-91) DALYs per 10,000 infected pregnant women; a 50% efficacious vaccine averted 251 (95% UI: 248-254) cases, 3.8 (95% UI: 3.6-4.2) deaths, and 160 (95% UI: 148-171) DALYs; and a 75% efficacious vaccine averted 376 (95% UI: 374-378) cases, 5.8 (95% UI: 5.5-6.1) deaths, and 238 (95% UI: 227-249) DALYs. A 25% efficacious vaccine was cost-effective (incremental cost-effectiveness ratio <3× Mexico''s gross domestic product per capita, <$29,698/DALY averted) when the vaccine cost =$240 and =$310 and cost-saving when =$10 and =$80 from the third-party payer and societal perspectives, respectively. A 50% efficacious vaccine was cost-effective when costing =$490 and =$615 and cost-saving when =$25 and =$160, from the third-party payer and societal perspectives, respectively. A 75% efficacious vaccine was cost-effective when =$720 and =$930 and cost-saving when =$40 and =$250 from the third-party payer and societal perspectives, respectively. Additionally, 13-42 fewer infants progressed to chronic disease, saving $0.41-$1.21 million to society. CONCLUSION: We delineated the thresholds at which therapeutic vaccination of Chagas-positive pregnant women would be cost-effective and cost-saving, providing economic guidance for decision-makers to consider when developing and bringing such a vaccine to market.",2020-99-39211,32171575,Vaccine,Sarah M Bartsch,2020,38 / 16,3261-3270,Yes,32171575,"Sarah M Bartsch; Owen J Stokes-Cawley; Pierre Buekens; Lindsey Asti; Maria Elena Bottazzi; Ulrich Strych; Patrick T Wedlock; Elizabeth A Mitgang; Sheba Meymandi; Jorge Abelardo Falcon-Lezama; Peter J Hotez; Bruce Y Lee; The potential economic value of a therapeutic Chagas disease vaccine for pregnant women to prevent congenital transmission, Vaccine, 2020 Apr 3; 38(16):1873-2518; 3261-3270",DALY,Mexico,Not Stated,Immunization,25% efficacy at $200 vaccination for chagas disease vs. None,pregnant,Not Stated,19 Years,Female,Full,,3.00,3.00,21765.42,United States,2019,22033.93
