index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
33839,Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model.,"OBJECTIVES: Interventions to prevent childhood respiratory syncytial virus (RSV) disease are limited and costly. New interventions are in advanced stages of development and could be available soon. This study aims to evaluate the potential impact and cost-effectiveness of two interventions to prevent childhood RSV-a maternal vaccine and a monoclonal antibody (mAb). DESIGN: Using a static population-based cohort model, we evaluate impact and cost-effectiveness of RSV interventions, from a health systems perspective. The assumed baseline efficacy and duration of protection were higher for the mAb (60%-70% efficacy, protection 6 months) compared with the maternal vaccine (40%-60% efficacy, protection 3 months). Both interventions were evaluated at US$3 and US$5 per dose for Gavi and non-Gavi countries, respectively. A range of input values were considered to explore uncertainty. SETTINGS: 131 low-income and middle-income countries. PARTICIPANTS: Pregnant women and live birth cohorts. INTERVENTIONS: Maternal vaccine given to pregnant women and mAb given to young infants. PRIMARY AND SECONDARY OUTCOME MEASURES: Disability-adjusted life years averted, severe case averted, deaths averted, incremental cost effectiveness ratios. RESULTS: Under baseline assumptions, maternal vaccine and mAbs were projected to avert 25% and 55% of RSV-related deaths among infants younger than 6 months of age, respectively. The average incremental cost-effectiveness ratio per disability-adjusted life year averted was US$1342 (range US$800-US$1866) for maternal RSV vaccine and US$431 (range US$167-US$692) for mAbs. At a 50% gross domestic product per capita threshold, maternal vaccine and mAbs were cost-effective in 60 and 118 countries, respectively. CONCLUSIONS: Both interventions are projected to be impactful and cost-effective in many countries, a finding that would be enhanced if country-specific Gavi cofinancing to eligible countries were included. mAbs, with assumed higher efficacy and duration of protection, are expected to be more cost-effective than RSV maternal vaccines at similar prices. Final product characteristics will influence this finding.",2021-01-42103,33895717,BMJ Open,Ranju Baral,2021,11 / 4,e046563,No,33895717,"Ranju Baral; Deborah Higgins; Katie Regan; Clint Pecenka; Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model., BMJ Open, 2021 Apr 24; 11(4):; e046563",DALY,Kenya,Persons encountering health services in circumstances related to reproduction,Immunization,single-dose respiratory syncytial virus immunization vs. no intervention,between 24 and 36 months gestation,Not Stated,12 Years,Female,Full,Not Stated / None,3.00,3.00,1073,United States,2016,1211.43
33840,Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model.,"OBJECTIVES: Interventions to prevent childhood respiratory syncytial virus (RSV) disease are limited and costly. New interventions are in advanced stages of development and could be available soon. This study aims to evaluate the potential impact and cost-effectiveness of two interventions to prevent childhood RSV-a maternal vaccine and a monoclonal antibody (mAb). DESIGN: Using a static population-based cohort model, we evaluate impact and cost-effectiveness of RSV interventions, from a health systems perspective. The assumed baseline efficacy and duration of protection were higher for the mAb (60%-70% efficacy, protection 6 months) compared with the maternal vaccine (40%-60% efficacy, protection 3 months). Both interventions were evaluated at US$3 and US$5 per dose for Gavi and non-Gavi countries, respectively. A range of input values were considered to explore uncertainty. SETTINGS: 131 low-income and middle-income countries. PARTICIPANTS: Pregnant women and live birth cohorts. INTERVENTIONS: Maternal vaccine given to pregnant women and mAb given to young infants. PRIMARY AND SECONDARY OUTCOME MEASURES: Disability-adjusted life years averted, severe case averted, deaths averted, incremental cost effectiveness ratios. RESULTS: Under baseline assumptions, maternal vaccine and mAbs were projected to avert 25% and 55% of RSV-related deaths among infants younger than 6 months of age, respectively. The average incremental cost-effectiveness ratio per disability-adjusted life year averted was US$1342 (range US$800-US$1866) for maternal RSV vaccine and US$431 (range US$167-US$692) for mAbs. At a 50% gross domestic product per capita threshold, maternal vaccine and mAbs were cost-effective in 60 and 118 countries, respectively. CONCLUSIONS: Both interventions are projected to be impactful and cost-effective in many countries, a finding that would be enhanced if country-specific Gavi cofinancing to eligible countries were included. mAbs, with assumed higher efficacy and duration of protection, are expected to be more cost-effective than RSV maternal vaccines at similar prices. Final product characteristics will influence this finding.",2021-01-42103,33895717,BMJ Open,Ranju Baral,2021,11 / 4,e046563,No,33895717,"Ranju Baral; Deborah Higgins; Katie Regan; Clint Pecenka; Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model., BMJ Open, 2021 Apr 24; 11(4):; e046563",DALY,Afghanistan,Persons encountering health services in circumstances related to reproduction,Immunization,single-dose respiratory syncytial virus immunization vs. no intervention,between 24 and 36 months gestation,Not Stated,12 Years,Female,Full,Not Stated / None,3.00,3.00,1681,United States,2016,1897.86
33841,Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model.,"OBJECTIVES: Interventions to prevent childhood respiratory syncytial virus (RSV) disease are limited and costly. New interventions are in advanced stages of development and could be available soon. This study aims to evaluate the potential impact and cost-effectiveness of two interventions to prevent childhood RSV-a maternal vaccine and a monoclonal antibody (mAb). DESIGN: Using a static population-based cohort model, we evaluate impact and cost-effectiveness of RSV interventions, from a health systems perspective. The assumed baseline efficacy and duration of protection were higher for the mAb (60%-70% efficacy, protection 6 months) compared with the maternal vaccine (40%-60% efficacy, protection 3 months). Both interventions were evaluated at US$3 and US$5 per dose for Gavi and non-Gavi countries, respectively. A range of input values were considered to explore uncertainty. SETTINGS: 131 low-income and middle-income countries. PARTICIPANTS: Pregnant women and live birth cohorts. INTERVENTIONS: Maternal vaccine given to pregnant women and mAb given to young infants. PRIMARY AND SECONDARY OUTCOME MEASURES: Disability-adjusted life years averted, severe case averted, deaths averted, incremental cost effectiveness ratios. RESULTS: Under baseline assumptions, maternal vaccine and mAbs were projected to avert 25% and 55% of RSV-related deaths among infants younger than 6 months of age, respectively. The average incremental cost-effectiveness ratio per disability-adjusted life year averted was US$1342 (range US$800-US$1866) for maternal RSV vaccine and US$431 (range US$167-US$692) for mAbs. At a 50% gross domestic product per capita threshold, maternal vaccine and mAbs were cost-effective in 60 and 118 countries, respectively. CONCLUSIONS: Both interventions are projected to be impactful and cost-effective in many countries, a finding that would be enhanced if country-specific Gavi cofinancing to eligible countries were included. mAbs, with assumed higher efficacy and duration of protection, are expected to be more cost-effective than RSV maternal vaccines at similar prices. Final product characteristics will influence this finding.",2021-01-42103,33895717,BMJ Open,Ranju Baral,2021,11 / 4,e046563,No,33895717,"Ranju Baral; Deborah Higgins; Katie Regan; Clint Pecenka; Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model., BMJ Open, 2021 Apr 24; 11(4):; e046563",DALY,Haiti,Persons encountering health services in circumstances related to reproduction,Immunization,single-dose respiratory syncytial virus immunization vs. no intervention,between 24 and 36 months gestation,Not Stated,12 Years,Female,Full,Not Stated / None,3.00,3.00,949,United States,2016,1071.43
33842,Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model.,"OBJECTIVES: Interventions to prevent childhood respiratory syncytial virus (RSV) disease are limited and costly. New interventions are in advanced stages of development and could be available soon. This study aims to evaluate the potential impact and cost-effectiveness of two interventions to prevent childhood RSV-a maternal vaccine and a monoclonal antibody (mAb). DESIGN: Using a static population-based cohort model, we evaluate impact and cost-effectiveness of RSV interventions, from a health systems perspective. The assumed baseline efficacy and duration of protection were higher for the mAb (60%-70% efficacy, protection 6 months) compared with the maternal vaccine (40%-60% efficacy, protection 3 months). Both interventions were evaluated at US$3 and US$5 per dose for Gavi and non-Gavi countries, respectively. A range of input values were considered to explore uncertainty. SETTINGS: 131 low-income and middle-income countries. PARTICIPANTS: Pregnant women and live birth cohorts. INTERVENTIONS: Maternal vaccine given to pregnant women and mAb given to young infants. PRIMARY AND SECONDARY OUTCOME MEASURES: Disability-adjusted life years averted, severe case averted, deaths averted, incremental cost effectiveness ratios. RESULTS: Under baseline assumptions, maternal vaccine and mAbs were projected to avert 25% and 55% of RSV-related deaths among infants younger than 6 months of age, respectively. The average incremental cost-effectiveness ratio per disability-adjusted life year averted was US$1342 (range US$800-US$1866) for maternal RSV vaccine and US$431 (range US$167-US$692) for mAbs. At a 50% gross domestic product per capita threshold, maternal vaccine and mAbs were cost-effective in 60 and 118 countries, respectively. CONCLUSIONS: Both interventions are projected to be impactful and cost-effective in many countries, a finding that would be enhanced if country-specific Gavi cofinancing to eligible countries were included. mAbs, with assumed higher efficacy and duration of protection, are expected to be more cost-effective than RSV maternal vaccines at similar prices. Final product characteristics will influence this finding.",2021-01-42103,33895717,BMJ Open,Ranju Baral,2021,11 / 4,e046563,No,33895717,"Ranju Baral; Deborah Higgins; Katie Regan; Clint Pecenka; Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model., BMJ Open, 2021 Apr 24; 11(4):; e046563",DALY,Iran,Persons encountering health services in circumstances related to reproduction,Immunization,single-dose respiratory syncytial virus immunization vs. no intervention,between 24 and 36 months gestation,Not Stated,12 Years,Female,Full,Not Stated / None,3.00,3.00,1311,United States,2016,1480.13
33843,Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model.,"OBJECTIVES: Interventions to prevent childhood respiratory syncytial virus (RSV) disease are limited and costly. New interventions are in advanced stages of development and could be available soon. This study aims to evaluate the potential impact and cost-effectiveness of two interventions to prevent childhood RSV-a maternal vaccine and a monoclonal antibody (mAb). DESIGN: Using a static population-based cohort model, we evaluate impact and cost-effectiveness of RSV interventions, from a health systems perspective. The assumed baseline efficacy and duration of protection were higher for the mAb (60%-70% efficacy, protection 6 months) compared with the maternal vaccine (40%-60% efficacy, protection 3 months). Both interventions were evaluated at US$3 and US$5 per dose for Gavi and non-Gavi countries, respectively. A range of input values were considered to explore uncertainty. SETTINGS: 131 low-income and middle-income countries. PARTICIPANTS: Pregnant women and live birth cohorts. INTERVENTIONS: Maternal vaccine given to pregnant women and mAb given to young infants. PRIMARY AND SECONDARY OUTCOME MEASURES: Disability-adjusted life years averted, severe case averted, deaths averted, incremental cost effectiveness ratios. RESULTS: Under baseline assumptions, maternal vaccine and mAbs were projected to avert 25% and 55% of RSV-related deaths among infants younger than 6 months of age, respectively. The average incremental cost-effectiveness ratio per disability-adjusted life year averted was US$1342 (range US$800-US$1866) for maternal RSV vaccine and US$431 (range US$167-US$692) for mAbs. At a 50% gross domestic product per capita threshold, maternal vaccine and mAbs were cost-effective in 60 and 118 countries, respectively. CONCLUSIONS: Both interventions are projected to be impactful and cost-effective in many countries, a finding that would be enhanced if country-specific Gavi cofinancing to eligible countries were included. mAbs, with assumed higher efficacy and duration of protection, are expected to be more cost-effective than RSV maternal vaccines at similar prices. Final product characteristics will influence this finding.",2021-01-42103,33895717,BMJ Open,Ranju Baral,2021,11 / 4,e046563,No,33895717,"Ranju Baral; Deborah Higgins; Katie Regan; Clint Pecenka; Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model., BMJ Open, 2021 Apr 24; 11(4):; e046563",DALY,Algeria,Persons encountering health services in circumstances related to reproduction,Immunization,single-dose respiratory syncytial virus immunization vs. no intervention,between 24 and 36 months gestation,Not Stated,12 Years,Female,Full,Not Stated / None,3.00,3.00,1631,United States,2016,1841.41
33844,Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model.,"OBJECTIVES: Interventions to prevent childhood respiratory syncytial virus (RSV) disease are limited and costly. New interventions are in advanced stages of development and could be available soon. This study aims to evaluate the potential impact and cost-effectiveness of two interventions to prevent childhood RSV-a maternal vaccine and a monoclonal antibody (mAb). DESIGN: Using a static population-based cohort model, we evaluate impact and cost-effectiveness of RSV interventions, from a health systems perspective. The assumed baseline efficacy and duration of protection were higher for the mAb (60%-70% efficacy, protection 6 months) compared with the maternal vaccine (40%-60% efficacy, protection 3 months). Both interventions were evaluated at US$3 and US$5 per dose for Gavi and non-Gavi countries, respectively. A range of input values were considered to explore uncertainty. SETTINGS: 131 low-income and middle-income countries. PARTICIPANTS: Pregnant women and live birth cohorts. INTERVENTIONS: Maternal vaccine given to pregnant women and mAb given to young infants. PRIMARY AND SECONDARY OUTCOME MEASURES: Disability-adjusted life years averted, severe case averted, deaths averted, incremental cost effectiveness ratios. RESULTS: Under baseline assumptions, maternal vaccine and mAbs were projected to avert 25% and 55% of RSV-related deaths among infants younger than 6 months of age, respectively. The average incremental cost-effectiveness ratio per disability-adjusted life year averted was US$1342 (range US$800-US$1866) for maternal RSV vaccine and US$431 (range US$167-US$692) for mAbs. At a 50% gross domestic product per capita threshold, maternal vaccine and mAbs were cost-effective in 60 and 118 countries, respectively. CONCLUSIONS: Both interventions are projected to be impactful and cost-effective in many countries, a finding that would be enhanced if country-specific Gavi cofinancing to eligible countries were included. mAbs, with assumed higher efficacy and duration of protection, are expected to be more cost-effective than RSV maternal vaccines at similar prices. Final product characteristics will influence this finding.",2021-01-42103,33895717,BMJ Open,Ranju Baral,2021,11 / 4,e046563,No,33895717,"Ranju Baral; Deborah Higgins; Katie Regan; Clint Pecenka; Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model., BMJ Open, 2021 Apr 24; 11(4):; e046563",DALY,China,Persons encountering health services in circumstances related to reproduction,Immunization,single-dose respiratory syncytial virus immunization vs. no intervention,between 24 and 36 months gestation,Not Stated,12 Years,Female,Full,Not Stated / None,3.00,3.00,1411,United States,2016,1593.03
33845,Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model.,"OBJECTIVES: Interventions to prevent childhood respiratory syncytial virus (RSV) disease are limited and costly. New interventions are in advanced stages of development and could be available soon. This study aims to evaluate the potential impact and cost-effectiveness of two interventions to prevent childhood RSV-a maternal vaccine and a monoclonal antibody (mAb). DESIGN: Using a static population-based cohort model, we evaluate impact and cost-effectiveness of RSV interventions, from a health systems perspective. The assumed baseline efficacy and duration of protection were higher for the mAb (60%-70% efficacy, protection 6 months) compared with the maternal vaccine (40%-60% efficacy, protection 3 months). Both interventions were evaluated at US$3 and US$5 per dose for Gavi and non-Gavi countries, respectively. A range of input values were considered to explore uncertainty. SETTINGS: 131 low-income and middle-income countries. PARTICIPANTS: Pregnant women and live birth cohorts. INTERVENTIONS: Maternal vaccine given to pregnant women and mAb given to young infants. PRIMARY AND SECONDARY OUTCOME MEASURES: Disability-adjusted life years averted, severe case averted, deaths averted, incremental cost effectiveness ratios. RESULTS: Under baseline assumptions, maternal vaccine and mAbs were projected to avert 25% and 55% of RSV-related deaths among infants younger than 6 months of age, respectively. The average incremental cost-effectiveness ratio per disability-adjusted life year averted was US$1342 (range US$800-US$1866) for maternal RSV vaccine and US$431 (range US$167-US$692) for mAbs. At a 50% gross domestic product per capita threshold, maternal vaccine and mAbs were cost-effective in 60 and 118 countries, respectively. CONCLUSIONS: Both interventions are projected to be impactful and cost-effective in many countries, a finding that would be enhanced if country-specific Gavi cofinancing to eligible countries were included. mAbs, with assumed higher efficacy and duration of protection, are expected to be more cost-effective than RSV maternal vaccines at similar prices. Final product characteristics will influence this finding.",2021-01-42103,33895717,BMJ Open,Ranju Baral,2021,11 / 4,e046563,No,33895717,"Ranju Baral; Deborah Higgins; Katie Regan; Clint Pecenka; Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model., BMJ Open, 2021 Apr 24; 11(4):; e046563",DALY,Spain,Persons encountering health services in circumstances related to reproduction,Immunization,single-dose respiratory syncytial virus immunization vs. no intervention,between 24 and 36 months gestation,Not Stated,12 Years,Female,Full,Not Stated / None,3.00,3.00,1425,United States,2016,1608.84
33846,Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model.,"OBJECTIVES: Interventions to prevent childhood respiratory syncytial virus (RSV) disease are limited and costly. New interventions are in advanced stages of development and could be available soon. This study aims to evaluate the potential impact and cost-effectiveness of two interventions to prevent childhood RSV-a maternal vaccine and a monoclonal antibody (mAb). DESIGN: Using a static population-based cohort model, we evaluate impact and cost-effectiveness of RSV interventions, from a health systems perspective. The assumed baseline efficacy and duration of protection were higher for the mAb (60%-70% efficacy, protection 6 months) compared with the maternal vaccine (40%-60% efficacy, protection 3 months). Both interventions were evaluated at US$3 and US$5 per dose for Gavi and non-Gavi countries, respectively. A range of input values were considered to explore uncertainty. SETTINGS: 131 low-income and middle-income countries. PARTICIPANTS: Pregnant women and live birth cohorts. INTERVENTIONS: Maternal vaccine given to pregnant women and mAb given to young infants. PRIMARY AND SECONDARY OUTCOME MEASURES: Disability-adjusted life years averted, severe case averted, deaths averted, incremental cost effectiveness ratios. RESULTS: Under baseline assumptions, maternal vaccine and mAbs were projected to avert 25% and 55% of RSV-related deaths among infants younger than 6 months of age, respectively. The average incremental cost-effectiveness ratio per disability-adjusted life year averted was US$1342 (range US$800-US$1866) for maternal RSV vaccine and US$431 (range US$167-US$692) for mAbs. At a 50% gross domestic product per capita threshold, maternal vaccine and mAbs were cost-effective in 60 and 118 countries, respectively. CONCLUSIONS: Both interventions are projected to be impactful and cost-effective in many countries, a finding that would be enhanced if country-specific Gavi cofinancing to eligible countries were included. mAbs, with assumed higher efficacy and duration of protection, are expected to be more cost-effective than RSV maternal vaccines at similar prices. Final product characteristics will influence this finding.",2021-01-42103,33895717,BMJ Open,Ranju Baral,2021,11 / 4,e046563,No,33895717,"Ranju Baral; Deborah Higgins; Katie Regan; Clint Pecenka; Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model., BMJ Open, 2021 Apr 24; 11(4):; e046563",DALY,Peru,Persons encountering health services in circumstances related to reproduction,Immunization,single-dose respiratory syncytial virus immunization vs. no intervention,between 24 and 36 months gestation,Not Stated,12 Years,Female,Full,Not Stated / None,3.00,3.00,1507,United States,2016,1701.42
33847,Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model.,"OBJECTIVES: Interventions to prevent childhood respiratory syncytial virus (RSV) disease are limited and costly. New interventions are in advanced stages of development and could be available soon. This study aims to evaluate the potential impact and cost-effectiveness of two interventions to prevent childhood RSV-a maternal vaccine and a monoclonal antibody (mAb). DESIGN: Using a static population-based cohort model, we evaluate impact and cost-effectiveness of RSV interventions, from a health systems perspective. The assumed baseline efficacy and duration of protection were higher for the mAb (60%-70% efficacy, protection 6 months) compared with the maternal vaccine (40%-60% efficacy, protection 3 months). Both interventions were evaluated at US$3 and US$5 per dose for Gavi and non-Gavi countries, respectively. A range of input values were considered to explore uncertainty. SETTINGS: 131 low-income and middle-income countries. PARTICIPANTS: Pregnant women and live birth cohorts. INTERVENTIONS: Maternal vaccine given to pregnant women and mAb given to young infants. PRIMARY AND SECONDARY OUTCOME MEASURES: Disability-adjusted life years averted, severe case averted, deaths averted, incremental cost effectiveness ratios. RESULTS: Under baseline assumptions, maternal vaccine and mAbs were projected to avert 25% and 55% of RSV-related deaths among infants younger than 6 months of age, respectively. The average incremental cost-effectiveness ratio per disability-adjusted life year averted was US$1342 (range US$800-US$1866) for maternal RSV vaccine and US$431 (range US$167-US$692) for mAbs. At a 50% gross domestic product per capita threshold, maternal vaccine and mAbs were cost-effective in 60 and 118 countries, respectively. CONCLUSIONS: Both interventions are projected to be impactful and cost-effective in many countries, a finding that would be enhanced if country-specific Gavi cofinancing to eligible countries were included. mAbs, with assumed higher efficacy and duration of protection, are expected to be more cost-effective than RSV maternal vaccines at similar prices. Final product characteristics will influence this finding.",2021-01-42103,33895717,BMJ Open,Ranju Baral,2021,11 / 4,e046563,No,33895717,"Ranju Baral; Deborah Higgins; Katie Regan; Clint Pecenka; Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model., BMJ Open, 2021 Apr 24; 11(4):; e046563",DALY,Saudi Arabia,Persons encountering health services in circumstances related to reproduction,Immunization,single-dose respiratory syncytial virus immunization vs. no intervention,between 24 and 36 months gestation,Not Stated,12 Years,Female,Full,Not Stated / None,3.00,3.00,1566,United States,2016,1768.03
33848,Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model.,"OBJECTIVES: Interventions to prevent childhood respiratory syncytial virus (RSV) disease are limited and costly. New interventions are in advanced stages of development and could be available soon. This study aims to evaluate the potential impact and cost-effectiveness of two interventions to prevent childhood RSV-a maternal vaccine and a monoclonal antibody (mAb). DESIGN: Using a static population-based cohort model, we evaluate impact and cost-effectiveness of RSV interventions, from a health systems perspective. The assumed baseline efficacy and duration of protection were higher for the mAb (60%-70% efficacy, protection 6 months) compared with the maternal vaccine (40%-60% efficacy, protection 3 months). Both interventions were evaluated at US$3 and US$5 per dose for Gavi and non-Gavi countries, respectively. A range of input values were considered to explore uncertainty. SETTINGS: 131 low-income and middle-income countries. PARTICIPANTS: Pregnant women and live birth cohorts. INTERVENTIONS: Maternal vaccine given to pregnant women and mAb given to young infants. PRIMARY AND SECONDARY OUTCOME MEASURES: Disability-adjusted life years averted, severe case averted, deaths averted, incremental cost effectiveness ratios. RESULTS: Under baseline assumptions, maternal vaccine and mAbs were projected to avert 25% and 55% of RSV-related deaths among infants younger than 6 months of age, respectively. The average incremental cost-effectiveness ratio per disability-adjusted life year averted was US$1342 (range US$800-US$1866) for maternal RSV vaccine and US$431 (range US$167-US$692) for mAbs. At a 50% gross domestic product per capita threshold, maternal vaccine and mAbs were cost-effective in 60 and 118 countries, respectively. CONCLUSIONS: Both interventions are projected to be impactful and cost-effective in many countries, a finding that would be enhanced if country-specific Gavi cofinancing to eligible countries were included. mAbs, with assumed higher efficacy and duration of protection, are expected to be more cost-effective than RSV maternal vaccines at similar prices. Final product characteristics will influence this finding.",2021-01-42103,33895717,BMJ Open,Ranju Baral,2021,11 / 4,e046563,No,33895717,"Ranju Baral; Deborah Higgins; Katie Regan; Clint Pecenka; Impact and cost-effectiveness of potential interventions against infant respiratory syncytial virus (RSV) in 131 low-income and middle-income countries using a static cohort model., BMJ Open, 2021 Apr 24; 11(4):; e046563",DALY,India,Persons encountering health services in circumstances related to reproduction,Immunization,single-dose respiratory syncytial virus immunization vs. no intervention,between 24 and 36 months gestation,Not Stated,12 Years,Female,Full,Not Stated / None,3.00,3.00,1138,United States,2016,1284.81
