index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
6101,"Cost-effectiveness of latanoprost and timolol maleate for the treatment of glaucoma in Scandinavia and the United Kingdom, using a decision-analytic health economic model","PURPOSE: To assess the cost-effectiveness of latanoprost or timolol in glaucoma treatment in Norway, Sweden, Denmark (Scandinavia) and the United Kingdom (UK). METHODS: A Markov model was constructed to perform a cost-effectiveness analysis. Health states were 'stable' and 'progressed' glaucoma, and transition probabilities for both primary open-angle and exfoliation glaucoma were derived from the medical literature. Practice patterns were obtained from surveys completed by 54 ophthalmologists geographically dispersed throughout each country. Country specific unit costs were used for medications, patient visits, diagnostics, and therapeutic procedures. RESULTS: Over the life of the model latanoprost was less expensive than timolol by 5.3-7.6% (Scandinavia) and 2.1% (UK). Following adjustments, therapy in the original timolol-treated cohort was slightly more effective in each country with a difference in 0.003-0.015 years to progression of glaucoma existing between latanoprost. This may have resulted from the model design, which reflected that physicians ultimately control most patients' glaucoma over 5 years by adding or changing therapy. The associated incremental cost-effectiveness ratios for latanoprost vs timolol generated by the Scandinavian and the UK models, respectively, were: Norway 351,396 NOK; Sweden 988,985 SEK; Denmark 351,641; and the UK 4751 GBP. CONCLUSIONS: Over 5 years, in the UK timolol is the cost-effective option, whereas in Scandinavia latanoprost may be the cost-effective alternative to timolol.",2009-01-05375,17721497,Eye,W C Stewart,2009,23 / 1,132-40,No,17721497,"W C Stewart; J A Stewart; M A Mychaskiw; Cost-effectiveness of latanoprost and timolol maleate for the treatment of glaucoma in Scandinavia and the United Kingdom, using a decision-analytic health economic model, Eye, 2009-Jan; 23(1):0950-222X; 132-40",QALY,Not Stated,Not Stated,Not Stated,Timolol vs. Latanoprost,Not Stated,Not Stated,Not Stated,"Female, Male",Full,5 Years,Not Stated,Not Stated,55722,United States,2005,73842.63
6102,"Cost-effectiveness of latanoprost and timolol maleate for the treatment of glaucoma in Scandinavia and the United Kingdom, using a decision-analytic health economic model","PURPOSE: To assess the cost-effectiveness of latanoprost or timolol in glaucoma treatment in Norway, Sweden, Denmark (Scandinavia) and the United Kingdom (UK). METHODS: A Markov model was constructed to perform a cost-effectiveness analysis. Health states were 'stable' and 'progressed' glaucoma, and transition probabilities for both primary open-angle and exfoliation glaucoma were derived from the medical literature. Practice patterns were obtained from surveys completed by 54 ophthalmologists geographically dispersed throughout each country. Country specific unit costs were used for medications, patient visits, diagnostics, and therapeutic procedures. RESULTS: Over the life of the model latanoprost was less expensive than timolol by 5.3-7.6% (Scandinavia) and 2.1% (UK). Following adjustments, therapy in the original timolol-treated cohort was slightly more effective in each country with a difference in 0.003-0.015 years to progression of glaucoma existing between latanoprost. This may have resulted from the model design, which reflected that physicians ultimately control most patients' glaucoma over 5 years by adding or changing therapy. The associated incremental cost-effectiveness ratios for latanoprost vs timolol generated by the Scandinavian and the UK models, respectively, were: Norway 351,396 NOK; Sweden 988,985 SEK; Denmark 351,641; and the UK 4751 GBP. CONCLUSIONS: Over 5 years, in the UK timolol is the cost-effective option, whereas in Scandinavia latanoprost may be the cost-effective alternative to timolol.",2009-01-05375,17721497,Eye,W C Stewart,2009,23 / 1,132-40,No,17721497,"W C Stewart; J A Stewart; M A Mychaskiw; Cost-effectiveness of latanoprost and timolol maleate for the treatment of glaucoma in Scandinavia and the United Kingdom, using a decision-analytic health economic model, Eye, 2009-Jan; 23(1):0950-222X; 132-40",QALY,United Kingdom,Not Stated,Not Stated,Timolol vs. Latanoprost,Not Stated,Not Stated,Not Stated,"Female, Male",Full,5 Years,Not Stated,Not Stated,8175,United States,2005,10833.49
6104,Cost-Effectiveness of 21 Alternative Cervical Cancer Screening Strategies,"ABSTRACT Objectives: The aim of this study is to assess the cost-effectiveness of 21 alternative cervical cancer screening (CCS) strategies. Methods: A cohort simulation model was developed to determine from a health systems perspective the cost-effectiveness of the 21 alternative CCS strategies that incorporated combinations of Papanicolaou's smear test (PAP), liquid-based cytology (LBC) or human papillomavirus deoxyribonucleic acid (HPV-DNA) testing. The model was calibrated to categorize total costs into four budgetary authorities: testing, physician, inpatient, and outpatient services. Within each category, alternative screening strategies were contrasted in terms of their cost impacts and the percent change calculated within each category. Epidemiologic data and costs were derived from administrative health databases. Estimates of test characteristics and quality-adjusted life years (QALYs) were derived from available literature. Results: Three-year screening with PAP and HPV-DNA triage testing for women older than 30 years of age (3-year PAP + HPV + PAP-age) is less costly and more effective saving $16,078 per additional QALY gained. Although there was an associated net cost decrease of 4.2% driven by a reduction in testing and physician costs of 22.1% and 18.6%, respectively, there is a cost increase of 0.8% and 27.7% in inpatient and outpatient services, respectively. Conclusion: There is economic evidence to support adopting 3-year PAP + HPV + PAP-age. Budgetary resources can potentially be shifted from testing and physician services to fund the additional resource requirements for inpatient and outpatient services.",2009-01-05381,19804436,Value Health,Anderson Chuck,2009,/,,Yes,19804436,"Anderson Chuck; Cost-Effectiveness of 21 Alternative Cervical Cancer Screening Strategies, Value Health, 2009-Sep-25; ():1098-3015",QALY,Canada,Not Stated,Not Stated,"3-year PAP (Women aged 18 to 69 are routinely screened annually with PAP) + HPV (Women with ASCUS are contacted to have an HPV-DNA as a triage test for the presence of high-risk oncogenetic HPV) + PAP-age (women 30 years of age or older who have ASCUS receive a HPV-DNA triage test.) vs. Annual PAP-smear + Women with ASCH, AGC, or HSIL are immediately referred for colposcopy and biopsy for histologic assessment of the cervix. Women with CIN graded greater than CIN1 have the CIN removed by a conization procedure and receive a hysterectomy. Women with ASCUS or LSIL are retested with PAP in 6 months.",Not Stated,80 Years,12 Years,Female,Full,68 Years,5.00,3.00,16078,Canada,2007,18783.68
6105,Cost-Effectiveness of 21 Alternative Cervical Cancer Screening Strategies,"ABSTRACT Objectives: The aim of this study is to assess the cost-effectiveness of 21 alternative cervical cancer screening (CCS) strategies. Methods: A cohort simulation model was developed to determine from a health systems perspective the cost-effectiveness of the 21 alternative CCS strategies that incorporated combinations of Papanicolaou's smear test (PAP), liquid-based cytology (LBC) or human papillomavirus deoxyribonucleic acid (HPV-DNA) testing. The model was calibrated to categorize total costs into four budgetary authorities: testing, physician, inpatient, and outpatient services. Within each category, alternative screening strategies were contrasted in terms of their cost impacts and the percent change calculated within each category. Epidemiologic data and costs were derived from administrative health databases. Estimates of test characteristics and quality-adjusted life years (QALYs) were derived from available literature. Results: Three-year screening with PAP and HPV-DNA triage testing for women older than 30 years of age (3-year PAP + HPV + PAP-age) is less costly and more effective saving $16,078 per additional QALY gained. Although there was an associated net cost decrease of 4.2% driven by a reduction in testing and physician costs of 22.1% and 18.6%, respectively, there is a cost increase of 0.8% and 27.7% in inpatient and outpatient services, respectively. Conclusion: There is economic evidence to support adopting 3-year PAP + HPV + PAP-age. Budgetary resources can potentially be shifted from testing and physician services to fund the additional resource requirements for inpatient and outpatient services.",2009-01-05381,19804436,Value Health,Anderson Chuck,2009,/,,Yes,19804436,"Anderson Chuck; Cost-Effectiveness of 21 Alternative Cervical Cancer Screening Strategies, Value Health, 2009-Sep-25; ():1098-3015",QALY,Canada,Not Stated,Not Stated,"1-year PAP (Women aged 18 to 69 are routinely screened annually with PAP) + HPV (Women with ASCUS are contacted to have an HPV-DNA as a triage test for the presence of high-risk oncogenetic HPV) + PAP-age (women 30 years of age or older who have ASCUS receive a HPV-DNA triage test.) vs. Annual PAP-smear + Women with ASCH, AGC, or HSIL are immediately referred for colposcopy and biopsy for histologic assessment of the cervix. Women with CIN graded greater than CIN1 have the CIN removed by a conization procedure and receive a hysterectomy. Women with ASCUS or LSIL are retested with PAP in 6 months.",Not Stated,80 Years,12 Years,Female,Full,68 Years,5.00,3.00,58512,Canada,2007,68358.67
6106,Cost-Effectiveness of 21 Alternative Cervical Cancer Screening Strategies,"ABSTRACT Objectives: The aim of this study is to assess the cost-effectiveness of 21 alternative cervical cancer screening (CCS) strategies. Methods: A cohort simulation model was developed to determine from a health systems perspective the cost-effectiveness of the 21 alternative CCS strategies that incorporated combinations of Papanicolaou's smear test (PAP), liquid-based cytology (LBC) or human papillomavirus deoxyribonucleic acid (HPV-DNA) testing. The model was calibrated to categorize total costs into four budgetary authorities: testing, physician, inpatient, and outpatient services. Within each category, alternative screening strategies were contrasted in terms of their cost impacts and the percent change calculated within each category. Epidemiologic data and costs were derived from administrative health databases. Estimates of test characteristics and quality-adjusted life years (QALYs) were derived from available literature. Results: Three-year screening with PAP and HPV-DNA triage testing for women older than 30 years of age (3-year PAP + HPV + PAP-age) is less costly and more effective saving $16,078 per additional QALY gained. Although there was an associated net cost decrease of 4.2% driven by a reduction in testing and physician costs of 22.1% and 18.6%, respectively, there is a cost increase of 0.8% and 27.7% in inpatient and outpatient services, respectively. Conclusion: There is economic evidence to support adopting 3-year PAP + HPV + PAP-age. Budgetary resources can potentially be shifted from testing and physician services to fund the additional resource requirements for inpatient and outpatient services.",2009-01-05381,19804436,Value Health,Anderson Chuck,2009,/,,Yes,19804436,"Anderson Chuck; Cost-Effectiveness of 21 Alternative Cervical Cancer Screening Strategies, Value Health, 2009-Sep-25; ():1098-3015",QALY,Canada,Not Stated,Not Stated,"1-year PAP (Women aged 18 to 69 are routinely screened annually with PAP) + HPV (Women with ASCUS are contacted to have an HPV-DNA as a triage test for the presence of high-risk oncogenetic HPV) + PAP (Women with CIN graded greater than CIN1 (i.e., CIN2 or CIN3) have the CIN removed by a conization procedure and receive a hysterectomy. Women with ASCUS or LSIL are retested with PAP in 6 months. Women with an unsatisfactory specimen are requested to have a repeat PAP test every 3 months until a vs. Annual PAP-smear + Women with ASCH, AGC, or HSIL are immediately referred for colposcopy and biopsy for histologic assessment of the cervix. Women with CIN graded greater than CIN1 have the CIN removed by a conization procedure and receive a hysterectomy. Women with ASCUS or LSIL are retested with PAP in 6 months.",Not Stated,80 Years,12 Years,Female,Full,68 Years,5.00,3.00,86266,Canada,2007,100783.24
6107,Cost-Effectiveness of 21 Alternative Cervical Cancer Screening Strategies,"ABSTRACT Objectives: The aim of this study is to assess the cost-effectiveness of 21 alternative cervical cancer screening (CCS) strategies. Methods: A cohort simulation model was developed to determine from a health systems perspective the cost-effectiveness of the 21 alternative CCS strategies that incorporated combinations of Papanicolaou's smear test (PAP), liquid-based cytology (LBC) or human papillomavirus deoxyribonucleic acid (HPV-DNA) testing. The model was calibrated to categorize total costs into four budgetary authorities: testing, physician, inpatient, and outpatient services. Within each category, alternative screening strategies were contrasted in terms of their cost impacts and the percent change calculated within each category. Epidemiologic data and costs were derived from administrative health databases. Estimates of test characteristics and quality-adjusted life years (QALYs) were derived from available literature. Results: Three-year screening with PAP and HPV-DNA triage testing for women older than 30 years of age (3-year PAP + HPV + PAP-age) is less costly and more effective saving $16,078 per additional QALY gained. Although there was an associated net cost decrease of 4.2% driven by a reduction in testing and physician costs of 22.1% and 18.6%, respectively, there is a cost increase of 0.8% and 27.7% in inpatient and outpatient services, respectively. Conclusion: There is economic evidence to support adopting 3-year PAP + HPV + PAP-age. Budgetary resources can potentially be shifted from testing and physician services to fund the additional resource requirements for inpatient and outpatient services.",2009-01-05381,19804436,Value Health,Anderson Chuck,2009,/,,Yes,19804436,"Anderson Chuck; Cost-Effectiveness of 21 Alternative Cervical Cancer Screening Strategies, Value Health, 2009-Sep-25; ():1098-3015",QALY,Canada,Not Stated,Not Stated,"1-year LBC (Women aged 18 to 69 are routinely screened annually with LBC (liquid-based cytology)) + HPV (Women with ASCUS are contacted to have an HPV-DNA as a triage test for the presence of high-risk oncogenetic HPV) + LBC (Women with CIN graded greater than CIN1 (i.e., CIN2 or CIN3) have the CIN removed by a conization procedure and receive a hysterectomy. Women with ASCUS or LSIL are retested with LBC in 6 months. women with an unsatisfactory specimen are requested to have a repeat LBC tes vs. Annual PAP-smear + Women with ASCH, AGC, or HSIL are immediately referred for colposcopy and biopsy for histologic assessment of the cervix. Women with CIN graded greater than CIN1 have the CIN removed by a conization procedure and receive a hysterectomy. Women with ASCUS or LSIL are retested with PAP in 6 months.",Not Stated,80 Years,12 Years,Female,Full,68 Years,5.00,3.00,127076,Canada,2007,148460.93
6108,Crossing Borders: Factors Affecting Differences in Cost-Effectiveness of Smoking Cessation Interventions between European Countries,"ABSTRACT Objectives: Many different factors affect the transferability of cost-effectiveness results between countries. The objective is to quantify the impact of nine potential causes of variation in cost-effectiveness of pharmacological smoking cessation therapies (SCTs) between The Netherlands (reference case), Germany, Sweden, UK, Belgium, and France. Methods: The life-time benefits of smoking cessation were calculated using the Benefits of Smoking Cessation on Outcomes model, following a cohort of smokers making an unaided quit attempt, or using nicotine replacement therapy (NRT), bupropion, or varenicline. We investigated the impact of between-country differences in nine factors-demography, smoking prevalence, mortality, epidemiology and costs of smoking-related diseases, resource use and unit costs of SCTs, utility weights and discount rates-on the incremental net monetary benefit (INMB), using a willingness-to-pay (WTP) of euro 20,000 per quality adjusted life year (QALY). Results: The INMB of 1000 quit attempts with NRT versus unaided, varies from euro 0.39 million (Germany) to euro 1.47 million (France). The differences between the countries were primarily due to differences in discount rates, causing the INMB to change between -65% to +62%, incidence and mortality rates (epidemiology) of smoking-related diseases (-43% to +35%) and utility weights. Impact also depended on the WTP for a QALY and time horizon: at a low WTP or a short time horizon, the resource use and unit costs of SCTs had the highest impact on INMB. Conclusions: Although all INMBs were positive, there were significant differences across countries. These were primarily related to choice of discount rate and epidemiology of diseases.",2009-01-05382,19804435,Value Health,Pepijn Vemer,2009,/,,Yes,19804435,"Pepijn Vemer; Maureen P M H Rutten-van Mölken; Crossing Borders: Factors Affecting Differences in Cost-Effectiveness of Smoking Cessation Interventions between European Countries, Value Health, 2009-Sep-25; ():1098-3015",QALY,Netherlands,Not Stated,Not Stated,Nicotine Replacement Therapy vs. Unaided Cessation,Not Stated,Not Stated,Not Stated,"Female, Male",Full,Lifetime,4.00,1.50,1636.7,Euro,2006,2639.69
6109,Crossing Borders: Factors Affecting Differences in Cost-Effectiveness of Smoking Cessation Interventions between European Countries,"ABSTRACT Objectives: Many different factors affect the transferability of cost-effectiveness results between countries. The objective is to quantify the impact of nine potential causes of variation in cost-effectiveness of pharmacological smoking cessation therapies (SCTs) between The Netherlands (reference case), Germany, Sweden, UK, Belgium, and France. Methods: The life-time benefits of smoking cessation were calculated using the Benefits of Smoking Cessation on Outcomes model, following a cohort of smokers making an unaided quit attempt, or using nicotine replacement therapy (NRT), bupropion, or varenicline. We investigated the impact of between-country differences in nine factors-demography, smoking prevalence, mortality, epidemiology and costs of smoking-related diseases, resource use and unit costs of SCTs, utility weights and discount rates-on the incremental net monetary benefit (INMB), using a willingness-to-pay (WTP) of euro 20,000 per quality adjusted life year (QALY). Results: The INMB of 1000 quit attempts with NRT versus unaided, varies from euro 0.39 million (Germany) to euro 1.47 million (France). The differences between the countries were primarily due to differences in discount rates, causing the INMB to change between -65% to +62%, incidence and mortality rates (epidemiology) of smoking-related diseases (-43% to +35%) and utility weights. Impact also depended on the WTP for a QALY and time horizon: at a low WTP or a short time horizon, the resource use and unit costs of SCTs had the highest impact on INMB. Conclusions: Although all INMBs were positive, there were significant differences across countries. These were primarily related to choice of discount rate and epidemiology of diseases.",2009-01-05382,19804435,Value Health,Pepijn Vemer,2009,/,,Yes,19804435,"Pepijn Vemer; Maureen P M H Rutten-van Mölken; Crossing Borders: Factors Affecting Differences in Cost-Effectiveness of Smoking Cessation Interventions between European Countries, Value Health, 2009-Sep-25; ():1098-3015",QALY,Netherlands,Not Stated,Not Stated,Bupropion vs. Nicotine Replacement Therapy,Not Stated,Not Stated,Not Stated,"Female, Male",Full,Lifetime,4.00,1.50,-2282.49,Euro,2006,-3681.22
6110,Crossing Borders: Factors Affecting Differences in Cost-Effectiveness of Smoking Cessation Interventions between European Countries,"ABSTRACT Objectives: Many different factors affect the transferability of cost-effectiveness results between countries. The objective is to quantify the impact of nine potential causes of variation in cost-effectiveness of pharmacological smoking cessation therapies (SCTs) between The Netherlands (reference case), Germany, Sweden, UK, Belgium, and France. Methods: The life-time benefits of smoking cessation were calculated using the Benefits of Smoking Cessation on Outcomes model, following a cohort of smokers making an unaided quit attempt, or using nicotine replacement therapy (NRT), bupropion, or varenicline. We investigated the impact of between-country differences in nine factors-demography, smoking prevalence, mortality, epidemiology and costs of smoking-related diseases, resource use and unit costs of SCTs, utility weights and discount rates-on the incremental net monetary benefit (INMB), using a willingness-to-pay (WTP) of euro 20,000 per quality adjusted life year (QALY). Results: The INMB of 1000 quit attempts with NRT versus unaided, varies from euro 0.39 million (Germany) to euro 1.47 million (France). The differences between the countries were primarily due to differences in discount rates, causing the INMB to change between -65% to +62%, incidence and mortality rates (epidemiology) of smoking-related diseases (-43% to +35%) and utility weights. Impact also depended on the WTP for a QALY and time horizon: at a low WTP or a short time horizon, the resource use and unit costs of SCTs had the highest impact on INMB. Conclusions: Although all INMBs were positive, there were significant differences across countries. These were primarily related to choice of discount rate and epidemiology of diseases.",2009-01-05382,19804435,Value Health,Pepijn Vemer,2009,/,,Yes,19804435,"Pepijn Vemer; Maureen P M H Rutten-van Mölken; Crossing Borders: Factors Affecting Differences in Cost-Effectiveness of Smoking Cessation Interventions between European Countries, Value Health, 2009-Sep-25; ():1098-3015",QALY,Netherlands,Not Stated,Not Stated,Varenicline vs. Bupropion,Not Stated,Not Stated,Not Stated,"Female, Male",Full,Lifetime,4.00,1.50,-1044.39,Euro,2006,-1684.41
6111,Cost-Effectiveness of Sorafenib for Second-Line Treatment of Advanced Renal Cell Carcinoma,"ABSTRACT Objectives: To estimate the cost-effectiveness of sorafenib (Nexavar, Bayer, Leverkusen, Germany) versus best supportive care (BSC) for second-line treatment of advanced renal cell carcinoma from the perspective of the UK National Health Service. Methods: A decision analytic model was developed to estimate the cost-effectiveness of sorafenib. The clinical effectiveness of sorafenib versus BSC was taken from a recent randomized phase III trial. Utility values were taken from a phase II trial of sunitinib, using EQ-5D tariffs. Cost data were obtained from published literature and were based on current UK practice. The effect of parameter uncertainty on cost-effectiveness was explored through extensive one-way and probabilistic sensitivity analyses. Results: Compared to BSC, sorafenib treatment resulted in an incremental cost per quality-adjusted life year (QALY) gained of pound75,398, based on an estimated mean gain of 0.27 QALYs per patient, at a mean additional cost of pound20,063 (inflated to 2007/2008). The probability that sorafenib is cost-effective compared to BSC at a willingness to pay threshold of pound30,000 per QALY is 0.0%. In sensitivity analysis, estimates of cost per QALY were sensitive to changes in the clinical effectiveness parameters, and to health state utilities and drug costs. Conclusions: Sorafenib has been shown to be clinically effective compared to BSC, offering additional health benefits; however, with a cost per QALY in excess of pound70,000, it may not be regarded as a cost-effective use of resources in some health-care settings.",2009-01-05385,19804431,Value Health,Martin Hoyle,2009,/,,Yes,19804431,"Martin Hoyle; Colin Green; Jo Thompson-Coon; Zulian Liu; Karen Welch; Tiffany Moxham; Ken Stein; Cost-Effectiveness of Sorafenib for Second-Line Treatment of Advanced Renal Cell Carcinoma, Value Health, 2009-Sep-25; ():1098-3015",QALY,United Kingdom,Not Stated,Not Stated,Sorafenib vs. Best supportive care,Not Stated,Not Stated,Not Stated,"Female, Male",Full,10 Years,3.50,3.50,75398,United Kingdom,2008,168079.47
