Variable,name
annual_precipitation,"Average precipitation in depth (mm per year)"
corruption_index,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)"
percent_health_spending_public,Domestic general government health expenditure (% of current health expenditure)
local_historical_GDP_per_capita,GDP per capita (current LCU)
Gini_index,Gini index
hospital_beds_per_thousand,"Hospital beds (per 1,000 people)"
malaria_cases_per_thousand,"Incidence of malaria (per 1,000 population at risk)"
land_area,"Land area (sq. km)"
life_expectancy,"Life expectancy at birth, total (years)"
nominal_exchange_rate,"Official exchange rate (LCU per US$, period average)"
percent_with_tap_water,People using at least basic drinking water services (% of population)
percent_aged_0_to_14,Population ages 0-14 (% of total population)
population_density,Population density (people per sq. km of land area)
PPP_exchange_rate,"PPP conversion factor, GDP (LCU per international $)"
primary_school_completion_rate,"Primary completion rate, total (% of relevant age group)"
primary_school_percent_female,"Primary completion rate, female (% of relevant age group)"
