variable,variable_code
alcohol_consumption_per_capita,SH.ALC.PCAP.FE.LI
GDP_growth_rate,NY.GDP.MKTP.KD.ZG
Gini_index,SI.POV.GINI
life_expectancy,SP.DYN.LE00.IN
local_GDP_per_capita,NY.GDP.PCAP.CN
nominal_exchange_rate,PA.NUS.FCRF
percent_child_obesity,SH.STA.OWGH.ME.ZS
percent_college_enrollment,SE.TER.ENRR
percent_electricity_access,EG.ELC.ACCS.ZS
percent_female_to_male_employment_ratio,SL.TLF.CACT.FM.ZS
percent_GDP_from_farming,NV.AGR.TOTL.ZS
percent_GDP_from_industry,NV.IND.TOTL.ZS
percent_health_spending_external,SH.XPD.EHEX.CH.ZS
percent_health_spending_public,SH.XPD.GHED.CH.ZS
percent_primary_school_completion,SE.PRM.CUAT.ZS
population_growth_rate,SP.POP.GROW
population_density,EN.POP.DNST
PPP_GDP,PA.NUS.PPP
PPP_private_consumption,PA.NUS.PRVT.PP
precipitation,AG.LND.PRCP.MM
unemployment_rate,SL.UEM.TOTL.ZS
